,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",22.66,23.35,21.14,22.39,22.39,"5,074,700"
1,"Jan 01, 2022",25.65,26.58,21.55,22.77,22.77,"3,593,000"
2,"Dec 01, 2021",25.71,26.96,24.44,25.50,25.50,"6,040,600"
3,"Nov 01, 2021",27.89,29.32,25.20,25.39,25.39,"4,214,700"
4,"Oct 01, 2021",31.57,32.71,27.16,27.64,27.64,"3,523,900"
5,"Sep 01, 2021",29.90,32.13,28.70,31.58,31.58,"5,075,800"
6,"Aug 03, 2021",18.75 Dividend,,,,,
7,"Aug 01, 2021",52.91,53.05,28.76,29.83,18.77,"7,755,600"
8,"Jul 01, 2021",48.70,61.53,48.26,52.79,33.22,"9,227,200"
9,"Jun 01, 2021",49.90,51.82,47.60,48.51,30.53,"4,531,600"
10,"May 01, 2021",47.82,50.98,47.24,49.89,31.40,"2,865,900"
11,"Apr 01, 2021",48.81,50.98,46.00,47.26,29.74,"2,939,300"
12,"Mar 01, 2021",44.76,52.20,43.90,48.81,30.72,"4,612,700"
13,"Feb 01, 2021",39.52,49.79,38.98,44.35,27.91,"5,475,700"
14,"Jan 01, 2021",43.51,46.98,38.77,38.87,24.46,"3,288,100"
15,"Dec 01, 2020",45.12,46.23,42.43,43.25,27.22,"3,272,300"
16,"Nov 10, 2020",0.34 Dividend,,,,,
17,"Nov 01, 2020",44.43,48.01,42.31,44.44,27.76,"3,190,600"
18,"Oct 01, 2020",44.81,47.88,43.03,43.62,27.25,"2,466,700"
19,"Sep 01, 2020",55.50,56.77,42.18,44.44,27.76,"4,964,000"
20,"Aug 01, 2020",50.27,56.64,50.14,55.30,34.55,"2,803,100"
21,"Jul 01, 2020",49.69,51.66,47.98,50.27,31.40,"2,909,300"
22,"Jun 01, 2020",52.70,58.00,46.65,49.29,30.79,"4,143,600"
23,"May 01, 2020",51.03,55.95,44.04,52.61,32.87,"3,718,700"
24,"Apr 01, 2020",47.93,59.93,46.04,53.51,33.43,"5,021,900"
25,"Mar 01, 2020",44.58,51.00,38.35,49.25,30.77,"5,727,000"
26,"Feb 01, 2020",40.56,49.80,40.19,44.43,27.76,"4,412,300"
27,"Jan 01, 2020",41.87,44.55,40.21,40.35,25.21,"4,880,500"
28,"Dec 01, 2019",37.21,41.73,36.80,41.61,25.99,"6,448,600"
29,"Nov 13, 2019",0.29 Dividend,,,,,
30,"Nov 01, 2019",32.42,41.16,31.95,37.55,23.27,"19,023,300"
