,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",0.3790,0.3790,0.1520,0.2920,0.2920,"43,900"
1,"Jan 01, 2022",0.3460,0.4080,0.2010,0.3790,0.3790,"180,300"
2,"Dec 01, 2021",0.5980,0.5980,0.1680,0.4500,0.4500,"210,700"
3,"Nov 01, 2021",0.5950,0.7760,0.3800,0.7760,0.7760,"28,500"
4,"Oct 01, 2021",0.5500,0.7240,0.2600,0.6220,0.6220,"34,800"
5,"Sep 01, 2021",0.8490,0.9600,0.4810,0.6100,0.6100,"55,400"
6,"Aug 01, 2021",1.0130,1.1900,0.4300,0.9800,0.9800,"182,400"
7,"Jul 01, 2021",1.3500,1.3500,0.8020,1.0130,1.0130,"25,900"
8,"Jun 01, 2021",1.3100,1.5500,0.8000,1.3500,1.3500,"50,900"
9,"May 01, 2021",1.4050,1.5900,1.2100,1.3800,1.3800,"14,500"
10,"Apr 01, 2021",1.2150,2.3900,1.0700,1.4050,1.4050,"13,400"
11,"Mar 01, 2021",1.2000,2.5000,0.7500,1.2150,1.2150,"161,100"
12,"Feb 01, 2021",1.8750,1.9350,1.0700,1.2500,1.2500,"35,100"
13,"Jan 01, 2021",0.8600,2.0000,0.8500,1.4500,1.4500,"26,600"
