,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",38.28,39.75,26.08,28.99,28.99,"14,086,600"
1,"Jan 01, 2022",39.76,42.97,35.32,38.15,38.15,"6,487,500"
2,"Dec 01, 2021",40.61,43.67,36.35,39.30,39.30,"8,210,200"
3,"Nov 01, 2021",43.27,51.88,38.24,39.17,39.17,"6,621,500"
4,"Oct 01, 2021",50.46,53.05,42.36,43.03,43.03,"4,986,400"
5,"Sep 01, 2021",46.31,52.55,43.10,49.34,49.34,"6,617,300"
6,"Aug 01, 2021",41.02,48.93,38.50,46.65,46.65,"11,007,900"
7,"Jul 01, 2021",43.48,45.00,36.35,40.49,40.49,"7,711,200"
8,"Jun 01, 2021",49.77,51.54,42.58,43.07,43.07,"7,712,800"
9,"May 01, 2021",49.93,50.69,46.04,49.03,49.03,"6,318,400"
10,"Apr 01, 2021",55.01,56.65,47.60,49.66,49.66,"5,170,600"
11,"Mar 01, 2021",58.48,61.16,50.39,54.48,54.48,"9,336,900"
12,"Feb 01, 2021",39.68,60.79,38.72,56.37,56.37,"8,465,100"
13,"Jan 01, 2021",40.11,44.65,37.34,38.99,38.99,"6,193,000"
14,"Dec 01, 2020",44.06,46.80,38.26,40.31,40.31,"9,011,900"
15,"Nov 01, 2020",29.32,44.27,28.19,42.93,42.93,"10,810,600"
16,"Oct 01, 2020",30.12,34.09,27.44,29.03,29.03,"8,488,500"
17,"Sep 01, 2020",33.06,36.43,28.29,29.86,29.86,"10,478,100"
18,"Aug 01, 2020",26.36,35.36,26.10,33.65,33.65,"9,083,400"
19,"Jul 01, 2020",33.09,34.12,25.00,26.31,26.31,"10,062,700"
20,"Jun 01, 2020",32.39,47.25,28.07,32.62,32.62,"18,324,800"
21,"May 01, 2020",29.49,34.54,21.14,32.07,32.07,"16,158,600"
22,"Apr 01, 2020",24.75,32.78,19.11,30.95,30.95,"14,922,800"
23,"Mar 30, 2020",0.14 Dividend,,,,,
24,"Mar 01, 2020",45.52,45.90,10.58,26.19,26.06,"25,492,400"
25,"Feb 01, 2020",55.50,60.23,43.53,45.40,45.17,"8,469,100"
26,"Jan 01, 2020",65.15,66.52,54.70,55.17,54.89,"5,542,600"
27,"Dec 30, 2019",0.12 Dividend,,,,,
28,"Dec 01, 2019",62.95,66.04,60.67,64.63,64.18,"5,777,300"
29,"Nov 01, 2019",59.90,64.60,58.92,62.64,62.20,"3,788,200"
30,"Oct 01, 2019",57.60,60.68,54.29,59.55,59.13,"4,053,300"
31,"Sep 27, 2019",0.12 Dividend,,,,,
32,"Sep 01, 2019",56.86,62.43,55.58,57.40,56.88,"4,625,200"
33,"Aug 01, 2019",63.33,63.33,53.50,57.26,56.74,"3,954,700"
34,"Jul 01, 2019",61.05,63.40,59.57,60.71,60.16,"4,176,500"
35,"Jun 27, 2019",0.12 Dividend,,,,,
36,"Jun 01, 2019",58.51,61.80,56.00,60.67,60.00,"4,763,500"
37,"May 01, 2019",61.81,61.87,58.00,58.72,58.07,"4,146,800"
38,"Apr 01, 2019",54.50,62.16,54.06,61.59,60.91,"4,796,800"
39,"Mar 28, 2019",0.12 Dividend,,,,,
40,"Mar 01, 2019",54.20,54.69,49.35,54.29,53.57,"7,035,600"
41,"Feb 01, 2019",52.80,56.92,51.55,54.04,53.32,"4,840,700"
42,"Jan 01, 2019",43.26,51.29,42.72,50.95,50.27,"4,965,600"
43,"Dec 28, 2018",0.1 Dividend,,,,,
44,"Dec 01, 2018",58.39,58.39,42.38,44.47,43.78,"5,833,900"
45,"Nov 01, 2018",57.68,58.80,52.39,57.68,56.78,"5,165,300"
46,"Oct 01, 2018",59.08,61.74,46.99,57.29,56.40,"7,429,800"
47,"Sep 27, 2018",0.1 Dividend,,,,,
48,"Sep 01, 2018",65.40,65.80,56.70,58.90,57.89,"4,892,200"
49,"Aug 01, 2018",59.80,65.80,58.50,65.30,64.18,"3,947,100"
50,"Jul 01, 2018",51.55,62.45,51.31,59.90,58.87,"4,007,100"
51,"Jun 28, 2018",0.1 Dividend,,,,,
52,"Jun 01, 2018",57.35,58.05,50.35,51.90,50.91,"4,151,900"
