,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",165.24,183.00,141.19,153.76,153.76,"6,660,900"
1,"Jan 01, 2022",207.74,211.98,146.95,165.19,165.19,"6,694,300"
2,"Dec 01, 2021",199.39,210.70,187.32,206.42,206.42,"7,338,200"
3,"Nov 01, 2021",188.36,210.98,185.69,196.27,196.27,"7,836,700"
4,"Oct 01, 2021",141.05,193.66,135.05,188.76,188.76,"8,153,500"
5,"Sep 01, 2021",157.66,160.73,139.28,140.16,140.16,"9,294,900"
6,"Aug 01, 2021",155.13,160.89,154.00,157.62,157.62,"11,542,000"
7,"Jul 01, 2021",153.27,154.00,134.54,148.99,148.99,"5,329,700"
8,"Jun 01, 2021",137.21,154.14,132.60,153.25,153.25,"6,654,300"
9,"May 01, 2021",142.29,142.31,120.15,136.56,136.56,"6,741,300"
10,"Apr 01, 2021",143.86,162.28,140.57,140.95,140.95,"6,638,400"
11,"Mar 01, 2021",158.32,162.90,131.44,141.07,141.07,"8,411,100"
12,"Feb 01, 2021",132.30,163.43,132.30,155.74,155.74,"7,198,000"
13,"Jan 01, 2021",127.88,144.68,124.76,131.17,131.17,"6,134,600"
14,"Dec 01, 2020",118.44,128.88,117.02,127.34,127.34,"4,932,800"
15,"Nov 01, 2020",103.85,121.27,100.65,117.21,117.21,"4,981,300"
16,"Oct 01, 2020",98.60,107.79,94.77,102.46,102.46,"5,948,300"
17,"Sep 01, 2020",102.68,107.00,92.19,97.85,97.85,"4,868,700"
18,"Aug 01, 2020",101.73,103.98,97.61,102.41,102.41,"4,897,600"
19,"Jul 01, 2020",99.94,107.00,97.85,100.51,100.51,"5,846,700"
20,"Jun 01, 2020",93.50,103.30,91.25,100.27,100.27,"9,755,200"
21,"May 01, 2020",94.07,101.23,88.74,93.66,93.66,"9,324,300"
22,"Apr 01, 2020",81.87,104.49,76.64,97.22,97.22,"6,500,900"
23,"Mar 01, 2020",89.90,94.27,65.09,85.41,85.41,"12,742,200"
24,"Feb 01, 2020",98.91,108.05,86.34,88.68,88.68,"7,154,000"
25,"Jan 01, 2020",117.06,122.90,98.19,98.31,98.31,"6,868,900"
26,"Dec 01, 2019",106.51,117.39,102.31,115.98,115.98,"4,410,300"
27,"Nov 01, 2019",107.50,113.83,101.93,105.93,105.93,"4,903,500"
28,"Oct 01, 2019",112.70,114.75,103.08,106.24,106.24,"6,718,000"
