,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",47.58,52.95,47.34,52.92,52.92,"31,131,700"
1,"Jan 01, 2022",46.54,52.15,46.47,47.66,47.66,"35,585,400"
2,"Dec 02, 2021",0.34 Dividend,,,,,
3,"Dec 01, 2021",45.30,48.16,42.60,46.35,45.99,"36,637,300"
4,"Nov 01, 2021",44.11,49.65,43.86,44.44,44.10,"30,457,800"
5,"Oct 01, 2021",46.65,48.43,42.46,44.09,43.75,"36,155,500"
6,"Sep 01, 2021",47.73,49.51,44.49,46.38,46.02,"33,752,500"
7,"Aug 27, 2021",0.34 Dividend,,,,,
8,"Aug 01, 2021",48.89,52.16,46.55,47.53,46.82,"31,661,600"
9,"Jul 01, 2021",53.91,54.29,48.42,48.89,48.16,"37,872,400"
10,"Jun 01, 2021",58.79,61.48,53.31,53.69,52.89,"38,691,900"
11,"May 01, 2021",55.24,61.11,53.70,58.32,57.45,"42,493,000"
12,"Apr 01, 2021",51.17,55.71,49.83,54.95,54.13,"45,133,100"
13,"Mar 01, 2021",45.32,53.26,44.37,51.15,50.39,"62,696,000"
14,"Feb 01, 2021",50.54,50.95,43.43,44.45,43.79,"55,813,900"
15,"Jan 01, 2021",46.52,56.10,44.81,50.16,49.41,"41,768,400"
16,"Dec 01, 2020",46.50,48.62,43.91,45.19,44.52,"44,085,000"
17,"Nov 01, 2020",35.50,47.30,35.01,46.00,45.32,"63,413,600"
18,"Oct 01, 2020",33.50,37.06,32.35,35.26,34.74,"54,926,600"
19,"Sep 01, 2020",37.45,38.71,32.11,33.56,33.06,"55,565,000"
20,"Aug 01, 2020",37.54,39.24,36.11,37.64,37.08,"28,722,200"
21,"Jul 01, 2020",34.53,39.02,33.18,37.52,36.96,"46,067,600"
22,"Jun 01, 2020",38.15,44.29,33.55,34.36,33.85,"69,409,900"
23,"May 01, 2020",40.31,40.47,34.63,37.96,37.40,"54,534,500"
24,"Apr 01, 2020",37.03,48.24,36.72,41.01,40.40,"44,579,500"
25,"Mar 06, 2020",0.57 Dividend,,,,,
26,"Mar 01, 2020",49.61,52.49,34.01,39.01,37.99,"67,846,300"
27,"Feb 01, 2020",55.75,61.94,47.62,49.61,48.32,"40,908,600"
28,"Jan 01, 2020",54.25,57.06,52.69,55.58,54.13,"34,024,300"
29,"Dec 01, 2019",50.42,54.93,49.82,53.90,52.49,"39,517,000"
30,"Nov 29, 2019",0.57 Dividend,,,,,
31,"Nov 01, 2019",52.79,55.06,50.22,50.48,48.61,"28,850,900"
32,"Oct 01, 2019",57.70,59.72,51.90,52.72,50.77,"41,530,200"
33,"Sep 01, 2019",51.09,58.13,50.78,57.50,55.37,"32,181,300"
34,"Aug 29, 2019",0.57 Dividend,,,,,
35,"Aug 01, 2019",53.01,54.25,49.92,51.36,48.91,"37,802,500"
36,"Jul 01, 2019",56.29,57.71,51.80,53.99,51.41,"35,091,400"
37,"Jun 01, 2019",54.83,58.56,53.25,56.00,53.33,"34,386,800"
38,"May 31, 2019",0.41 Dividend,,,,,
39,"May 01, 2019",62.99,62.99,53.41,54.98,51.96,"35,044,400"
40,"Apr 01, 2019",59.96,64.32,58.76,64.19,60.67,"31,036,300"
41,"Mar 01, 2019",0.41 Dividend,,,,,
42,"Mar 01, 2019",61.54,62.15,58.75,59.65,56.00,"33,032,200"
43,"Feb 01, 2019",66.68,67.24,58.42,61.66,57.89,"42,879,400"
44,"Jan 01, 2019",55.88,66.67,55.30,66.61,62.54,"33,853,700"
45,"Dec 01, 2018",65.87,66.31,54.17,56.16,52.72,"39,832,000"
46,"Nov 29, 2018",0.41 Dividend,,,,,
47,"Nov 01, 2018",64.75,67.62,61.17,65.77,61.36,"41,639,500"
48,"Oct 01, 2018",61.58,64.91,55.52,64.00,59.71,"50,027,600"
49,"Sep 01, 2018",66.39,66.74,61.23,61.50,57.38,"34,856,600"
50,"Aug 30, 2018",0.41 Dividend,,,,,
51,"Aug 01, 2018",65.25,71.04,64.45,66.74,61.89,"45,604,500"
52,"Jul 01, 2018",67.71,70.95,62.50,67.00,62.13,"58,851,000"
53,"Jun 01, 2018",0.41 Dividend,,,,,
54,"Jun 01, 2018",61.64,70.96,60.55,68.04,62.67,"45,138,600"
55,"May 01, 2018",71.23,71.76,58.75,61.65,56.79,"64,026,600"
56,"Apr 01, 2018",75.31,75.46,70.05,71.24,65.62,"41,836,100"
57,"Mar 02, 2018",0.41 Dividend,,,,,
58,"Mar 01, 2018",76.55,81.96,72.07,75.33,69.02,"43,960,400"
59,"Feb 01, 2018",83.85,83.91,72.71,76.25,69.86,"36,647,700"
60,"Jan 01, 2018",82.24,85.86,81.25,84.02,76.98,"25,416,000"
61,"Dec 01, 2017",78.22,82.55,78.08,82.07,75.20,"22,882,700"
62,"Nov 29, 2017",0.41 Dividend,,,,,
63,"Nov 01, 2017",81.59,83.32,76.25,78.10,71.18,"27,693,700"
64,"Oct 01, 2017",81.77,84.91,78.10,80.87,73.71,"33,097,500"
65,"Sep 01, 2017",89.99,90.62,80.92,81.64,74.41,"29,493,300"
66,"Aug 29, 2017",0.41 Dividend,,,,,
67,"Aug 01, 2017",89.10,94.02,88.27,89.75,81.43,"33,928,600"
68,"Jul 01, 2017",86.68,90.50,85.34,88.98,80.73,"25,661,000"
69,"Jun 01, 2017",95.01,97.50,85.46,86.34,78.33,"56,988,200"
70,"May 26, 2017",0.41 Dividend,,,,,
71,"May 01, 2017",95.94,96.45,89.27,94.79,85.63,"44,406,800"
72,"Apr 01, 2017",95.98,97.00,94.47,95.89,86.62,"22,759,600"
73,"Mar 01, 2017",100.47,100.89,95.20,95.71,86.46,"28,883,700"
74,"Feb 24, 2017",0.41 Dividend,,,,,
75,"Feb 01, 2017",96.35,102.14,94.12,100.39,90.32,"37,605,500"
76,"Jan 01, 2017",97.89,100.28,94.42,96.52,86.83,"29,803,800"
77,"Dec 01, 2016",97.73,100.43,94.10,97.31,87.54,"29,981,200"
78,"Nov 28, 2016",0.41 Dividend,,,,,
79,"Nov 01, 2016",102.70,109.37,96.09,98.03,87.83,"43,149,400"
80,"Oct 01, 2016",109.24,112.19,103.32,103.81,93.01,"34,222,000"
81,"Sep 01, 2016",102.09,111.24,101.05,109.80,98.37,"43,999,900"
82,"Aug 29, 2016",0.41 Dividend,,,,,
83,"Aug 01, 2016",102.16,103.41,98.24,102.32,91.30,"33,246,500"
84,"Jul 01, 2016",101.73,103.84,89.40,102.16,91.16,"69,200,100"
85,"Jun 02, 2016",0.41 Dividend,,,,,
86,"Jun 01, 2016",99.18,104.15,95.57,101.13,89.88,"36,918,600"
87,"May 01, 2016",95.56,100.62,95.35,99.18,88.15,"24,599,000"
88,"Apr 01, 2016",95.46,98.27,91.17,95.63,84.99,"28,314,000"
89,"Mar 03, 2016",0.41 Dividend,,,,,
90,"Mar 01, 2016",86.09,97.00,85.43,96.18,85.08,"31,618,200"
91,"Feb 01, 2016",90.50,92.41,80.78,85.27,75.43,"48,988,100"
92,"Jan 01, 2016",92.97,93.10,83.83,90.48,80.03,"65,047,600"
93,"Dec 01, 2015",92.34,95.51,90.93,93.92,83.08,"30,802,300"
94,"Nov 25, 2015",0.41 Dividend,,,,,
95,"Nov 01, 2015",88.07,95.74,86.00,92.03,81.04,"55,606,600"
96,"Oct 01, 2015",83.02,89.00,78.17,88.10,77.58,"68,631,900"
97,"Sep 01, 2015",66.83,85.79,65.77,83.02,73.11,"81,422,300"
98,"Aug 01, 2015",71.11,74.33,63.91,68.09,59.96,"41,146,000"
99,"Jul 29, 2015",0.41 Dividend,,,,,
100,"Jul 01, 2015",70.36,72.38,68.50,71.14,62.28,"28,450,300"
101,"Jun 01, 2015",73.32,75.12,69.69,69.81,61.11,"36,274,600"
102,"May 27, 2015",0.41 Dividend,,,,,
103,"May 01, 2015",73.59,76.30,71.50,73.38,63.88,"33,671,200"
104,"Apr 01, 2015",74.02,79.18,73.33,73.51,63.99,"33,724,600"
105,"Mar 01, 2015",75.89,76.20,71.49,74.45,64.81,"31,963,800"
106,"Feb 25, 2015",0.41 Dividend,,,,,
107,"Feb 01, 2015",76.39,78.61,71.85,75.89,65.71,"33,409,000"
108,"Jan 01, 2015",74.64,78.92,72.40,75.93,65.75,"24,642,500"
109,"Dec 01, 2014",76.90,77.49,70.81,74.52,64.52,"29,491,300"
110,"Nov 24, 2014",0.37 Dividend,,,,,
111,"Nov 01, 2014",74.47,77.93,73.90,77.35,66.65,"24,103,000"
112,"Oct 01, 2014",74.00,75.33,66.17,74.38,64.09,"40,192,100"
113,"Sep 01, 2014",74.17,77.78,70.03,74.44,64.14,"41,072,200"
114,"Aug 27, 2014",0.37 Dividend,,,,,
115,"Aug 01, 2014",67.17,75.61,66.95,73.95,63.40,"25,361,300"
116,"Jul 01, 2014",74.17,74.69,67.47,67.53,57.90,"26,063,400"
117,"Jun 01, 2014",65.60,75.55,65.35,74.16,63.58,"42,368,300"
118,"May 28, 2014",0.37 Dividend,,,,,
119,"May 01, 2014",60.06,65.80,59.61,65.73,56.03,"30,355,600"
120,"Apr 01, 2014",58.93,60.90,56.60,59.97,51.12,"22,771,600"
121,"Mar 01, 2014",56.50,59.15,56.06,58.86,50.17,"16,757,800"
122,"Feb 26, 2014",0.37 Dividend,,,,,
123,"Feb 01, 2014",52.60,57.54,50.90,56.83,48.13,"19,965,700"
124,"Jan 01, 2014",55.95,57.18,52.55,52.64,44.58,"23,565,200"
125,"Dec 01, 2013",52.72,56.49,52.11,56.15,47.55,"17,393,300"
126,"Nov 26, 2013",0.32 Dividend,,,,,
127,"Nov 01, 2013",54.09,56.26,52.52,52.67,44.34,"16,313,200"
128,"Oct 01, 2013",50.15,55.54,49.43,54.00,45.46,"21,209,600"
129,"Sep 01, 2013",49.50,52.15,48.25,50.13,42.20,"18,368,900"
130,"Aug 28, 2013",0.32 Dividend,,,,,
131,"Aug 01, 2013",50.57,53.75,48.18,48.79,40.81,"35,802,900"
132,"Jul 01, 2013",48.18,51.94,47.16,50.06,41.87,"33,414,800"
133,"Jun 01, 2013",49.68,51.19,46.94,47.86,40.03,"27,594,500"
134,"May 29, 2013",0.32 Dividend,,,,,
135,"May 01, 2013",51.57,53.35,48.85,49.41,41.07,"29,198,300"
136,"Apr 01, 2013",49.85,53.10,49.60,51.60,42.89,"31,925,300"
137,"Mar 01, 2013",44.09,49.29,44.09,48.93,40.67,"23,564,200"
138,"Feb 28, 2013",0.32 Dividend,,,,,
139,"Feb 01, 2013",45.49,47.09,43.38,44.21,36.49,"30,040,800"
140,"Jan 01, 2013",43.42,45.75,41.26,45.18,37.29,"25,676,400"
