,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",29.71,31.57,25.14,29.35,29.35,"6,881,200"
1,"Jan 01, 2022",25.55,32.69,25.27,29.82,29.82,"9,181,100"
2,"Dec 01, 2021",29.15,29.53,22.80,25.31,25.31,"9,114,800"
3,"Nov 01, 2021",31.39,33.36,28.02,28.27,28.27,"6,611,000"
4,"Oct 01, 2021",25.45,32.32,25.45,30.55,30.55,"7,546,500"
5,"Sep 01, 2021",24.83,26.03,22.10,25.45,25.45,"7,856,700"
6,"Aug 01, 2021",23.70,26.52,22.79,24.66,24.66,"5,533,500"
7,"Jul 01, 2021",23.47,24.34,20.50,23.37,23.37,"6,660,100"
8,"Jun 01, 2021",24.40,26.70,22.79,23.01,23.01,"10,339,700"
9,"May 01, 2021",22.33,25.50,21.84,24.24,24.24,"33,579,900"
10,"Apr 01, 2021",20.82,23.15,20.55,22.21,22.21,"6,562,100"
11,"Mar 01, 2021",20.77,24.52,20.02,20.72,20.72,"13,932,900"
12,"Feb 01, 2021",17.00,21.50,16.62,20.27,20.27,"9,774,400"
13,"Jan 01, 2021",13.77,17.66,13.26,16.77,16.77,"7,801,700"
14,"Dec 01, 2020",12.07,14.47,11.81,13.65,13.65,"6,489,300"
15,"Nov 01, 2020",9.79,13.05,8.84,11.80,11.80,"6,034,300"
16,"Oct 01, 2020",8.63,9.87,8.41,9.60,9.60,"5,333,800"
17,"Sep 01, 2020",9.42,9.99,7.95,8.64,8.64,"6,527,500"
18,"Aug 01, 2020",9.53,11.08,8.92,9.50,9.50,"5,854,600"
19,"Jul 01, 2020",9.77,10.58,8.17,9.43,9.43,"7,235,800"
20,"Jun 01, 2020",8.81,11.60,8.07,9.80,9.80,"10,169,300"
21,"May 01, 2020",7.31,8.83,5.29,8.80,8.80,"8,061,300"
22,"Apr 01, 2020",5.75,7.78,4.52,6.97,6.97,"8,379,300"
23,"Mar 01, 2020",12.26,12.89,3.36,6.07,6.07,"13,219,000"
24,"Feb 01, 2020",11.89,13.69,11.89,12.17,12.17,"6,744,300"
25,"Jan 01, 2020",13.10,13.10,11.40,11.83,11.83,"4,236,600"
26,"Dec 01, 2019",11.18,13.73,11.01,12.97,12.97,"7,097,900"
27,"Nov 01, 2019",10.92,11.76,10.59,11.09,11.09,"4,484,200"
28,"Oct 01, 2019",9.99,11.36,9.50,10.90,10.90,"2,854,000"
29,"Sep 01, 2019",9.07,10.46,8.71,9.90,9.90,"4,322,600"
30,"Aug 01, 2019",9.65,9.97,8.50,9.13,9.13,"3,908,100"
31,"Jul 01, 2019",8.70,10.17,8.70,9.68,9.68,"4,110,700"
32,"Jun 01, 2019",8.93,9.61,8.71,8.92,8.92,"3,810,000"
33,"May 01, 2019",10.28,10.53,8.81,8.90,8.90,"3,651,500"
34,"Apr 01, 2019",8.12,10.87,8.05,10.21,10.21,"3,230,600"
35,"Mar 01, 2019",9.14,9.51,7.66,8.08,8.08,"2,771,200"
36,"Feb 01, 2019",8.50,9.48,8.47,9.07,9.07,"2,122,400"
37,"Jan 01, 2019",7.83,9.01,7.83,8.48,8.48,"3,878,200"
38,"Dec 01, 2018",10.00,10.08,7.64,7.96,7.96,"4,540,300"
39,"Nov 01, 2018",10.50,10.75,9.53,9.95,9.95,"2,598,000"
40,"Oct 01, 2018",9.64,10.52,8.64,10.50,10.50,"3,989,300"
41,"Sep 01, 2018",10.00,10.19,9.46,9.59,9.59,"3,284,600"
42,"Aug 01, 2018",9.71,10.21,9.53,10.03,10.03,"4,518,300"
43,"Jul 01, 2018",10.40,11.02,9.51,9.71,9.71,"4,573,400"
44,"Jun 01, 2018",11.42,11.73,10.43,10.46,10.46,"6,492,500"
45,"May 01, 2018",10.37,12.00,10.19,11.32,11.32,"6,038,300"
46,"Apr 01, 2018",10.81,11.63,10.01,10.35,10.35,"4,825,400"
47,"Mar 01, 2018",10.54,11.37,10.30,10.80,10.80,"6,375,400"
48,"Feb 01, 2018",10.55,11.25,9.77,10.57,10.57,"8,052,100"
49,"Jan 01, 2018",9.90,11.28,9.62,10.57,10.57,"7,080,000"
50,"Dec 01, 2017",9.67,10.55,9.25,9.88,9.88,"7,923,600"
51,"Nov 01, 2017",8.53,10.19,8.44,9.67,9.67,"8,483,200"
52,"Oct 01, 2017",8.31,9.00,8.13,8.41,8.41,"6,020,900"
53,"Sep 01, 2017",7.89,8.42,7.60,8.27,8.27,"6,237,100"
54,"Aug 01, 2017",7.77,8.09,7.29,7.85,7.85,"7,600,500"
55,"Jul 01, 2017",7.60,8.09,7.21,7.75,7.75,"5,223,000"
56,"Jun 01, 2017",6.15,7.81,6.02,7.58,7.58,"7,325,000"
57,"May 01, 2017",6.78,6.97,6.04,6.12,6.12,"7,640,900"
58,"Apr 01, 2017",5.08,6.73,4.70,6.45,6.45,"6,379,700"
59,"Mar 01, 2017",5.25,5.33,4.41,5.10,5.10,"5,274,700"
60,"Feb 01, 2017",5.73,5.89,4.75,5.18,5.18,"8,707,900"
61,"Jan 01, 2017",7.98,8.09,5.90,5.99,5.99,"5,332,800"
62,"Dec 01, 2016",6.93,8.20,6.88,7.86,7.86,"5,369,300"
63,"Nov 01, 2016",6.26,7.70,6.04,6.92,6.92,"8,663,600"
64,"Oct 01, 2016",6.43,7.30,5.63,6.23,6.23,"5,940,700"
65,"Sep 01, 2016",6.25,6.45,5.96,6.42,6.42,"2,387,000"
66,"Aug 01, 2016",5.20,6.27,4.74,6.19,6.19,"7,075,400"
67,"Jul 01, 2016",5.96,6.42,4.93,5.30,5.30,"1,177,300"
68,"Jun 01, 2016",6.66,6.99,5.56,6.02,6.02,"1,994,100"
69,"May 01, 2016",5.67,7.05,5.11,6.75,6.75,"1,860,300"
70,"Apr 01, 2016",5.66,6.63,5.03,5.67,5.67,"1,660,500"
71,"Mar 01, 2016",4.80,5.93,4.80,5.72,5.72,"2,135,200"
72,"Feb 01, 2016",4.76,5.00,3.88,4.77,4.77,"3,104,000"
