,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",43.47,45.45,41.12,44.05,44.05,"1,192,600"
1,"Jan 01, 2022",43.27,45.95,41.77,43.47,43.47,"1,468,200"
2,"Dec 01, 2021",43.17,44.71,39.61,42.96,42.96,"1,746,200"
3,"Nov 01, 2021",43.99,47.47,41.62,42.16,42.16,"1,347,800"
4,"Oct 01, 2021",43.41,44.99,42.17,43.83,43.83,"1,144,900"
5,"Sep 01, 2021",39.65,44.65,38.71,43.40,43.40,"2,069,600"
6,"Aug 01, 2021",39.59,42.00,38.37,39.55,39.55,"1,450,600"
7,"Jul 01, 2021",42.87,43.14,39.13,39.43,39.43,"1,625,600"
8,"Jun 10, 2021",0.25 Dividend,,,,,
9,"Jun 01, 2021",48.00,48.96,42.15,42.58,42.36,"2,479,500"
10,"May 01, 2021",46.74,47.97,45.05,47.95,47.70,"2,144,900"
11,"Apr 01, 2021",47.01,48.70,44.01,46.28,46.04,"1,704,300"
12,"Mar 11, 2021",0.25 Dividend,,,,,
13,"Mar 01, 2021",44.13,51.66,43.12,47.37,46.89,"2,070,800"
14,"Feb 01, 2021",37.56,45.38,36.90,43.07,42.63,"1,211,100"
15,"Jan 01, 2021",35.61,41.19,34.43,37.30,36.92,"1,876,900"
16,"Dec 03, 2020",0.22 Dividend,,,,,
17,"Dec 01, 2020",33.56,36.16,33.18,35.28,34.70,"1,703,600"
18,"Nov 01, 2020",29.38,35.90,27.81,32.76,32.22,"1,481,900"
19,"Oct 01, 2020",24.41,30.97,23.98,28.93,28.45,"2,218,400"
20,"Sep 10, 2020",0.22 Dividend,,,,,
21,"Sep 01, 2020",27.50,28.70,23.38,24.49,23.89,"1,390,600"
22,"Aug 01, 2020",27.96,31.57,27.46,27.69,27.01,"1,356,300"
23,"Jul 01, 2020",30.38,30.63,26.79,28.00,27.31,"1,929,300"
24,"Jun 11, 2020",0.22 Dividend,,,,,
25,"Jun 01, 2020",28.61,33.57,26.46,30.45,29.49,"2,985,100"
26,"May 01, 2020",29.18,30.96,23.05,28.37,27.47,"2,179,500"
27,"Apr 01, 2020",28.65,33.11,26.70,30.12,29.17,"2,520,900"
28,"Mar 12, 2020",0.22 Dividend,,,,,
29,"Mar 01, 2020",33.69,35.65,23.05,29.82,28.66,"3,532,300"
30,"Feb 01, 2020",36.68,38.36,32.93,33.82,32.51,"1,069,500"
31,"Jan 01, 2020",40.97,40.97,36.30,36.40,34.99,"1,319,400"
32,"Dec 12, 2019",0.22 Dividend,,,,,
33,"Dec 01, 2019",38.71,41.42,37.78,40.81,39.01,"1,349,800"
34,"Nov 01, 2019",37.75,38.94,37.52,38.65,36.94,"1,005,300"
35,"Oct 01, 2019",36.45,38.00,34.85,37.63,35.97,"1,171,200"
36,"Sep 12, 2019",0.22 Dividend,,,,,
37,"Sep 01, 2019",35.12,37.33,34.64,36.30,34.49,"1,401,700"
38,"Aug 01, 2019",37.79,38.18,34.49,35.36,33.59,"1,409,200"
39,"Jul 01, 2019",38.13,39.06,36.10,37.75,35.86,"1,264,100"
40,"Jun 13, 2019",0.19 Dividend,,,,,
41,"Jun 01, 2019",37.32,39.00,36.75,37.80,35.73,"1,589,000"
42,"May 01, 2019",39.98,41.31,37.04,37.30,35.26,"929,100"
43,"Apr 01, 2019",39.58,40.84,36.98,39.91,37.73,"1,073,300"
44,"Mar 14, 2019",0.19 Dividend,,,,,
45,"Mar 01, 2019",40.38,40.59,36.80,39.29,36.97,"1,871,200"
46,"Feb 01, 2019",37.84,40.41,37.11,40.22,37.84,"1,359,800"
47,"Jan 01, 2019",33.41,38.12,33.41,37.72,35.49,"2,024,700"
48,"Dec 13, 2018",0.19 Dividend,,,,,
49,"Dec 01, 2018",38.62,38.62,31.05,33.79,31.63,"1,921,400"
50,"Nov 01, 2018",36.08,38.56,35.28,38.45,35.99,"1,317,900"
51,"Oct 01, 2018",38.71,38.71,33.35,36.02,33.71,"1,524,300"
52,"Sep 13, 2018",0.17 Dividend,,,,,
53,"Sep 01, 2018",38.84,39.59,36.77,38.62,35.99,"1,617,100"
54,"Aug 01, 2018",38.97,39.88,38.08,38.88,36.23,"1,382,300"
55,"Jul 01, 2018",37.35,39.56,35.09,38.82,36.17,"2,064,100"
56,"Jun 14, 2018",0.17 Dividend,,,,,
57,"Jun 01, 2018",38.91,40.38,37.44,37.45,34.74,"2,127,500"
58,"May 01, 2018",37.23,39.88,36.58,38.92,36.11,"1,722,700"
59,"Apr 01, 2018",37.21,39.43,36.15,37.37,34.67,"1,162,400"
60,"Mar 15, 2018",0.17 Dividend,,,,,
61,"Mar 01, 2018",37.28,40.00,36.48,37.22,34.38,"1,905,900"
62,"Feb 01, 2018",36.78,38.98,35.75,37.35,34.50,"1,628,000"
63,"Jan 01, 2018",38.25,40.04,36.66,36.98,34.16,"1,674,400"
64,"Dec 14, 2017",0.17 Dividend,,,,,
65,"Dec 01, 2017",41.85,43.31,37.86,37.86,34.82,"1,881,900"
66,"Nov 01, 2017",41.78,43.80,39.36,42.03,38.66,"1,789,700"
67,"Oct 01, 2017",40.76,43.22,39.50,41.42,38.10,"1,829,000"
68,"Sep 14, 2017",0.17 Dividend,,,,,
69,"Sep 01, 2017",35.57,41.03,33.36,40.75,37.30,"1,347,500"
70,"Aug 01, 2017",36.89,38.58,34.82,35.58,32.57,"1,312,600"
71,"Jul 01, 2017",35.29,37.18,34.26,36.90,33.78,"1,335,700"
72,"Jun 13, 2017",0.17 Dividend,,,,,
73,"Jun 01, 2017",35.11,37.98,33.74,35.15,32.03,"1,368,000"
74,"May 01, 2017",35.60,36.35,34.03,34.88,31.78,"1,243,800"
75,"Apr 01, 2017",35.57,37.31,32.82,35.46,32.31,"854,600"
76,"Mar 16, 2017",0.15 Dividend,,,,,
77,"Mar 01, 2017",36.98,37.38,32.76,35.53,32.24,"1,134,900"
78,"Feb 01, 2017",37.00,37.45,35.59,36.33,32.96,"1,239,800"
79,"Jan 01, 2017",34.55,37.00,32.66,36.87,33.45,"1,477,400"
80,"Dec 13, 2016",0.15 Dividend,,,,,
81,"Dec 01, 2016",31.15,34.59,29.01,34.18,30.87,"1,079,200"
82,"Nov 01, 2016",26.44,32.38,25.43,31.26,28.24,"1,158,700"
83,"Oct 01, 2016",26.57,27.52,25.85,26.32,23.77,"768,000"
84,"Sep 12, 2016",0.15 Dividend,,,,,
85,"Sep 01, 2016",26.99,27.35,25.79,26.77,24.05,"1,107,500"
86,"Aug 01, 2016",25.81,27.63,25.30,27.04,24.29,"1,551,000"
87,"Jul 01, 2016",27.47,28.63,23.90,26.02,23.37,"1,195,900"
88,"Jun 15, 2016",0.15 Dividend,,,,,
89,"Jun 01, 2016",27.64,28.98,26.16,27.60,24.66,"1,796,000"
90,"May 01, 2016",26.99,28.29,25.96,28.16,25.16,"1,107,200"
91,"Apr 01, 2016",25.36,27.31,23.51,26.92,24.05,"937,100"
92,"Mar 14, 2016",0.15 Dividend,,,,,
93,"Mar 01, 2016",24.91,26.16,24.78,25.32,22.49,"1,287,000"
94,"Feb 01, 2016",25.48,27.42,23.47,24.80,22.03,"1,493,700"
95,"Jan 01, 2016",27.27,27.27,24.52,25.51,22.66,"1,477,000"
96,"Dec 16, 2015",0.15 Dividend,,,,,
97,"Dec 01, 2015",29.42,29.61,26.61,27.44,24.24,"1,584,000"
98,"Nov 01, 2015",26.40,29.65,26.30,29.30,25.89,"2,006,800"
99,"Oct 01, 2015",24.51,26.57,23.59,26.36,23.29,"1,583,100"
100,"Sep 16, 2015",0.13 Dividend,,,,,
101,"Sep 01, 2015",23.40,25.02,22.89,24.57,21.59,"1,509,500"
102,"Aug 01, 2015",24.91,25.70,22.97,23.74,20.87,"1,664,300"
103,"Jul 01, 2015",24.36,24.91,23.32,24.79,21.79,"1,908,500"
104,"Jun 15, 2015",0.13 Dividend,,,,,
105,"Jun 01, 2015",23.78,24.86,23.40,24.05,21.03,"1,825,100"
106,"May 01, 2015",23.20,24.49,22.44,23.59,20.62,"889,800"
107,"Apr 01, 2015",23.95,24.91,23.12,23.32,20.39,"609,100"
108,"Mar 18, 2015",0.11 Dividend,,,,,
109,"Mar 01, 2015",23.83,24.84,23.00,24.13,21.00,"987,800"
110,"Feb 01, 2015",23.30,24.81,23.06,23.90,20.80,"1,398,900"
111,"Jan 01, 2015",24.70,24.71,22.68,23.35,20.32,"1,241,800"
112,"Dec 17, 2014",0.11 Dividend,,,,,
113,"Dec 01, 2014",24.82,26.45,24.12,24.70,21.40,"1,973,500"
114,"Nov 01, 2014",25.81,26.65,24.75,24.81,21.50,"1,252,500"
115,"Oct 01, 2014",22.68,26.32,21.92,26.30,22.79,"2,770,600"
116,"Sep 17, 2014",0.11 Dividend,,,,,
117,"Sep 01, 2014",22.49,24.37,22.27,22.62,19.51,"1,239,500"
118,"Aug 01, 2014",22.44,23.15,21.56,22.35,19.27,"1,494,300"
119,"Jul 01, 2014",23.26,24.06,21.83,22.37,19.29,"1,384,700"
120,"Jun 16, 2014",0.11 Dividend,,,,,
121,"Jun 01, 2014",22.53,24.12,22.40,23.14,19.86,"1,111,700"
122,"May 01, 2014",24.25,24.25,22.52,22.89,19.65,"1,054,600"
123,"Apr 01, 2014",25.90,26.37,23.60,24.25,20.81,"1,211,300"
124,"Mar 17, 2014",0.11 Dividend,,,,,
125,"Mar 01, 2014",24.75,26.50,24.50,25.93,22.16,"1,400,600"
126,"Feb 01, 2014",24.80,25.48,23.57,24.99,21.35,"1,750,500"
127,"Jan 01, 2014",28.32,28.68,24.63,24.76,21.16,"1,829,100"
128,"Dec 18, 2013",0.11 Dividend,,,,,
129,"Dec 01, 2013",27.66,29.30,26.40,28.37,24.14,"526,100"
130,"Nov 01, 2013",25.22,27.68,24.87,27.59,23.48,"523,600"
131,"Oct 01, 2013",22.74,25.70,22.00,25.29,21.52,"656,800"
132,"Sep 18, 2013",0.11 Dividend,,,,,
133,"Sep 01, 2013",20.76,22.87,20.11,22.78,19.29,"1,648,900"
134,"Aug 01, 2013",21.77,22.46,20.37,20.50,17.36,"853,900"
135,"Jul 01, 2013",21.40,23.34,21.14,21.66,18.34,"961,100"
136,"Jun 19, 2013",0.11 Dividend,,,,,
137,"Jun 01, 2013",20.09,21.96,19.86,21.33,17.97,"1,128,900"
138,"May 01, 2013",17.80,20.39,17.62,19.96,16.81,"1,208,100"
139,"Apr 01, 2013",17.12,17.63,15.64,17.47,14.72,"682,900"
140,"Mar 15, 2013",0.09 Dividend,,,,,
141,"Mar 01, 2013",16.78,17.95,16.78,17.10,14.33,"449,400"
142,"Feb 01, 2013",16.54,17.14,16.29,17.05,14.29,"676,300"
143,"Jan 01, 2013",17.14,17.60,16.22,16.48,13.81,"841,300"
144,"Dec 18, 2012",0.09 Dividend,,,,,
145,"Dec 01, 2012",15.99,17.33,15.44,16.75,13.96,"550,500"
146,"Nov 01, 2012",16.85,17.07,14.68,15.88,13.24,"493,900"
147,"Oct 01, 2012",16.58,17.00,15.29,16.80,14.00,"691,400"
148,"Sep 13, 2012",0.09 Dividend,,,,,
149,"Sep 01, 2012",15.42,17.12,15.00,16.53,13.70,"757,700"
150,"Aug 01, 2012",15.25,15.90,14.75,15.36,12.73,"747,800"
151,"Jul 01, 2012",15.40,15.60,14.72,15.25,12.64,"628,600"
152,"Jun 13, 2012",0.09 Dividend,,,,,
153,"Jun 01, 2012",15.09,15.67,14.71,15.40,12.69,"1,144,200"
154,"May 01, 2012",16.56,17.17,14.99,15.35,12.65,"674,800"
155,"Apr 01, 2012",17.31,17.75,15.72,16.44,13.55,"585,000"
156,"Mar 16, 2012",0.09 Dividend,,,,,
157,"Mar 01, 2012",16.35,17.80,15.11,17.42,14.28,"644,100"
158,"Feb 01, 2012",15.14,16.98,14.82,16.20,13.28,"607,100"
159,"Jan 01, 2012",14.58,15.50,14.22,14.94,12.24,"570,100"
160,"Dec 15, 2011",0.09 Dividend,,,,,
161,"Dec 01, 2011",14.66,15.24,13.80,14.22,11.58,"626,000"
162,"Nov 01, 2011",14.13,15.28,12.59,14.77,12.03,"680,200"
163,"Oct 01, 2011",12.25,15.66,11.50,14.83,12.08,"808,200"
164,"Sep 07, 2011",0.09 Dividend,,,,,
165,"Sep 01, 2011",13.60,14.00,11.65,12.27,9.92,"767,300"
166,"Aug 01, 2011",15.00,15.32,11.75,13.53,10.94,"853,300"
167,"Jul 01, 2011",14.62,15.53,14.27,14.82,11.98,"416,600"
168,"Jun 13, 2011",0.09 Dividend,,,,,
169,"Jun 01, 2011",14.77,14.92,13.01,14.60,11.72,"517,100"
170,"May 01, 2011",16.35,16.38,14.15,14.87,11.94,"442,500"
171,"Apr 01, 2011",16.39,16.72,14.85,16.31,13.10,"387,700"
172,"Mar 17, 2011",0.09 Dividend,,,,,
173,"Mar 01, 2011",16.17,16.50,14.62,16.31,13.02,"553,300"
174,"Feb 01, 2011",15.25,16.77,15.22,16.23,12.95,"391,600"
175,"Jan 01, 2011",16.31,16.88,14.35,15.17,12.11,"658,100"
176,"Dec 15, 2010",0.09 Dividend,,,,,
177,"Dec 01, 2010",14.73,16.51,14.25,16.15,12.81,"571,700"
178,"Nov 01, 2010",15.43,15.75,13.98,14.43,11.45,"626,500"
179,"Oct 01, 2010",15.52,16.61,15.01,15.59,12.37,"488,400"
180,"Sep 08, 2010",0.09 Dividend,,,,,
