,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",5.58,6.50,5.32,6.19,6.19,"663,800"
1,"Jan 01, 2022",6.15,6.88,5.36,5.65,5.65,"725,200"
2,"Dec 01, 2021",5.28,8.32,5.15,6.31,6.31,"14,282,000"
3,"Nov 01, 2021",5.29,6.40,5.22,5.30,5.30,"497,200"
4,"Oct 01, 2021",5.74,5.94,5.08,5.24,5.24,"813,000"
5,"Sep 01, 2021",6.20,6.29,5.12,5.58,5.58,"425,400"
6,"Aug 01, 2021",5.76,6.30,5.45,6.17,6.17,"517,200"
7,"Jul 01, 2021",6.23,8.09,5.76,6.01,6.01,"6,659,400"
8,"Jun 01, 2021",7.42,7.69,5.80,6.15,6.15,"540,200"
9,"May 01, 2021",7.25,7.75,7.00,7.44,7.44,"246,900"
10,"Apr 01, 2021",7.24,8.46,7.01,7.23,7.23,"515,600"
11,"Mar 01, 2021",7.13,8.20,6.35,7.24,7.24,"661,700"
12,"Feb 01, 2021",7.68,9.25,6.95,7.01,7.01,"1,647,000"
13,"Jan 01, 2021",6.18,8.19,6.06,7.74,7.74,"877,400"
14,"Dec 01, 2020",6.30,7.18,5.32,6.24,6.24,"1,346,500"
15,"Nov 01, 2020",6.09,6.90,5.40,6.38,6.38,"763,300"
16,"Oct 01, 2020",5.41,6.77,5.41,6.10,6.10,"301,000"
17,"Sep 01, 2020",6.15,6.88,5.08,5.37,5.37,"463,500"
18,"Aug 01, 2020",6.10,8.50,5.79,6.17,6.17,"1,070,900"
19,"Jul 01, 2020",5.49,7.00,5.19,6.16,6.16,"1,045,000"
20,"Jun 01, 2020",5.30,6.80,4.53,5.50,5.50,"3,410,700"
21,"May 01, 2020",6.00,6.85,4.12,5.32,5.32,"1,955,900"
22,"Apr 01, 2020",4.82,6.87,4.23,6.16,6.16,"1,027,100"
23,"Mar 01, 2020",5.99,6.74,4.31,4.89,4.89,"1,430,200"
24,"Feb 11, 2020",0.02 Dividend,,,,,
25,"Feb 01, 2020",6.19,7.25,5.72,5.99,5.97,"1,128,800"
26,"Jan 01, 2020",11.37,12.26,6.16,6.20,6.18,"1,874,400"
27,"Dec 01, 2019",11.20,11.83,9.81,11.22,11.19,"1,567,500"
28,"Nov 12, 2019",0.2 Dividend,,,,,
29,"Nov 01, 2019",13.38,14.22,11.12,11.22,11.00,"946,700"
30,"Oct 01, 2019",14.05,16.18,12.77,13.29,13.03,"737,600"
31,"Sep 01, 2019",14.27,16.38,13.36,14.37,14.09,"1,034,000"
32,"Aug 06, 2019",0.2 Dividend,,,,,
33,"Aug 01, 2019",14.74,16.04,13.01,14.78,14.28,"1,071,400"
34,"Jul 01, 2019",18.38,19.28,13.13,14.72,14.23,"1,829,700"
35,"Jun 01, 2019",17.28,19.64,16.51,17.86,17.26,"1,656,800"
36,"May 21, 2019",0.2 Dividend,,,,,
37,"May 01, 2019",18.68,19.95,15.00,17.50,16.72,"839,000"
38,"Apr 01, 2019",15.51,20.00,15.11,18.54,17.71,"1,449,500"
39,"Mar 01, 2019",16.64,17.20,15.00,15.48,14.79,"633,900"
40,"Feb 12, 2019",0.2 Dividend,,,,,
41,"Feb 01, 2019",16.15,17.45,14.60,16.45,15.51,"404,300"
42,"Jan 01, 2019",12.06,17.35,11.30,16.01,15.10,"375,400"
43,"Dec 01, 2018",12.24,12.60,10.20,12.00,11.31,"438,200"
44,"Nov 13, 2018",0.2 Dividend,,,,,
45,"Nov 01, 2018",12.16,12.37,11.01,12.14,11.25,"349,000"
46,"Oct 01, 2018",15.30,15.69,11.38,12.09,11.21,"334,300"
47,"Sep 01, 2018",17.77,18.50,15.10,15.25,14.13,"228,400"
48,"Aug 01, 2018",18.55,18.80,16.75,17.85,16.54,"139,500"
49,"Jul 31, 2018",0.2 Dividend,,,,,
50,"Jul 01, 2018",17.13,18.85,16.47,18.55,17.00,"405,300"
