,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",1.9500,2.0700,1.7400,1.9000,1.9000,"28,893,600"
1,"Jan 01, 2022",2.0600,2.2700,1.8000,1.9100,1.9100,"48,679,300"
2,"Dec 01, 2021",2.0600,2.2000,1.7800,2.0500,2.0500,"37,132,400"
3,"Nov 01, 2021",2.1300,2.3800,1.9100,2.0900,2.0900,"35,002,900"
4,"Oct 01, 2021",1.9000,2.4100,1.8200,2.1100,2.1100,"37,830,800"
5,"Sep 01, 2021",1.7600,2.0100,1.6700,1.8900,1.8900,"32,836,500"
6,"Aug 01, 2021",1.8100,1.8600,1.4900,1.7800,1.7800,"24,891,600"
7,"Jul 01, 2021",2.1000,2.1200,1.5700,1.8100,1.8100,"32,387,800"
8,"Jun 01, 2021",2.5200,2.5600,1.9000,2.1200,2.1200,"39,251,300"
9,"May 01, 2021",2.0400,2.6700,2.0000,2.4900,2.4900,"70,017,500"
10,"Apr 01, 2021",1.7500,2.1600,1.7000,1.9900,1.9900,"57,533,200"
11,"Mar 01, 2021",1.7800,1.8900,1.4700,1.7200,1.7200,"66,356,200"
12,"Feb 01, 2021",1.2700,2.0900,1.2400,1.6600,1.6600,"82,979,800"
13,"Jan 01, 2021",1.3500,1.4700,1.0700,1.1900,1.1900,"44,955,500"
14,"Dec 01, 2020",0.9800,1.4200,0.9600,1.3200,1.3200,"52,563,900"
15,"Nov 01, 2020",0.9300,1.0700,0.7800,0.9600,0.9600,"41,226,600"
16,"Oct 01, 2020",1.0500,1.2100,0.8700,0.9400,0.9400,"25,230,900"
17,"Sep 01, 2020",0.9800,1.3400,0.9000,1.0600,1.0600,"38,657,500"
18,"Aug 01, 2020",0.6800,0.9800,0.6300,0.9600,0.9600,"38,149,200"
19,"Jul 01, 2020",0.4900,0.8600,0.4600,0.6500,0.6500,"58,445,100"
20,"Jun 01, 2020",0.4200,0.5400,0.4000,0.5000,0.5000,"16,293,700"
21,"May 01, 2020",0.3400,0.4500,0.3000,0.4000,0.4000,"8,350,100"
22,"Apr 01, 2020",0.2500,0.3500,0.2400,0.3400,0.3400,"7,945,400"
23,"Mar 01, 2020",0.3600,0.3800,0.2000,0.2700,0.2700,"15,535,100"
24,"Feb 01, 2020",0.4600,0.4800,0.3400,0.3500,0.3500,"9,565,000"
25,"Jan 01, 2020",0.4900,0.6200,0.4300,0.4600,0.4600,"14,753,200"
26,"Dec 01, 2019",0.4200,0.4900,0.3900,0.4800,0.4800,"11,444,400"
27,"Nov 01, 2019",0.4000,0.4900,0.3900,0.4200,0.4200,"5,246,800"
28,"Oct 01, 2019",0.4200,0.4500,0.3900,0.4000,0.4000,"5,184,300"
29,"Sep 01, 2019",0.4300,0.5100,0.4000,0.4200,0.4200,"4,879,900"
30,"Aug 01, 2019",0.4500,0.4700,0.3800,0.4300,0.4300,"9,465,300"
31,"Jul 01, 2019",0.5700,0.5700,0.4500,0.4600,0.4600,"6,584,500"
32,"Jun 01, 2019",0.4600,0.5600,0.4600,0.5300,0.5300,"11,335,500"
33,"May 01, 2019",0.7000,0.7100,0.4500,0.4500,0.4500,"6,978,700"
34,"Apr 01, 2019",0.5900,0.7900,0.5600,0.7000,0.7000,"12,003,300"
35,"Mar 01, 2019",0.6700,0.6900,0.5600,0.5900,0.5900,"6,863,300"
36,"Feb 01, 2019",0.5900,0.7200,0.5400,0.6700,0.6700,"11,191,600"
37,"Jan 01, 2019",0.4900,0.6800,0.4600,0.5700,0.5700,"9,047,200"
38,"Dec 01, 2018",0.7500,0.7500,0.4400,0.4700,0.4700,"10,703,400"
39,"Nov 01, 2018",0.6900,0.7400,0.5900,0.6400,0.6400,"5,056,700"
40,"Oct 01, 2018",0.8400,0.8400,0.6200,0.6700,0.6700,"5,224,300"
41,"Sep 01, 2018",0.7500,0.8500,0.7000,0.8000,0.8000,"8,152,900"
42,"Aug 01, 2018",0.8900,0.9100,0.6800,0.7800,0.7800,"16,045,100"
43,"Jul 01, 2018",1.0800,1.1200,0.8800,0.9000,0.9000,"11,311,900"
44,"Jun 01, 2018",1.0800,1.4000,1.0400,1.0800,1.0800,"23,762,300"
45,"May 01, 2018",1.1900,1.2800,1.0500,1.0800,1.0800,"14,616,800"
46,"Apr 01, 2018",1.1500,1.3600,1.1100,1.2100,1.2100,"12,291,400"
47,"Mar 01, 2018",1.2500,1.4600,1.1000,1.1500,1.1500,"20,839,300"
48,"Feb 01, 2018",1.7700,1.8900,1.2100,1.2200,1.2200,"19,131,200"
49,"Jan 01, 2018",2.3600,2.3800,1.6500,1.7900,1.7900,"22,774,200"
50,"Dec 01, 2017",2.0700,2.3800,1.9600,2.3300,2.3300,"15,169,400"
51,"Nov 01, 2017",2.2400,2.2700,1.9500,2.0800,2.0800,"17,867,900"
52,"Oct 01, 2017",1.8700,2.4600,1.5400,2.2200,2.2200,"32,929,000"
53,"Sep 01, 2017",1.9400,2.0500,1.6800,1.8500,1.8500,"29,790,500"
54,"Aug 01, 2017",1.5200,1.9500,1.4200,1.9200,1.9200,"25,147,300"
55,"Jul 01, 2017",1.2500,1.5300,1.1800,1.5200,1.5200,"10,788,900"
56,"Jun 01, 2017",1.3100,1.3100,1.1100,1.2700,1.2700,"10,947,000"
57,"May 01, 2017",1.1000,1.3400,1.0200,1.3100,1.3100,"13,437,400"
58,"Apr 01, 2017",1.3200,1.3600,1.0000,1.1400,1.1400,"10,573,300"
59,"Mar 01, 2017",1.3300,1.4900,1.1500,1.3200,1.3200,"19,808,900"
60,"Feb 01, 2017",1.4700,1.6300,1.2500,1.3200,1.3200,"24,607,300"
61,"Jan 01, 2017",0.8600,1.5000,0.8600,1.4700,1.4700,"20,817,400"
62,"Dec 01, 2016",0.6600,1.0000,0.6400,0.8500,0.8500,"17,516,300"
63,"Nov 01, 2016",0.4600,0.6900,0.4500,0.6600,0.6600,"17,460,900"
64,"Oct 01, 2016",0.4800,0.5000,0.4200,0.4500,0.4500,"1,915,400"
65,"Sep 01, 2016",0.4600,0.5100,0.4200,0.4800,0.4800,"3,118,100"
66,"Aug 01, 2016",0.5600,0.6200,0.4400,0.4600,0.4600,"4,893,800"
67,"Jul 01, 2016",0.4800,0.6700,0.4700,0.5600,0.5600,"6,403,400"
68,"Jun 01, 2016",0.4800,0.5500,0.4100,0.4900,0.4900,"3,004,800"
69,"May 01, 2016",0.6100,0.6400,0.4500,0.4800,0.4800,"4,323,600"
70,"Apr 01, 2016",0.5400,0.7000,0.4700,0.6400,0.6400,"6,932,000"
71,"Mar 01, 2016",0.3600,0.6100,0.3500,0.5600,0.5600,"9,263,700"
72,"Feb 01, 2016",0.3500,0.3900,0.3100,0.3600,0.3600,"3,251,300"
73,"Jan 01, 2016",0.3300,0.3900,0.2300,0.3800,0.3800,"15,978,700"
74,"Dec 01, 2015",0.3600,0.3900,0.3100,0.3400,0.3400,"5,843,600"
75,"Nov 01, 2015",0.4900,0.5100,0.3500,0.3600,0.3600,"3,452,600"
76,"Oct 01, 2015",0.4200,0.5700,0.4100,0.4900,0.4900,"3,164,600"
77,"Sep 01, 2015",0.4500,0.5500,0.4000,0.4000,0.4000,"2,955,300"
78,"Aug 01, 2015",0.4800,0.5700,0.3200,0.4800,0.4800,"4,374,300"
79,"Jul 01, 2015",0.5500,0.6000,0.4500,0.4900,0.4900,"4,974,800"
80,"Jun 01, 2015",0.6500,0.6800,0.5100,0.5500,0.5500,"6,178,300"
81,"May 01, 2015",0.8300,0.9300,0.6100,0.6500,0.6500,"5,989,100"
82,"Apr 01, 2015",0.6400,0.8400,0.6400,0.8000,0.8000,"5,651,900"
83,"Mar 01, 2015",0.8500,0.9000,0.5900,0.6400,0.6400,"6,416,400"
84,"Feb 01, 2015",0.7500,0.9500,0.7300,0.8500,0.8500,"5,154,300"
85,"Jan 01, 2015",1.0300,1.0900,0.7200,0.7500,0.7500,"5,401,000"
86,"Dec 01, 2014",1.2900,1.2900,0.9300,1.0300,1.0300,"7,988,200"
87,"Nov 01, 2014",1.3400,1.4800,1.1700,1.2700,1.2700,"4,656,800"
88,"Oct 01, 2014",1.6800,1.7500,1.2500,1.3200,1.3200,"5,223,800"
89,"Sep 01, 2014",2.1700,2.1900,1.5900,1.7000,1.7000,"7,534,400"
90,"Aug 01, 2014",2.3000,2.3400,2.1500,2.1900,2.1900,"5,300,800"
91,"Jul 01, 2014",2.4900,2.6000,2.2700,2.3000,2.3000,"6,961,400"
92,"Jun 11, 2014",0 Dividend,,,,,
93,"Jun 05, 2014",0 Dividend,,,,,
94,"Jun 01, 2014",2.1900,2.5100,2.1300,2.5000,2.5000,"6,068,800"
95,"May 20, 2014",0 Dividend,,,,,
96,"May 16, 2014",0 Dividend,,,,,
97,"May 01, 2014",2.1500,2.2500,2.0800,2.2200,2.2200,"6,130,300"
98,"Apr 02, 2014",0 Dividend,,,,,
99,"Apr 01, 2014",1.9700,2.1900,1.9500,2.1600,2.1600,"7,032,500"
100,"Mar 01, 2014",2.0100,2.1600,1.9000,1.9700,1.9700,"10,181,500"
101,"Feb 01, 2014",2.0500,2.2400,1.8600,2.0400,2.0400,"12,428,700"
102,"Jan 01, 2014",2.1400,2.3000,2.0000,2.0500,2.0500,"8,857,600"
103,"Dec 01, 2013",2.0000,2.1700,1.7800,2.1200,2.1200,"10,762,400"
104,"Nov 01, 2013",2.2200,2.2500,1.9600,2.0000,2.0000,"10,397,100"
105,"Oct 01, 2013",2.0400,2.6600,2.0100,2.4500,2.4500,"12,784,200"
106,"Sep 01, 2013",2.0900,2.1900,2.0000,2.0400,2.0400,"6,867,200"
107,"Aug 01, 2013",2.0800,2.2600,1.9000,2.0600,2.0600,"9,590,200"
108,"Jul 01, 2013",1.8900,2.2800,1.8300,2.0300,2.0300,"6,848,100"
109,"Jun 01, 2013",2.2100,2.2300,1.8000,1.8800,1.8800,"6,983,800"
110,"May 01, 2013",2.3000,2.4400,2.0500,2.2200,2.2200,"7,850,400"
111,"Apr 01, 2013",2.7800,2.7800,1.8900,2.3400,2.3400,"12,670,300"
112,"Mar 01, 2013",2.8400,3.1000,2.6800,2.7700,2.7700,"6,548,400"
113,"Feb 01, 2013",3.3500,3.3600,2.7600,2.8100,2.8100,"5,856,200"
114,"Jan 01, 2013",3.0900,3.5300,3.0400,3.3100,3.3100,"7,719,100"
115,"Dec 01, 2012",2.8500,3.0500,2.8000,3.0000,3.0000,"6,608,200"
116,"Nov 01, 2012",2.8000,3.2000,2.6100,2.8200,2.8200,"8,273,700"
117,"Oct 01, 2012",3.3400,3.4300,2.7100,2.7500,2.7500,"6,024,000"
118,"Sep 01, 2012",2.9800,3.5300,2.9700,3.3400,3.3400,"10,426,300"
119,"Aug 01, 2012",2.5100,3.0000,2.4600,3.0000,3.0000,"8,163,400"
120,"Jul 01, 2012",2.6900,2.8000,2.4900,2.5000,2.5000,"6,301,400"
121,"Jun 01, 2012",2.5900,2.8700,2.4500,2.6600,2.6600,"9,828,400"
122,"May 01, 2012",3.4800,3.6000,2.5700,2.6300,2.6300,"12,553,900"
123,"Apr 01, 2012",3.4800,3.5800,3.0200,3.5000,3.5000,"12,088,800"
124,"Mar 01, 2012",4.0400,4.1500,3.3700,3.5200,3.5200,"17,319,800"
125,"Feb 01, 2012",3.6900,4.3000,3.5300,4.0300,4.0300,"18,597,200"
126,"Jan 01, 2012",2.8200,3.6500,2.7500,3.6300,3.6300,"15,657,200"
127,"Dec 01, 2011",3.1200,3.1800,2.5000,2.7300,2.7300,"17,321,400"
128,"Nov 01, 2011",3.5300,3.8200,2.7000,3.0700,3.0700,"20,636,000"
129,"Oct 01, 2011",2.5000,3.8500,2.3000,3.6600,3.6600,"26,555,000"
130,"Sep 01, 2011",4.0900,4.0900,2.5000,2.5500,2.5500,"28,565,700"
131,"Aug 01, 2011",4.5900,4.6100,3.2300,4.0500,4.0500,"46,620,300"
132,"Jul 01, 2011",4.9800,5.0800,4.4100,4.4500,4.4500,"23,994,700"
133,"Jun 01, 2011",5.1800,5.1800,4.1600,4.9600,4.9600,"28,731,100"
134,"May 01, 2011",5.2100,5.4400,4.7200,5.2000,5.2000,"28,880,400"
135,"Apr 01, 2011",5.9200,6.0800,5.2000,5.2700,5.2700,"27,051,200"
136,"Mar 01, 2011",6.3400,6.3800,5.1800,5.9300,5.9300,"49,957,500"
137,"Feb 01, 2011",5.7000,6.3700,5.6900,6.3100,6.3100,"61,113,900"
138,"Jan 01, 2011",5.2700,6.0800,4.8500,5.6400,5.6400,"79,347,500"
139,"Dec 01, 2010",4.4800,5.2900,4.4300,5.2500,5.2500,"61,300,400"
140,"Nov 01, 2010",6.4900,6.6200,4.0200,4.4400,4.4400,"125,736,200"
141,"Oct 01, 2010",5.3200,7.2300,4.5800,6.3100,6.3100,"93,091,700"
142,"Sep 01, 2010",4.4900,5.4000,4.2800,5.2000,5.2000,"38,134,500"
143,"Aug 01, 2010",4.1500,4.7100,3.9000,4.3900,4.3900,"31,090,500"
144,"Jul 01, 2010",4.1600,4.3600,3.3100,4.0700,4.0700,"46,393,800"
145,"Jun 01, 2010",5.2400,5.2800,4.2200,4.2800,4.2800,"38,526,300"
146,"May 01, 2010",5.7700,6.0500,4.3500,5.3100,5.3100,"71,870,100"
147,"Apr 01, 2010",5.2500,6.2100,5.2500,5.6800,5.6800,"44,072,500"
148,"Mar 01, 2010",4.6400,5.2500,4.5900,5.1800,5.1800,"38,840,700"
149,"Feb 01, 2010",4.1600,4.7400,3.8700,4.5200,4.5200,"51,641,200"
150,"Jan 01, 2010",4.2600,5.6500,4.1000,4.2600,4.2600,"76,051,500"
151,"Dec 01, 2009",3.5900,4.4500,3.4000,4.2200,4.2200,"69,406,300"
152,"Nov 01, 2009",2.7500,3.5400,2.5700,3.4000,3.4000,"59,068,600"
153,"Oct 01, 2009",2.6500,3.2000,2.4000,2.7200,2.7200,"42,813,100"
