,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",19.42,22.75,19.36,22.71,22.62,"76,439,300"
1,"Jan 01, 2022",18.69,20.50,17.94,19.36,19.28,"38,145,700"
2,"Dec 09, 2021",0.095 Dividend,,,,,
3,"Dec 01, 2021",20.20,20.79,18.09,18.56,18.40,"33,278,600"
4,"Nov 01, 2021",19.75,21.54,19.54,19.75,19.58,"34,432,200"
5,"Oct 01, 2021",19.84,20.86,19.46,19.66,19.49,"26,753,300"
6,"Sep 02, 2021",0.095 Dividend,,,,,
7,"Sep 01, 2021",17.85,22.09,16.42,19.72,19.44,"50,212,900"
8,"Aug 01, 2021",17.85,18.17,16.81,17.72,17.47,"20,709,400"
9,"Jul 01, 2021",18.91,19.24,16.98,17.72,17.47,"17,429,000"
10,"Jun 03, 2021",0.095 Dividend,,,,,
11,"Jun 01, 2021",19.47,19.93,18.03,18.76,18.41,"28,059,400"
12,"May 01, 2021",20.32,20.48,18.66,19.39,19.02,"27,262,100"
13,"Apr 01, 2021",19.00,21.52,18.94,20.06,19.68,"27,501,600"
14,"Mar 04, 2021",0.07 Dividend,,,,,
15,"Mar 01, 2021",18.20,20.78,16.77,18.83,18.40,"52,337,400"
16,"Feb 01, 2021",16.15,19.27,15.93,18.23,17.82,"32,096,300"
17,"Jan 01, 2021",14.08,16.39,13.75,16.03,15.67,"32,966,200"
18,"Dec 10, 2020",0.07 Dividend,,,,,
19,"Dec 01, 2020",14.47,14.97,13.05,13.95,13.57,"34,373,100"
20,"Nov 01, 2020",12.19,14.99,11.96,14.41,14.02,"34,135,500"
21,"Oct 01, 2020",11.74,13.47,11.26,12.03,11.70,"36,489,600"
22,"Sep 03, 2020",0.07 Dividend,,,,,
23,"Sep 01, 2020",12.45,12.73,11.50,11.75,11.36,"27,049,300"
24,"Aug 01, 2020",11.81,12.97,11.48,12.52,12.11,"28,956,100"
25,"Jul 01, 2020",11.14,12.38,10.25,11.78,11.39,"36,882,900"
26,"Jun 04, 2020",0.07 Dividend,,,,,
27,"Jun 01, 2020",11.81,13.26,10.49,11.14,10.71,"48,929,900"
28,"May 01, 2020",10.52,12.37,9.66,11.72,11.27,"57,184,900"
29,"Apr 01, 2020",10.65,12.11,9.87,10.72,10.31,"67,895,400"
30,"Mar 05, 2020",0.07 Dividend,,,,,
31,"Mar 01, 2020",14.41,18.31,9.61,10.86,10.39,"110,036,600"
32,"Feb 01, 2020",16.99,18.12,14.05,14.32,13.70,"53,659,700"
33,"Jan 01, 2020",16.85,18.30,16.07,16.90,16.17,"49,349,300"
34,"Dec 05, 2019",0.07 Dividend,,,,,
35,"Dec 01, 2019",15.24,17.24,14.77,16.69,15.90,"36,848,800"
36,"Nov 01, 2019",15.12,15.79,14.16,15.35,14.62,"27,692,600"
37,"Oct 01, 2019",15.63,16.12,14.17,15.03,14.32,"27,256,300"
38,"Sep 05, 2019",0.07 Dividend,,,,,
39,"Sep 01, 2019",14.30,16.24,13.96,15.53,14.72,"41,789,200"
40,"Aug 01, 2019",15.18,16.58,13.34,14.31,13.57,"66,802,300"
41,"Jul 01, 2019",15.30,15.89,14.63,15.19,14.40,"30,844,900"
42,"Jun 06, 2019",0.07 Dividend,,,,,
43,"Jun 01, 2019",15.11,15.88,14.27,15.15,14.30,"56,200,400"
44,"May 01, 2019",15.94,16.29,14.85,15.14,14.29,"62,330,600"
45,"Apr 01, 2019",14.18,16.57,13.89,15.92,15.03,"54,087,500"
46,"Mar 07, 2019",0.07 Dividend,,,,,
47,"Mar 01, 2019",14.22,15.58,13.75,14.10,13.25,"64,072,600"
48,"Feb 01, 2019",11.84,13.21,11.25,13.17,12.37,"38,538,300"
49,"Jan 01, 2019",10.66,12.06,10.63,11.74,11.03,"33,401,100"
50,"Dec 06, 2018",0.07 Dividend,,,,,
51,"Dec 01, 2018",13.49,13.50,10.24,10.87,10.16,"38,032,800"
52,"Nov 01, 2018",11.62,13.59,11.61,13.29,12.42,"50,323,900"
53,"Oct 01, 2018",12.03,12.07,10.80,11.54,10.78,"37,069,600"
54,"Sep 06, 2018",0.07 Dividend,,,,,
55,"Sep 01, 2018",11.55,12.16,11.15,11.96,11.11,"29,790,900"
56,"Aug 01, 2018",11.00,11.91,10.37,11.64,10.81,"44,210,000"
57,"Jul 01, 2018",10.77,12.49,10.53,11.03,10.24,"46,869,000"
58,"Jun 07, 2018",0.07 Dividend,,,,,
59,"Jun 01, 2018",10.45,12.10,10.11,10.85,10.01,"63,036,400"
60,"May 01, 2018",10.59,11.11,10.00,10.37,9.57,"40,785,300"
61,"Apr 01, 2018",11.37,11.44,10.46,10.57,9.75,"50,032,300"
62,"Mar 08, 2018",0.07 Dividend,,,,,
63,"Mar 01, 2018",13.50,13.58,11.14,11.39,10.45,"46,546,500"
64,"Feb 01, 2018",14.46,14.49,12.70,12.86,11.80,"46,157,400"
65,"Jan 01, 2018",14.12,15.60,14.00,14.47,13.28,"42,109,500"
66,"Dec 07, 2017",0.07 Dividend,,,,,
67,"Dec 01, 2017",13.25,14.51,13.14,14.08,12.85,"55,637,100"
68,"Nov 01, 2017",12.30,13.57,11.59,13.28,12.12,"52,368,300"
69,"Oct 01, 2017",13.24,13.62,12.19,12.23,11.16,"45,373,400"
70,"Sep 07, 2017",0.07 Dividend,,,,,
71,"Sep 01, 2017",12.68,13.46,12.01,13.33,12.10,"54,902,400"
72,"Aug 01, 2017",14.78,14.86,12.31,12.62,11.46,"57,614,700"
73,"Jul 01, 2017",14.50,15.44,14.21,14.83,13.46,"48,474,600"
74,"Jun 07, 2017",0.07 Dividend,,,,,
75,"Jun 01, 2017",15625:10000 Stock Split,,,,,
76,"Jun 01, 2017",14.85,15.40,14.03,14.41,13.02,"167,305,300"
77,"May 01, 2017",16.46,16.68,13.85,15.19,13.72,"155,460,628"
78,"Apr 01, 2017",16.40,16.80,16.08,16.31,14.73,"45,940,784"
79,"Mar 08, 2017",0.0896 Dividend,,,,,
80,"Mar 01, 2017",16.68,17.04,16.10,16.40,14.73,"70,063,908"
81,"Feb 01, 2017",14.69,17.06,14.61,16.40,14.74,"63,867,345"
82,"Jan 01, 2017",13.84,14.68,13.44,14.66,13.17,"56,024,063"
83,"Dec 07, 2016",0.0896 Dividend,,,,,
84,"Dec 01, 2016",14.40,14.98,13.56,13.69,12.22,"55,767,190"
85,"Nov 01, 2016",12.79,14.82,11.46,14.36,12.82,"91,743,286"
86,"Oct 01, 2016",14.00,14.20,12.40,12.56,11.21,"64,234,693"
87,"Sep 07, 2016",0.0896 Dividend,,,,,
88,"Sep 01, 2016",12.96,14.03,12.86,13.99,12.41,"62,272,659"
89,"Aug 01, 2016",13.96,14.00,12.91,12.97,11.50,"57,782,034"
90,"Jul 01, 2016",14.83,16.19,13.82,14.02,12.43,"45,352,500"
