,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",0.0300,0.0500,0.0300,0.0400,0.0400,"1,681,500"
1,"Jan 01, 2022",0.0200,0.0500,0.0200,0.0300,0.0300,"11,273,100"
2,"Dec 01, 2021",0.0200,0.0200,0.0100,0.0200,0.0200,"7,402,700"
3,"Nov 01, 2021",0.0300,0.0300,0.0200,0.0200,0.0200,"3,284,000"
4,"Oct 01, 2021",0.0300,0.0300,0.0200,0.0300,0.0300,"8,026,600"
5,"Sep 01, 2021",0.0400,0.0400,0.0300,0.0300,0.0300,"2,263,700"
6,"Aug 01, 2021",0.0400,0.0600,0.0300,0.0400,0.0400,"4,439,400"
7,"Jul 01, 2021",0.0500,0.0500,0.0400,0.0400,0.0400,"1,083,400"
8,"Jun 01, 2021",0.0400,0.0700,0.0400,0.0500,0.0500,"3,668,000"
9,"May 01, 2021",0.0400,0.0500,0.0300,0.0400,0.0400,"3,782,100"
10,"Apr 01, 2021",0.0400,0.0400,0.0300,0.0400,0.0400,"6,602,200"
11,"Mar 01, 2021",0.0500,0.0700,0.0400,0.0400,0.0400,"7,439,900"
12,"Feb 01, 2021",0.0400,0.0800,0.0400,0.0500,0.0500,"15,891,900"
13,"Jan 01, 2021",0.0300,0.0800,0.0300,0.0400,0.0400,"46,787,200"
14,"Dec 01, 2020",0.0400,0.0500,0.0200,0.0300,0.0300,"39,866,800"
15,"Nov 01, 2020",0.0200,0.0400,0.0200,0.0400,0.0400,"9,360,800"
16,"Oct 01, 2020",0.0200,0.0200,0.0200,0.0200,0.0200,"4,043,600"
17,"Sep 01, 2020",0.0300,0.0300,0.0200,0.0200,0.0200,"2,870,800"
18,"Aug 01, 2020",0.0300,0.0400,0.0200,0.0300,0.0300,"1,168,300"
19,"Jul 01, 2020",0.0300,0.0400,0.0200,0.0300,0.0300,"628,400"
20,"Jun 01, 2020",0.0300,0.0400,0.0200,0.0400,0.0400,"1,357,800"
21,"May 01, 2020",0.0400,0.0500,0.0200,0.0400,0.0400,"3,090,500"
22,"Apr 01, 2020",0.0600,0.0600,0.0400,0.0400,0.0400,"1,304,500"
23,"Mar 01, 2020",0.0500,0.0600,0.0300,0.0600,0.0600,"1,298,700"
24,"Feb 01, 2020",0.0500,0.0700,0.0400,0.0500,0.0500,"799,400"
25,"Jan 01, 2020",0.0600,0.0700,0.0400,0.0500,0.0500,"3,810,000"
26,"Dec 01, 2019",0.0700,0.0800,0.0500,0.0600,0.0600,"3,332,900"
27,"Nov 01, 2019",0.0800,0.0900,0.0500,0.0700,0.0700,"1,027,200"
28,"Oct 01, 2019",0.0900,0.1100,0.0500,0.0900,0.0900,"1,888,200"
29,"Sep 01, 2019",0.1100,0.1100,0.0500,0.1000,0.1000,"1,529,600"
30,"Aug 01, 2019",0.1200,0.1600,0.1000,0.1100,0.1100,"1,650,100"
31,"Jul 01, 2019",0.1300,0.1400,0.1200,0.1300,0.1300,"581,100"
32,"Jun 01, 2019",0.1400,0.1400,0.1100,0.1200,0.1200,"3,473,900"
33,"May 01, 2019",0.1400,0.1600,0.1300,0.1400,0.1400,"1,583,800"
34,"Apr 01, 2019",0.1100,0.1600,0.1000,0.1500,0.1500,"3,441,100"
35,"Mar 01, 2019",0.1200,0.1300,0.1000,0.1100,0.1100,"718,600"
36,"Feb 01, 2019",0.1200,0.1300,0.1100,0.1300,0.1300,"551,700"
37,"Jan 01, 2019",0.1200,0.1300,0.1100,0.1100,0.1100,"333,000"
38,"Dec 01, 2018",0.1200,0.1500,0.0800,0.1100,0.1100,"2,533,100"
39,"Nov 01, 2018",0.1700,0.1700,0.1200,0.1200,0.1200,"594,600"
40,"Oct 01, 2018",0.1600,0.1700,0.1600,0.1700,0.1700,"274,100"
41,"Sep 01, 2018",0.1800,0.1800,0.1500,0.1700,0.1700,"630,600"
42,"Aug 01, 2018",0.1500,0.1800,0.1200,0.1800,0.1800,"1,559,800"
43,"Jul 01, 2018",0.1300,0.1800,0.1200,0.1600,0.1600,"1,368,700"
44,"Jun 01, 2018",0.1000,0.1400,0.1000,0.1300,0.1300,"2,010,800"
45,"May 01, 2018",0.1100,0.1200,0.0900,0.1100,0.1100,"1,322,600"
46,"Apr 01, 2018",0.1100,0.1200,0.0900,0.1100,0.1100,"954,300"
47,"Mar 01, 2018",0.1300,0.1300,0.0900,0.1100,0.1100,"1,638,400"
48,"Feb 01, 2018",0.1200,0.1400,0.1100,0.1300,0.1300,"773,700"
49,"Jan 01, 2018",0.1300,0.1300,0.1000,0.1100,0.1100,"1,253,200"
50,"Dec 01, 2017",0.1400,0.1400,0.1000,0.1200,0.1200,"2,055,000"
51,"Nov 01, 2017",0.1500,0.1600,0.1100,0.1300,0.1300,"989,000"
52,"Oct 01, 2017",0.1500,0.1600,0.1500,0.1500,0.1500,"651,900"
53,"Sep 01, 2017",0.1600,0.1700,0.1300,0.1500,0.1500,"755,400"
54,"Aug 01, 2017",0.1600,0.1800,0.1400,0.1600,0.1600,"809,000"
55,"Jul 01, 2017",0.1800,0.2000,0.1600,0.1700,0.1700,"1,143,500"
56,"Jun 01, 2017",0.1600,0.1900,0.1400,0.1800,0.1800,"1,850,100"
57,"May 01, 2017",0.1600,0.1700,0.1300,0.1700,0.1700,"429,400"
58,"Apr 01, 2017",0.1700,0.1900,0.1300,0.1600,0.1600,"946,700"
59,"Mar 01, 2017",0.1400,0.1700,0.1200,0.1700,0.1700,"890,000"
60,"Feb 01, 2017",0.1500,0.1600,0.1200,0.1400,0.1400,"1,072,400"
61,"Jan 01, 2017",0.1400,0.1600,0.1400,0.1600,0.1600,"912,200"
62,"Dec 01, 2016",0.1400,0.1600,0.1300,0.1400,0.1400,"1,877,900"
63,"Nov 01, 2016",0.1900,0.1900,0.1200,0.1400,0.1400,"1,437,600"
64,"Oct 01, 2016",0.1900,0.2000,0.1800,0.1900,0.1900,"519,600"
65,"Sep 01, 2016",0.2300,0.2300,0.1900,0.2000,0.2000,"584,900"
66,"Aug 01, 2016",0.1900,0.2500,0.1900,0.2300,0.2300,"2,326,700"
67,"Jul 01, 2016",0.1900,0.2200,0.1800,0.2000,0.2000,"876,900"
68,"Jun 01, 2016",0.2000,0.2200,0.1800,0.1900,0.1900,"909,000"
69,"May 01, 2016",0.1800,0.2300,0.1800,0.2000,0.2000,"1,513,300"
70,"Apr 01, 2016",0.1900,0.2100,0.1800,0.1800,0.1800,"859,600"
71,"Mar 01, 2016",0.1900,0.2400,0.1800,0.2000,0.2000,"3,053,100"
72,"Feb 01, 2016",0.1800,0.2100,0.1300,0.1800,0.1800,"1,840,600"
73,"Jan 01, 2016",0.1800,0.2100,0.1700,0.1800,0.1800,"2,361,200"
74,"Dec 01, 2015",0.2100,0.2400,0.1800,0.1900,0.1900,"2,523,000"
75,"Nov 01, 2015",0.2500,0.2800,0.2000,0.2100,0.2100,"2,902,000"
76,"Oct 01, 2015",0.2300,0.2800,0.2200,0.2600,0.2600,"1,635,600"
77,"Sep 01, 2015",0.2300,0.2500,0.2100,0.2400,0.2400,"1,581,700"
78,"Aug 01, 2015",0.2000,0.2800,0.1800,0.2200,0.2200,"1,978,600"
79,"Jul 01, 2015",0.2300,0.2400,0.1800,0.2000,0.2000,"1,395,600"
80,"Jun 01, 2015",0.1900,0.2400,0.1700,0.2300,0.2300,"3,568,100"
81,"May 01, 2015",0.1800,0.2500,0.1700,0.1900,0.1900,"2,686,700"
82,"Apr 01, 2015",0.1900,0.2100,0.1600,0.1800,0.1800,"1,131,500"
83,"Mar 01, 2015",0.2100,0.2300,0.1800,0.2300,0.2300,"1,625,800"
84,"Feb 01, 2015",0.1800,0.2300,0.1700,0.2200,0.2200,"2,766,800"
85,"Jan 01, 2015",0.1400,0.1900,0.1300,0.1800,0.1800,"3,222,700"
86,"Dec 01, 2014",0.1800,0.1800,0.1300,0.1400,0.1400,"3,918,700"
87,"Nov 01, 2014",0.1500,0.1800,0.1400,0.1700,0.1700,"1,490,600"
88,"Oct 01, 2014",0.1700,0.1700,0.1200,0.1600,0.1600,"1,326,400"
89,"Sep 01, 2014",0.1600,0.1800,0.1300,0.1600,0.1600,"2,484,800"
90,"Aug 01, 2014",0.1700,0.1900,0.1500,0.1600,0.1600,"2,812,100"
91,"Jul 01, 2014",0.1900,0.1900,0.1700,0.1800,0.1800,"1,213,300"
92,"Jun 01, 2014",0.1800,0.1900,0.1700,0.1900,0.1900,"2,066,100"
93,"May 01, 2014",0.1900,0.2400,0.1800,0.1800,0.1800,"1,190,700"
94,"Apr 01, 2014",0.2200,0.2200,0.1800,0.1900,0.1900,"2,299,900"
95,"Mar 01, 2014",0.2700,0.2800,0.2100,0.2200,0.2200,"2,179,000"
96,"Feb 01, 2014",0.2600,0.2900,0.2600,0.2600,0.2600,"1,490,000"
97,"Jan 01, 2014",0.2200,0.3000,0.2000,0.2800,0.2800,"2,848,200"
98,"Dec 01, 2013",0.1800,0.2800,0.1800,0.2200,0.2200,"4,633,400"
99,"Nov 01, 2013",0.2400,0.2600,0.1600,0.1800,0.1800,"4,601,000"
100,"Oct 01, 2013",0.2500,0.2700,0.1900,0.2300,0.2300,"3,936,600"
101,"Sep 01, 2013",0.2400,0.2800,0.2300,0.2500,0.2500,"1,217,300"
102,"Aug 01, 2013",0.3000,0.3100,0.2200,0.2400,0.2400,"1,893,200"
103,"Jul 01, 2013",0.3200,0.3200,0.2200,0.3000,0.3000,"2,181,800"
104,"Jun 01, 2013",0.2700,0.3300,0.2500,0.3200,0.3200,"1,892,100"
105,"May 01, 2013",0.2000,0.2800,0.1800,0.2600,0.2600,"1,546,400"
106,"Apr 01, 2013",0.3200,0.3300,0.1700,0.2000,0.2000,"3,037,300"
107,"Mar 01, 2013",0.1700,0.3400,0.1300,0.3200,0.3200,"6,623,300"
108,"Feb 01, 2013",0.1500,0.1700,0.1400,0.1700,0.1700,"2,252,400"
109,"Jan 01, 2013",0.1400,0.1600,0.1300,0.1400,0.1400,"1,501,200"
110,"Dec 01, 2012",0.1400,0.1500,0.1300,0.1300,0.1300,"2,675,900"
111,"Nov 01, 2012",0.1800,0.1800,0.1300,0.1400,0.1400,"1,631,700"
112,"Oct 01, 2012",0.1800,0.2000,0.1500,0.1600,0.1600,"1,158,900"
113,"Sep 01, 2012",0.1700,0.2100,0.1200,0.1900,0.1900,"2,720,200"
114,"Aug 01, 2012",0.1500,0.1800,0.1400,0.1600,0.1600,"2,726,500"
115,"Jul 01, 2012",0.1700,0.1700,0.1400,0.1500,0.1500,"992,900"
116,"Jun 01, 2012",0.1800,0.1800,0.1400,0.1500,0.1500,"980,100"
117,"May 01, 2012",0.2100,0.2100,0.1300,0.1700,0.1700,"1,585,900"
118,"Apr 01, 2012",0.1900,0.2100,0.1500,0.1900,0.1900,"1,514,000"
119,"Mar 01, 2012",0.2100,0.2300,0.1600,0.1900,0.1900,"2,706,600"
120,"Feb 01, 2012",0.1500,0.2100,0.1400,0.2000,0.2000,"1,914,700"
121,"Jan 01, 2012",0.1500,0.1800,0.1400,0.1500,0.1500,"1,532,200"
122,"Dec 01, 2011",0.1500,0.1700,0.1200,0.1400,0.1400,"2,927,700"
123,"Nov 01, 2011",0.1700,0.2200,0.1400,0.1600,0.1600,"3,605,800"
124,"Oct 01, 2011",0.1300,0.1800,0.1300,0.1600,0.1600,"1,140,400"
125,"Sep 01, 2011",0.1400,0.1700,0.1200,0.1400,0.1400,"1,279,500"
126,"Aug 01, 2011",0.1800,0.2200,0.1300,0.1500,0.1500,"3,857,700"
127,"Jul 01, 2011",0.2100,0.2300,0.1700,0.1800,0.1800,"2,700,100"
128,"Jun 01, 2011",0.1900,0.2300,0.1700,0.2100,0.2100,"2,482,700"
129,"May 01, 2011",0.1200,0.2200,0.1200,0.1900,0.1900,"4,007,300"
130,"Apr 01, 2011",0.1200,0.1500,0.1100,0.1200,0.1200,"3,620,700"
131,"Mar 01, 2011",0.1000,0.1300,0.0900,0.1200,0.1200,"4,519,900"
132,"Feb 01, 2011",0.1100,0.1100,0.0900,0.1000,0.1000,"2,185,700"
133,"Jan 01, 2011",0.1100,0.1300,0.1000,0.1100,0.1100,"3,505,400"
134,"Dec 01, 2010",0.1700,0.1800,0.1000,0.1100,0.1100,"5,575,000"
135,"Nov 01, 2010",0.1900,0.2100,0.1500,0.1600,0.1600,"1,667,700"
136,"Oct 01, 2010",0.1700,0.2200,0.1700,0.1900,0.1900,"2,462,100"
137,"Sep 01, 2010",0.1900,0.2200,0.1700,0.1900,0.1900,"2,812,300"
138,"Aug 01, 2010",0.1400,0.2900,0.1200,0.1900,0.1900,"6,901,100"
139,"Jul 01, 2010",0.1300,0.1400,0.1000,0.1300,0.1300,"2,200,000"
140,"Jun 01, 2010",0.1100,0.1400,0.1000,0.1200,0.1200,"1,552,800"
141,"May 01, 2010",0.1400,0.1400,0.1000,0.1200,0.1200,"1,962,200"
142,"Apr 01, 2010",0.1500,0.1700,0.1200,0.1300,0.1300,"3,842,800"
143,"Mar 01, 2010",0.1600,0.2100,0.1300,0.1600,0.1600,"3,311,700"
