,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",6.60,6.89,5.90,6.32,6.32,"1,789,100"
1,"Jan 01, 2022",7.19,7.21,5.97,6.61,6.61,"1,931,100"
2,"Dec 01, 2021",7.35,7.85,6.59,7.13,7.13,"2,194,000"
3,"Nov 18, 2021",0.65 Dividend,,,,,
4,"Nov 01, 2021",8.34,8.89,7.17,7.21,6.65,"2,424,300"
5,"Oct 01, 2021",7.67,8.40,7.52,8.34,7.69,"1,497,100"
6,"Sep 01, 2021",7.85,8.62,7.36,7.67,7.07,"5,813,600"
7,"Aug 01, 2021",7.33,8.00,7.00,7.82,7.21,"2,450,600"
8,"Jul 01, 2021",8.82,8.90,7.00,7.29,6.72,"2,614,300"
9,"Jun 01, 2021",7.75,8.82,7.15,8.05,7.42,"4,183,200"
10,"May 01, 2021",7.10,7.89,6.22,7.80,7.19,"6,293,200"
11,"Apr 01, 2021",6.76,7.49,6.32,7.15,6.59,"3,893,900"
12,"Mar 01, 2021",6.85,7.50,5.75,6.83,6.30,"3,753,400"
13,"Feb 01, 2021",5.12,7.70,5.12,6.85,6.31,"3,831,300"
14,"Jan 01, 2021",4.28,5.50,4.10,5.25,4.84,"4,480,400"
15,"Dec 01, 2020",4.52,4.70,4.02,4.30,3.96,"2,444,100"
16,"Nov 01, 2020",4.27,4.73,3.30,4.54,4.18,"5,428,900"
17,"Oct 01, 2020",2.81,4.42,2.75,4.27,3.94,"2,687,200"
18,"Sep 01, 2020",1.86,2.89,1.72,2.85,2.63,"1,033,100"
19,"Aug 01, 2020",1.91,2.74,1.78,2.49,2.30,"2,625,000"
20,"Jul 01, 2020",1.30,1.91,1.22,1.91,1.76,"1,094,000"
21,"Jun 01, 2020",1.17,1.74,1.06,1.30,1.20,"1,898,200"
22,"May 01, 2020",1.13,1.44,0.90,1.28,1.18,"2,008,500"
23,"Apr 01, 2020",0.80,1.52,0.55,1.10,1.01,"1,544,600"
24,"Mar 01, 2020",1.75,1.94,0.10,0.87,0.80,"5,517,300"
25,"Feb 01, 2020",1.75,2.08,1.68,1.73,1.59,"3,997,500"
26,"Jan 01, 2020",1.69,1.90,1.61,1.85,1.71,"1,811,400"
27,"Dec 01, 2019",1.68,1.85,1.60,1.69,1.56,"5,161,500"
28,"Nov 01, 2019",1.67,1.84,1.25,1.68,1.55,"41,806,900"
29,"Oct 01, 2019",3.20,3.36,1.00,1.68,1.55,"47,850,000"
30,"Sep 01, 2019",2.66,3.29,2.50,3.19,2.94,"8,219,000"
31,"Aug 01, 2019",2.64,2.80,2.24,2.69,2.48,"9,358,700"
32,"Jul 26, 2019",0.05 Dividend,,,,,
33,"Jul 01, 2019",4.08,4.43,2.53,2.59,2.34,"15,113,900"
34,"Jun 01, 2019",4.17,4.40,3.70,4.00,3.62,"9,274,300"
35,"May 03, 2019",0.05 Dividend,,,,,
