,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",14.00,14.00,14.00,14.00,14.00,-
1,"Jan 01, 2022",19.50,19.50,10.00,14.00,14.00,830
2,"Dec 01, 2021",18.50,19.50,18.50,19.50,19.50,373
3,"Nov 01, 2021",15.50,18.50,15.30,18.50,18.50,600
4,"Oct 01, 2021",15.10,15.50,15.10,15.50,15.50,100
5,"Sep 01, 2021",15.80,15.80,15.10,15.10,15.10,106
6,"Aug 01, 2021",15.80,15.80,15.80,15.80,15.80,-
7,"Jul 01, 2021",12.30,15.80,12.30,15.80,15.80,200
8,"Jun 01, 2021",11.04,12.30,11.00,12.30,12.30,600
9,"May 01, 2021",11.04,11.04,11.04,11.04,11.04,-
10,"Apr 01, 2021",13.19,13.19,8.00,11.04,11.04,"1,427"
11,"Mar 01, 2021",12.00,13.19,10.90,13.19,13.19,800
12,"Feb 01, 2021",12.00,12.00,12.00,12.00,12.00,-
13,"Jan 01, 2021",12.00,12.00,12.00,12.00,12.00,-
14,"Dec 01, 2020",10.90,12.00,10.90,12.00,12.00,100
15,"Nov 01, 2020",10.90,10.90,10.90,10.90,10.90,-
16,"Oct 01, 2020",10.00,11.00,10.00,10.90,10.90,200
17,"Sep 01, 2020",8.00,10.00,8.00,10.00,10.00,468
18,"Aug 01, 2020",2.01,6.38,2.01,6.38,6.38,600
19,"Jul 01, 2020",0.90,2.01,0.90,2.01,2.01,200
20,"Jun 29, 2020",5:1 Stock Split,,,,,
21,"Jun 01, 2020",0.50,0.90,0.50,0.90,0.90,"1,495"
22,"May 01, 2020",0.50,0.50,0.50,0.50,0.50,-
23,"Apr 01, 2020",0.50,0.50,0.50,0.50,0.50,-
24,"Mar 01, 2020",0.42,0.50,0.40,0.50,0.50,"14,000"
25,"Feb 01, 2020",0.42,0.42,0.42,0.42,0.42,500
26,"Jan 01, 2020",0.42,0.42,0.42,0.42,0.42,-
27,"Dec 01, 2019",0.42,0.42,0.42,0.42,0.42,-
28,"Nov 01, 2019",0.38,0.42,0.38,0.42,0.42,"1,500"
