,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",37.69,40.98,32.50,35.19,35.19,"2,223,300"
1,"Jan 01, 2022",43.19,46.25,34.21,37.67,37.67,"2,372,200"
2,"Dec 01, 2021",43.84,47.54,38.24,42.79,42.79,"2,783,500"
3,"Nov 01, 2021",44.25,52.73,42.28,42.31,42.31,"2,636,700"
4,"Oct 01, 2021",46.05,49.00,44.14,44.37,44.37,"1,574,300"
5,"Sep 01, 2021",43.45,47.36,41.35,45.41,45.41,"1,835,100"
6,"Aug 01, 2021",46.10,47.87,40.25,43.19,43.19,"1,974,000"
7,"Jul 01, 2021",50.04,50.20,40.85,45.85,45.85,"2,971,700"
8,"Jun 01, 2021",44.39,52.00,44.15,49.85,49.85,"4,384,700"
9,"May 01, 2021",42.31,44.95,39.45,44.14,44.14,"1,952,300"
10,"Apr 01, 2021",41.99,44.30,38.94,41.66,41.66,"1,995,500"
11,"Mar 01, 2021",42.80,46.44,37.91,41.75,41.75,"3,766,100"
12,"Feb 01, 2021",35.13,45.99,34.20,41.84,41.84,"3,483,900"
13,"Jan 01, 2021",36.54,39.37,33.93,34.50,34.50,"2,928,500"
14,"Dec 01, 2020",30.59,36.83,30.52,36.17,36.17,"3,652,500"
15,"Nov 01, 2020",20.43,31.79,18.60,29.97,29.97,"5,043,700"
16,"Oct 01, 2020",20.92,23.88,18.45,20.00,20.00,"3,113,600"
17,"Sep 01, 2020",21.22,24.15,18.88,20.83,20.83,"6,102,600"
18,"Aug 01, 2020",14.50,22.95,13.94,21.43,21.43,"7,047,100"
19,"Jul 01, 2020",19.13,20.41,13.86,14.46,14.46,"6,807,700"
20,"Jun 01, 2020",18.37,29.19,15.77,19.02,19.02,"9,537,600"
21,"May 01, 2020",23.08,23.61,14.18,18.34,18.34,"7,155,800"
22,"Apr 01, 2020",20.08,27.18,16.60,23.97,23.97,"5,323,500"
23,"Mar 13, 2020",0.1 Dividend,,,,,
24,"Mar 01, 2020",50.46,50.46,11.25,21.23,21.16,"10,282,500"
25,"Feb 01, 2020",65.41,69.32,49.02,50.20,50.04,"3,223,000"
26,"Jan 01, 2020",67.56,70.23,64.79,65.00,64.79,"1,764,600"
27,"Dec 13, 2019",0.1 Dividend,,,,,
28,"Dec 01, 2019",63.01,69.04,61.63,67.50,67.18,"2,405,500"
29,"Nov 01, 2019",61.35,64.45,60.32,62.90,62.60,"1,404,000"
