,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",9.82,9.86,9.79,9.83,9.83,"1,259,600"
1,"Jan 01, 2022",9.78,9.85,9.77,9.80,9.80,"3,711,000"
2,"Dec 01, 2021",9.85,9.95,9.78,9.81,9.81,"3,176,700"
3,"Nov 01, 2021",9.91,9.98,9.82,9.86,9.86,"6,346,900"
4,"Oct 01, 2021",9.81,9.92,9.78,9.91,9.91,"5,114,800"
5,"Sep 01, 2021",9.73,9.87,9.72,9.81,9.81,"6,756,800"
6,"Aug 01, 2021",9.76,9.85,9.67,9.72,9.72,"5,656,000"
7,"Jul 01, 2021",9.93,10.05,9.68,9.77,9.77,"3,023,300"
8,"Jun 01, 2021",10.00,10.05,9.86,9.95,9.95,"2,407,000"
9,"May 01, 2021",10.19,10.21,9.88,10.02,10.02,"6,406,200"
10,"Apr 01, 2021",10.19,10.46,10.06,10.24,10.24,"4,228,100"
11,"Mar 01, 2021",11.50,11.84,9.88,10.12,10.12,"9,246,800"
12,"Feb 01, 2021",11.25,12.74,10.94,11.48,11.48,"15,636,300"
13,"Jan 01, 2021",10.50,11.50,10.41,11.24,11.24,"8,284,500"
14,"Dec 01, 2020",10.20,11.11,9.63,10.42,10.42,"6,682,700"
15,"Nov 01, 2020",10.20,10.79,9.85,10.34,10.34,"139,800"
