,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",18.65,20.24,16.22,17.61,17.61,"27,198,300"
1,"Jan 01, 2022",19.81,20.33,17.00,18.75,18.75,"42,215,600"
2,"Dec 01, 2021",19.25,21.20,17.82,19.79,19.79,"38,816,600"
3,"Nov 01, 2021",24.88,26.21,18.43,19.17,19.17,"52,302,100"
4,"Oct 01, 2021",21.25,25.00,20.95,24.73,24.73,"23,426,700"
5,"Sep 01, 2021",21.67,22.86,21.07,21.10,21.10,"34,754,700"
6,"Aug 01, 2021",20.62,22.13,18.99,21.53,21.53,"46,039,200"
7,"Jul 01, 2021",22.51,22.58,18.23,20.63,20.63,"37,485,500"
8,"Jun 01, 2021",22.80,28.73,21.45,22.41,22.41,"143,524,200"
9,"May 01, 2021",23.74,26.75,22.19,22.65,22.65,"55,105,100"
10,"Apr 01, 2021",22.58,25.75,20.77,23.62,23.62,"31,818,800"
11,"Mar 01, 2021",20.47,24.86,17.86,22.16,22.16,"56,606,700"
12,"Feb 01, 2021",26.03,27.68,19.81,19.93,19.93,"46,023,600"
13,"Jan 01, 2021",26.00,31.08,25.51,26.03,26.03,"102,394,500"
