,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",0.5900,0.7300,0.5700,0.7100,0.7100,"820,000"
1,"Jan 01, 2022",0.5300,0.6800,0.5300,0.5800,0.5800,"1,370,300"
2,"Dec 01, 2021",0.6800,0.8000,0.5600,0.5600,0.5600,"2,062,900"
3,"Nov 01, 2021",1.1500,1.2700,0.6600,0.7000,0.7000,"2,809,200"
4,"Oct 01, 2021",1.1400,1.2600,1.0400,1.1500,1.1500,"3,385,500"
5,"Sep 01, 2021",1.2600,1.2800,1.0300,1.1100,1.1100,"2,511,100"
6,"Aug 01, 2021",1.2300,1.3700,1.1500,1.2600,1.2600,"4,834,300"
7,"Jul 01, 2021",1.6500,2.3800,1.1400,1.2300,1.2300,"45,592,400"
8,"Jun 01, 2021",1.4600,1.8900,1.4000,1.6300,1.6300,"2,507,300"
9,"May 01, 2021",1.8100,1.8700,1.3500,1.4600,1.4600,"2,336,200"
10,"Apr 01, 2021",2.4000,3.2500,1.8000,1.8200,1.8200,"21,089,800"
11,"Mar 01, 2021",3.6300,4.9000,2.1600,2.3600,2.3600,"23,794,900"
12,"Feb 01, 2021",1.4700,6.5800,1.4300,4.3300,4.3300,"225,181,600"
13,"Jan 01, 2021",1.2400,1.6300,1.1800,1.4700,1.4700,"3,866,900"
14,"Dec 01, 2020",1.2100,1.6000,1.1300,1.2000,1.2000,"5,046,300"
15,"Nov 01, 2020",1.2400,1.3600,1.1000,1.2000,1.2000,"1,961,200"
16,"Oct 01, 2020",0.8700,2.5000,0.8100,1.1600,1.1600,"146,094,800"
17,"Sep 01, 2020",0.9500,0.9800,0.7100,0.8200,0.8200,"1,667,600"
18,"Aug 01, 2020",1.0800,2.8700,0.8000,0.9500,0.9500,"58,985,100"
19,"Jul 01, 2020",0.9900,1.2800,0.8700,1.0700,1.0700,"2,629,000"
20,"Jun 01, 2020",1.1500,1.4300,0.9000,0.9000,0.9000,"3,060,100"
21,"May 01, 2020",0.7400,3.5000,0.6300,1.2300,1.2300,"38,386,300"
22,"Apr 01, 2020",0.7500,1.1000,0.6000,0.7500,0.7500,"1,858,400"
23,"Mar 01, 2020",1.4900,1.4900,0.5500,0.6700,0.6700,"183,800"
24,"Feb 01, 2020",1.3100,1.5000,1.0700,1.4000,1.4000,"182,900"
25,"Jan 01, 2020",1.5500,1.7000,1.2500,1.3400,1.3400,"95,000"
26,"Dec 01, 2019",1.6400,2.2300,1.4200,1.6000,1.6000,"170,300"
27,"Nov 01, 2019",2.2500,2.4500,1.6500,1.7300,1.7300,"82,600"
28,"Oct 01, 2019",2.9900,3.0700,2.0800,2.2700,2.2700,"108,900"
29,"Sep 01, 2019",2.5400,2.9800,2.3100,2.8400,2.8400,"95,100"
30,"Aug 01, 2019",2.8500,3.1000,2.5100,2.5500,2.5500,"63,200"
31,"Jul 01, 2019",3.0500,3.0500,2.6000,2.8000,2.8000,"50,300"
32,"Jun 01, 2019",3.4600,3.5500,2.3500,3.0000,3.0000,"85,300"
33,"May 01, 2019",2.9700,3.5500,2.5300,3.5000,3.5000,"130,400"
34,"Apr 01, 2019",3.0000,3.5000,2.7200,2.9900,2.9900,"156,600"
35,"Mar 01, 2019",3.7800,4.7500,2.8000,3.0500,3.0500,"363,600"
36,"Feb 01, 2019",2.3100,4.3200,2.2100,3.7100,3.7100,"246,700"
37,"Jan 01, 2019",2.0000,2.4700,1.9500,2.2000,2.2000,"168,900"
38,"Dec 01, 2018",3.3200,3.5300,1.6100,1.6100,1.6100,"252,500"
39,"Nov 01, 2018",3.2100,3.5500,2.8100,3.2800,3.2800,"116,000"
40,"Oct 01, 2018",3.8500,4.1100,3.0000,3.1900,3.1900,"335,900"
41,"Sep 01, 2018",4.6700,4.8800,3.7700,3.8500,3.8500,"764,100"
42,"Aug 01, 2018",5.7800,6.2000,4.6500,4.7100,4.7100,"259,900"
43,"Jul 01, 2018",5.4600,6.3700,5.4100,5.7500,5.7500,"154,500"
44,"Jun 01, 2018",5.7700,6.6000,5.2600,5.5500,5.5500,"799,200"
45,"May 01, 2018",7.1400,7.7000,5.6000,5.7400,5.7400,"812,900"
46,"Apr 01, 2018",7.9600,8.8900,7.0000,7.0000,7.0000,"467,500"
47,"Mar 01, 2018",6.7900,11.5000,6.0500,7.8900,7.8900,"2,285,000"
48,"Feb 14, 2018",1:12 Stock Split,,,,,
49,"Feb 01, 2018",5.8800,7.9500,3.9600,6.8400,6.8400,"1,887,149"
50,"Jan 01, 2018",6.8400,7.0800,5.4000,5.8800,5.8800,"260,249"
51,"Dec 01, 2017",7.4400,8.0400,5.6400,6.8400,6.8400,"364,200"
52,"Nov 01, 2017",8.1600,9.7200,6.8400,7.3200,7.3200,"472,699"
53,"Oct 01, 2017",8.8800,10.0800,7.2000,8.2800,8.2800,"524,424"
54,"Sep 01, 2017",9.2400,10.6800,8.5200,8.6400,8.6400,"546,542"
55,"Aug 01, 2017",8.6400,14.5200,7.2000,9.0000,9.0000,"1,580,818"
56,"Jul 01, 2017",7.6800,11.2800,7.3200,8.5200,8.5200,"1,321,575"
57,"Jun 01, 2017",7.0800,8.7600,6.4800,7.9200,7.9200,"562,283"
58,"May 01, 2017",6.0000,10.5600,4.3200,8.2800,8.2800,"1,342,468"
59,"Apr 01, 2017",7.3200,7.9200,5.7600,6.0000,6.0000,"446,741"
60,"Mar 01, 2017",5.8800,14.1600,5.0400,7.4400,7.4400,"3,244,640"
61,"Feb 01, 2017",4.0800,7.0800,4.0800,5.7600,5.7600,"426,559"
62,"Jan 01, 2017",6.4800,10.2000,3.4800,4.3200,4.3200,"781,617"
63,"Dec 01, 2016",6.8400,8.4000,5.6400,6.6000,6.6000,"661,760"
64,"Nov 01, 2016",8.7600,9.3600,5.4000,6.8400,6.8400,"431,309"
65,"Oct 01, 2016",13.8000,15.6000,8.1600,9.0000,9.0000,"151,556"
66,"Sep 01, 2016",12.3600,21.3600,11.5200,13.5600,13.5600,"181,851"
67,"Aug 01, 2016",21.6000,23.7600,11.1600,12.8400,12.8400,"135,690"
68,"Jul 01, 2016",23.1600,24.6000,21.0000,21.6000,21.6000,"26,092"
69,"Jun 01, 2016",25.5600,28.4400,21.8400,22.9200,22.9200,"35,033"
70,"May 01, 2016",27.1200,31.6800,18.1200,25.2000,25.2000,"103,109"
71,"Apr 01, 2016",32.6400,32.6400,24.9600,26.4000,26.4000,"37,407"
72,"Mar 01, 2016",36.1200,45.0000,27.6000,32.5200,32.5200,"189,011"
73,"Feb 01, 2016",27.9600,39.0000,25.2000,36.4800,36.4800,"9,760"
74,"Jan 01, 2016",33.2400,35.2800,24.2400,27.6000,27.6000,"20,619"
75,"Dec 01, 2015",36.6000,38.8800,27.3600,33.6000,33.6000,"32,634"
76,"Nov 01, 2015",37.2000,37.2000,28.6800,33.0000,33.0000,"18,702"
77,"Oct 01, 2015",39.1200,42.0000,35.4000,37.8000,37.8000,"26,125"
78,"Sep 01, 2015",45.3600,48.6000,34.2000,39.1200,39.1200,"21,110"
79,"Aug 01, 2015",42.6000,53.8800,34.2000,45.1200,45.1200,"22,501"
80,"Jul 01, 2015",42.6000,47.4000,32.4000,42.2400,42.2400,"23,985"
81,"Jun 01, 2015",46.8000,49.6800,30.6000,42.0000,42.0000,"56,599"
82,"May 01, 2015",50.4000,53.8800,36.1200,49.2000,49.2000,"46,100"
83,"Apr 01, 2015",49.2000,53.4000,45.2400,50.4000,50.4000,"70,042"
84,"Mar 01, 2015",42.6000,54.0000,40.5600,49.2000,49.2000,"167,942"
85,"Feb 01, 2015",39.6000,54.0000,33.9600,43.0800,43.0800,"70,574"
86,"Jan 01, 2015",36.7200,42.0000,33.0000,39.6000,39.6000,"33,099"
87,"Dec 01, 2014",34.8000,38.1600,28.0800,36.3600,36.3600,"125,508"
88,"Nov 01, 2014",49.3200,52.2000,26.2800,35.7600,35.7600,"47,508"
89,"Oct 01, 2014",53.7600,57.0000,39.3600,49.9200,49.9200,"55,725"
90,"Sep 01, 2014",59.0400,68.5200,48.8400,53.7600,53.7600,"148,533"
91,"Aug 01, 2014",63.6000,64.8000,50.5200,56.4000,56.4000,"144,066"
92,"Jul 28, 2014",1:10 Stock Split,,,,,
93,"Jul 01, 2014",81.6000,88.8000,72.7200,85.4400,85.4400,"32,161"
94,"Jun 01, 2014",78.0000,97.2000,76.8000,81.6000,81.6000,"27,972"
95,"May 01, 2014",84.0000,94.8000,76.8000,76.8000,76.8000,"62,693"
96,"Apr 01, 2014",100.8000,102.0000,75.6000,84.0000,84.0000,"54,982"
97,"Mar 01, 2014",76.8000,169.2000,69.6000,100.8000,100.8000,"137,294"
98,"Feb 01, 2014",61.2000,80.4000,57.6000,80.4000,80.4000,"19,134"
99,"Jan 01, 2014",60.0000,94.8000,57.6000,64.8000,64.8000,"54,451"
100,"Dec 01, 2013",50.4000,64.8000,44.4000,60.0000,60.0000,"39,516"
101,"Nov 01, 2013",72.0000,81.6000,49.2000,49.2000,49.2000,"37,380"
102,"Oct 01, 2013",86.4000,98.4000,69.6000,72.0000,72.0000,"29,934"
103,"Sep 01, 2013",68.4000,84.0000,66.0000,80.4000,80.4000,"33,857"
104,"Aug 01, 2013",86.4000,86.4000,63.6000,68.4000,68.4000,"24,173"
105,"Jul 01, 2013",63.6000,96.0000,56.4000,81.6000,81.6000,"37,897"
106,"Jun 01, 2013",74.4000,79.2000,54.0000,54.0000,54.0000,"23,297"
107,"May 01, 2013",105.6000,117.6000,72.0000,74.4000,74.4000,"19,058"
108,"Apr 01, 2013",102.0000,109.2000,61.2000,106.8000,106.8000,"30,602"
109,"Mar 01, 2013",108.0000,120.0000,97.2000,99.6000,99.6000,"19,978"
110,"Feb 01, 2013",148.8000,174.0000,104.4000,108.0000,108.0000,"33,447"
111,"Jan 01, 2013",152.4000,177.6000,147.6000,163.2000,163.2000,"18,945"
112,"Dec 01, 2012",148.8000,168.0000,112.8000,150.0000,150.0000,"32,493"
113,"Nov 01, 2012",165.6000,168.0000,134.4000,148.8000,148.8000,"20,172"
114,"Oct 01, 2012",193.2000,193.2000,140.4000,165.6000,165.6000,"24,017"
115,"Sep 01, 2012",202.8000,211.2000,171.6000,186.0000,186.0000,"25,860"
116,"Aug 01, 2012",190.8000,218.4000,159.6000,198.0000,198.0000,"28,952"
117,"Jul 01, 2012",158.4000,240.0000,153.6000,189.6000,189.6000,"39,345"
118,"Jun 01, 2012",170.4000,190.8000,132.0000,160.8000,160.8000,"61,750"
119,"May 01, 2012",247.2000,258.0000,159.6000,175.2000,175.2000,"44,957"
120,"Apr 01, 2012",308.4000,313.2000,212.4000,246.0000,246.0000,"51,916"
121,"Mar 01, 2012",356.4000,424.8000,249.6000,290.4000,290.4000,"90,827"
122,"Feb 01, 2012",342.0000,388.8000,306.0000,355.2000,355.2000,"61,287"
123,"Jan 01, 2012",348.0000,350.4000,267.6000,342.0000,342.0000,"25,845"
124,"Dec 01, 2011",268.8000,343.2000,235.2000,343.2000,343.2000,"26,664"
125,"Nov 01, 2011",387.6000,408.0000,252.0000,271.2000,271.2000,"26,004"
126,"Oct 01, 2011",237.6000,471.6000,211.2000,397.2000,397.2000,"24,094"
127,"Sep 01, 2011",231.6000,250.8000,207.6000,240.0000,240.0000,"19,709"
128,"Aug 01, 2011",288.0000,312.0000,193.2000,231.6000,231.6000,"30,530"
129,"Jul 01, 2011",342.0000,378.0000,264.0000,285.6000,285.6000,"28,994"
130,"Jun 01, 2011",441.6000,464.4000,325.2000,340.8000,340.8000,"36,140"
131,"May 01, 2011",420.0000,588.0000,342.0000,442.8000,442.8000,"20,562"
132,"Apr 01, 2011",454.8000,480.0000,312.0000,422.4000,422.4000,"8,070"
133,"Mar 01, 2011",582.0000,588.0000,360.0000,372.0000,372.0000,"9,472"
134,"Feb 01, 2011",660.0000,702.0000,480.0000,570.0000,570.0000,"7,500"
135,"Jan 01, 2011","1,032.0000","1,080.0000",606.0000,672.0000,672.0000,"1,561"
136,"Dec 01, 2010",804.0000,"1,032.0000",714.0000,"1,020.0000","1,020.0000",591
137,"Nov 01, 2010",840.0000,906.0000,703.2000,792.0000,792.0000,373
138,"Oct 01, 2010",894.0000,945.6000,840.0000,840.0000,840.0000,"1,201"
139,"Sep 01, 2010",648.0000,921.6000,648.0000,894.0000,894.0000,"1,922"
140,"Aug 01, 2010",366.0000,648.0000,342.0000,648.0000,648.0000,918
141,"Jul 01, 2010",300.0000,420.0000,300.0000,366.0000,366.0000,737
