,Date,Open,High,Low,Close,Adj Close,Volume
0,"Feb 01, 2022",25.75,26.48,25.30,25.89,25.50,"136,000"
1,"Jan 01, 2022",26.59,26.68,25.50,26.24,25.84,"152,700"
2,"Dec 01, 2021",26.15,27.07,26.15,26.56,26.16,"142,700"
3,"Nov 30, 2021",0.39375 Dividend,,,,,
4,"Nov 01, 2021",26.89,27.61,26.09,26.09,25.31,"131,900"
5,"Oct 01, 2021",28.95,29.66,26.73,26.99,26.19,"452,700"
6,"Sep 01, 2021",27.54,29.24,26.75,29.09,28.22,"506,500"
7,"Aug 01, 2021",27.60,27.88,27.31,27.45,26.63,"108,100"
8,"Jul 01, 2021",28.79,28.79,27.45,27.60,26.78,"94,600"
9,"Jun 01, 2021",27.79,28.82,27.54,28.33,27.49,"117,700"
10,"May 28, 2021",0.39375 Dividend,,,,,
11,"May 01, 2021",27.12,28.05,26.62,27.75,26.54,"138,300"
12,"Apr 01, 2021",27.82,27.94,26.97,27.37,26.17,"100,600"
13,"Mar 01, 2021",25.98,28.25,25.98,27.82,26.61,"135,000"
14,"Feb 26, 2021",0.39375 Dividend,,,,,
15,"Feb 01, 2021",27.08,28.35,25.78,26.12,24.60,"188,600"
16,"Jan 01, 2021",27.00,27.83,26.08,27.08,25.51,"205,200"
17,"Dec 01, 2020",28.80,28.80,26.61,27.00,25.43,"213,300"
18,"Nov 30, 2020",0.394 Dividend,,,,,
19,"Nov 01, 2020",27.38,28.84,26.77,28.65,26.62,"160,100"
20,"Oct 01, 2020",27.42,27.80,26.54,27.25,25.32,"145,800"
21,"Sep 01, 2020",27.16,27.99,25.95,27.07,25.15,"158,100"
22,"Aug 31, 2020",0.3938 Dividend,,,,,
23,"Aug 01, 2020",27.19,28.50,26.24,27.05,24.78,"131,600"
24,"Jul 01, 2020",26.58,27.54,25.58,27.54,25.23,"119,900"
25,"Jun 01, 2020",27.15,28.75,25.97,26.48,24.25,"118,200"
26,"May 29, 2020",0.3938 Dividend,,,,,
27,"May 01, 2020",24.59,27.42,24.04,26.33,23.77,"195,300"
28,"Apr 01, 2020",23.85,26.53,20.90,24.61,22.21,"271,200"
29,"Mar 01, 2020",26.40,27.52,16.68,23.90,21.57,"573,200"
30,"Feb 27, 2020",0.394 Dividend,,,,,
31,"Feb 01, 2020",28.08,29.42,26.35,26.36,23.46,"173,700"
32,"Jan 01, 2020",28.99,28.99,27.52,28.44,25.31,"135,000"
33,"Dec 01, 2019",27.03,28.23,27.03,28.04,24.95,"128,100"
34,"Nov 27, 2019",0.394 Dividend,,,,,
35,"Nov 01, 2019",27.71,27.75,26.97,27.26,23.91,"141,300"
36,"Oct 01, 2019",27.75,28.43,27.06,27.78,24.37,"202,000"
37,"Sep 01, 2019",27.70,29.20,27.39,27.59,24.20,"210,600"
38,"Aug 29, 2019",0.394 Dividend,,,,,
39,"Aug 01, 2019",27.45,28.30,27.26,27.58,23.85,"167,100"
40,"Jul 01, 2019",26.95,27.46,26.86,27.44,23.73,"185,200"
