,https://roic.ai/company/ACHL,2019,2020,2021
0,INCOME STATEMENT, , , 
1,Revenue,- -,- -,- -
2,COGS,- -,- -,- -
3,Gross Profit,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -
5,Research and Development Exp.,9072000,22629000,42224000
6,General and Administrative Exp.,4703000,11098000,21971000
7,Selling and Marketing Exp.,- -,- -,- -
8,"Selling, General and Administrative Exp.",4703000,11098000,21971000
9,Other Expenses,- -,- -,- -
10,Operating Expenses,13775000,33727000,64195000
11,COGS and Expenses,13775000,33727000,64195000
12,Interest Income ,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -
14,Depreciation and Amortization,302000,772000,3288000
15,EBITDA,-13473000,-32955000,-60907000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity
17,Operating Income,-13775000,-33727000,-64195000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-215000,531000,3133000
20,Income Before Tax,-13990000,-33196000,-61062000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,3000,37000
23,Net Income,-13990000,-33199000,-61099000
24,Net Income ratio,-Infinity,-Infinity,-Infinity
25,EPS,-0.77,-1.82,-3.36
26,EPS Diluted,-0.77,-1.82,-3.36
27,Weighted Average Shares Outstanding,18200429,18200429,18200429
28,Weighted Average Shares Outstanding Diluted,18200429,18200429,18200429
29,SEC Link,- -,- -,- -
30,BALANCE SHEET, , , 
31,Cash and Cash Equivalents,97594000,177849000,266319000
32,Short-Term Investments,- -,- -,- -
33,Cash and Short-Term Investments,97594000,177849000,266319000
34,Net Receivables,4486000,7339000,11173000
35,Inventory,- -,- -,- -
36,Other Current Assets,981000,2609000,7257000
37,Total Current Assets,103061000,187797000,284749000
38,PP&E,2110000,28109000,28791000
39,Goodwill,- -,- -,- -
40,Intangible Assets,- -,- -,- -
41,Intangible Assets,- -,- -,- -
42,Investments,- -,- -,- -
43,Tax Assets,- -,4000,26000
44,Other Non-Current Assets,34000,3008000,3540000
45,Total Non-Current Assets,2144000,31121000,32357000
46,Other Assets,- -,- -,- -
47,Total Assets,105205000,218918000,317106000
48,Accounts Payable,902000,6314000,3722000
49,Short-Term Debt,487000,3712000,4482000
50,Tax Payable,- -,7000,- -
51,Deferred Revenue,- -,- -,- -
52,Other Current Liabilities,2468000,6597000,10906000
53,Total Current Liabilities,3857000,16623000,19110000
54,Long-Term Debt,- -,- -,7777000
55,Deferred Revenue,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -
57,Other Non-Current Liabilities,- -,12923000,691000
58,Total Non-Current Liabilities,- -,12923000,8468000
59,Other Liabilities,- -,- -,- -
60,Capital Lease Obligations,487000,15983000,12259000
61,Total Liabilities,3857000,29546000,27578000
62,Preferred Stock,79000,134000,128000
63,Common Stock,14000,25000,54000
64,Retained Earnings,-24813000,-58012000,-119111000
65,Other Comprehensive Income/Loss,8109000,12322000,6636000
66,Other Total Stockholders Equity,117959000,234903000,401821000
67,Total Stockholders Equity,101348000,189372000,289528000
68,Total Liabilities And Stockholders Equity,105205000,218918000,317106000
69,Minority Interest,- -,- -,- -
70,Total Liabilities & Equity,105205000,218918000,317106000
71,SEC Link,- -,- -,- -
72,CASH FLOW STATEMENT, , , 
73,Net Income,-13990000,-33199000,-61099000
74,Depreciation and Amortization,302000,772000,3288000
75,Deferred Income Tax,- -,- -,- -
76,Stock Based Compensation,719000,2992000,6317000
77,Change in Working Capital,-1178000,3004000,-7931000
78,Accounts Receivable,- -,- -,- -
79,Inventory,- -,- -,- -
80,Accounts Payable,548000,5258000,-2572000
81,Other Working Capital,- -,-4000,-22000
82,Other Non-Cash Items,5000,1179000,141000
83,Cash Provided by Operating Activities,-14142000,-25252000,-59284000
84,CAPEX,-942000,-11847000,-7634000
85,Acquisitions Net,- -,- -,- -
86,Purchases of Investments,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -
88,Other Investing Activites,- -,- -,- -
89,Cash Used for Investing Activites,-942000,-11847000,-7634000
90,Debt Repayment,- -,- -,- -
91,Common Stock Issued,- -,- -,160755000
92,Common Stock Repurchased,- -,- -,- -
93,Dividends Paid,- -,- -,- -
94,Other Financing Activites,93622000,113704000,- -
95,Cash Used/Provided by Financing Activities,93622000,113704000,160755000
96,Effect of Forex Changes on Cash,8373000,3650000,-5334000
97,Net Change In Cash,86911000,80255000,88503000
98,Cash at the End of Period,97594000,177849000,266352000
99,Cash at the Beginning of Period,10683000,97594000,177849000
100,Free Cash Flow,-15084000,-37099000,-66918000
101,SEC Link,- -,- -,- -
102,false,,,
