,https://roic.ai/company/ADP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1204200000,1384200000,1549200000,1677700000,1714000000,1771800000,1940600000,2223400000,2469000000,2893700000,3566600000,4112200000,4798100000,5540100000,5938916000,7017570000,7004263000,7147017000,7754942000,8499700000,8881500000,7800000000,8776500000,8867100000,8927700000,9339400000,10665200000,11310100000,12206500000,10938500000,11667800000,12379800000,13325800000,14175200000,14589800000,15005400000
2,COGS,543900000,649200000,723700000,759100000,741600000,756600000,816200000,927200000,1026400000,1177300000,1516400000,1722800000,2063100000,2376200000,2564496000,2900124000,2970645000,3096719000,3525413000,3969500000,4289500000,3392300000,3915700000,4839500000,5029700000,5731500000,6240000000,6649600000,7221400000,6427600000,6840300000,7269800000,7842600000,8086600000,8445100000,8640300000
3,Gross Profit,660300000,735000000,825500000,918600000,972400000,1015200000,1124400000,1296200000,1442600000,1716400000,2050200000,2389400000,2735000000,3163900000,3374420000,4117446000,4033618000,4050298000,4229529000,4530200000,4592000000,4407700000,4860800000,4027600000,3898000000,3607900000,4425200000,4660500000,4985100000,4510900000,4827500000,5110000000,5483200000,6088600000,6144700000,6365100000
4,Gross Profit Ratio,0.5483,0.5310,0.5329,0.5475,0.5673,0.5730,0.5794,0.5830,0.5843,0.5932,0.5748,0.5811,0.5700,0.5711,0.5682,0.5867,0.5759,0.5667,0.5454,0.5330,0.5170,0.5651,0.5538,0.4542,0.4366,0.3863,0.4149,0.4121,0.4084,0.4124,0.4137,0.4128,0.4115,0.4295,0.4212,0.4242
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,160800000,193200000,249600000,296500000,375200000,412400000,460275000,514279000,474843000,499192000,581165000,624100000,589800000,486100000,525900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,350500000,390800000,446400000,503600000,561600000,592800000,654400000,749600000,666300000,792100000,933800000,1088300000,1206800000,1375200000,1643360000,1665447000,1606690000,1758353000,1903356000,1957100000,2035100000,2206200000,2370400000,2197600000,2127400000,2323300000,2466200000,2620600000,2762400000,2496900000,2637000000,2783200000,2971500000,3064200000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",350500000,390800000,446400000,503600000,561600000,592800000,654400000,749600000,666300000,792100000,933800000,1088300000,1206800000,1375200000,1643360000,1665447000,1606690000,1758353000,1903356000,1957100000,2035100000,2206200000,2370400000,2197600000,2127400000,2323300000,2466200000,2620600000,2762400000,2496900000,2637000000,2783200000,2971500000,3064200000,3003000000,3040500000
9,Other Expenses,110600000,102200000,107000000,123600000,113500000,114500000,116100000,140200000,148300000,172500000,201600000,223400000,244600000,272800000,284282000,320856000,279077000,274682000,306772000,304400000,288600000,208900000,238500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
