,https://roic.ai/company/AEHL,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,4394320,19909487,835747000,1068551000,1491574000,1444891000,932894000,1037651000,1017146000,793745000,821792000,498189000,327581000,182989000
2,COGS,820236,5707591,582530000,729576000,1024336000,1063892000,878818000,933220000,891720000,823856000,771438000,499355000,246255000,208991000
3,Gross Profit,3574083,14201897,253217000,338975000,467238000,380999000,54076000,104431000,125426000,-30111000,50354000,-1166000,81326000,-26002000
4,Gross Profit Ratio,0.8133,0.7133,0.3030,0.3172,0.3133,0.2637,0.0580,0.1006,0.1233,-0.0379,0.0613,-0.0023,0.2483,-0.1421
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,10088000,25524000,46079000,29974000,27565000,29529000,21883000,46704000,88814000,17990000,25111000,26619000
7,Selling and Marketing Exp.,- -,- -,6912000,7176000,11832000,11378000,9814000,14251000,14153000,12815000,11962000,11026000,11321000,9356000
8,"Selling, General and Administrative Exp.",- -,- -,17000000,32700000,57911000,41352000,37379000,43780000,36036000,59519000,100776000,29016000,36432000,35975000
9,Other Expenses,- -,- -,- -,-3966000,- -,- -,- -,- -,- -,-13442000,- -,- -,- -,- -
10,Operating Expenses,- -,- -,17000000,28734000,57911000,41352000,37379000,43780000,36036000,46077000,100776000,29016000,36432000,35975000
11,COGS and Expenses,820236,5707591,599530000,758310000,1082247000,1105244000,916197000,977000000,927756000,869933000,872214000,528371000,282687000,244966000
12,Interest Income ,4394320,19909487,402000,- -,- -,380000,467000,- -,707000,1791000,32000,36000,73000,49000
13,Interest Expense (Gain),- -,- -,1375000,6170000,11067000,9319000,4201000,4556000,4043000,84000,213000,- -,315000,2748000
14,Depreciation and Amortization,234,2614,15631000,30863000,49079000,66855000,70222000,70120000,68645000,44952000,15514000,11608000,12000,12000
15,EBITDA,3574317,3378361,229154000,341104000,460650000,404937000,70726000,60786000,-266471000,-271185000,-62558000,-406857000,-9118000,-190302000
16,EBITDA ratio,0.8134,0.1697,0.2742,0.3192,0.3088,0.2803,0.0758,0.0586,-0.2620,-0.3417,-0.0761,-0.8167,-0.0278,-1.0400
17,Operating Income,3574083,14201897,239375673,- -,- -,339647000,16697000,60651000,89390000,74397000,- -,- -,- -,- -
18,Operating Income ratio,0.8133,0.7133,0.2864,- -,- -,0.2351,0.0179,0.0585,0.0879,0.0937,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,-10826149,-27227673,-6170000,-8823000,-10884000,-20394000,-74541000,-428549000,-390618000,-27863000,-388283000,-54339000,-131085000
20,Income Before Tax,3574083,3375748,212148000,304071000,400504000,328763000,-3697000,-13890000,-339159000,-316221000,-78285000,-418465000,-9445000,-193062000
21,Income Before Tax Ratio,0.8133,0.1696,0.2538,0.2846,0.2685,0.2275,-0.0040,-0.0134,-0.3334,-0.3984,-0.0953,-0.8400,-0.0288,-1.0550
22,Income Tax expense (Gain),1392107,1147766,59287000,78597000,106065000,84932000,-1665000,16463000,23253000,5581000,9741000,209000,56000,33000
23,Net Income,2181976,2227982,152861000,225474000,294439000,243831000,-2032000,-30353000,-362412000,-321802000,-88026000,-418674000,-9501000,-193095000
24,Net Income ratio,0.4965,0.1119,0.1829,0.2110,0.1974,0.1688,-0.0022,-0.0293,-0.3563,-0.4054,-0.1071,-0.8404,-0.0290,-1.0552
25,EPS,8.77,3.28,586.66,407.04,345.84,286.32,-2.40,-35.76,-425.76,-349.53,-79.08,-279.54,-4.68,-65.67
26,EPS Diluted,8.77,3.28,567.00,407.04,345.84,286.32,-2.40,-35.76,-425.76,-349.53,-79.08,-279.54,-4.68,-65.67
