,https://roic.ai/company/ANDE,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,1092400000,1150300000,993800000,1098700000,974700000,970289000,984627000,1075834000,1246964000,1275273000,1296652000,1458053000,2379059000,3489478000,3025304000,3393791000,4576331000,5272010000,5604574000,4540071000,4198495000,3924790000,3686345000,3045382000,8170191000,8208436000,12612050000
2,COGS,- -,- -,- -,934800000,986000000,841100000,926900000,794100000,800207000,825282000,910458000,1082870000,1086174000,1098506000,1250921000,2139347000,3231649000,2769798000,3112112000,4223479000,4914005000,5239349000,4142932000,3822657000,3579284000,3367546000,2743377000,7652299000,7803514000,12019353000
3,Gross Profit,- -,- -,- -,157600000,164300000,152700000,171800000,180600000,170082000,159345000,165376000,164094000,189099000,198146000,207132000,239712000,257829000,255506000,281679000,352852000,358005000,365225000,397139000,375838000,345506000,318799000,302005000,517892000,404922000,592697000
4,Gross Profit Ratio,- -,- -,- -,0.1443,0.1428,0.1537,0.1564,0.1853,0.1753,0.1618,0.1537,0.1316,0.1483,0.1528,0.1421,0.1008,0.0739,0.0845,0.0830,0.0771,0.0679,0.0652,0.0875,0.0895,0.0880,0.0865,0.0992,0.0634,0.0493,0.0470
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,57648260,63210983,70382977,129300000,133600000,131800000,144700000,152000000,137839000,139685000,139471000,143129000,154895000,153759000,158468000,169753000,181520000,199116000,195330000,229090000,246929000,278433000,318881000,389560000,318395000,287930000,257872000,436842000,399207000,423752000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",57648260,63210983,70382977,129300000,133600000,131800000,144700000,152000000,137839000,139685000,139471000,143129000,154895000,153759000,158468000,169753000,181520000,199116000,195330000,229090000,246929000,278433000,318881000,389560000,318395000,287930000,257872000,436842000,399207000,423752000
9,Other Expenses,- -,- -,- -,9300000,9700000,10100000,10600000,11300000,13119000,- -,- -,- -,- -,- -,- -,- -,8710000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,70382977,138600000,143300000,141900000,155300000,163300000,150958000,139685000,139471000,143129000,154895000,153759000,158468000,169753000,190230000,199116000,195330000,229090000,246929000,278433000,318881000,389560000,318395000,287930000,257872000,436842000,399207000,423752000
