,https://roic.ai/company/APH,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,420900000,489100000,457700000,604000000,692700000,783200000,776200000,884300000,918900000,1010600000,1359702000,1103771000,1062002000,1239504000,1530446000,1808147000,2471430000,2851041000,3236471000,2820065000,3554101000,3939786000,4292065000,4614669000,5345500000,5568700000,6286400000,7011300000,8202000000,8225400000,8598900000,10876000000
2,COGS,286900000,326900000,313300000,404700000,457600000,506100000,494000000,569500000,599200000,661300000,884148000,704278000,700302000,820724000,999965000,1162004000,1683250000,1920900000,2187318000,1933511000,2395873000,2696126000,2948853000,3163835000,3651700000,3789200000,4246400000,4701400000,5547100000,5609400000,5934800000,7474000000
3,Gross Profit,134000000,162200000,144400000,199300000,235100000,277100000,282200000,314800000,319700000,349300000,475554000,399493000,361700000,418780000,530481000,646143000,788180000,930141000,1049153000,886554000,1158228000,1243660000,1343212000,1450834000,1693800000,1779500000,2040000000,2309900000,2654900000,2616000000,2664100000,3402000000
4,Gross Profit Ratio,0.3184,0.3316,0.3155,0.3300,0.3394,0.3538,0.3636,0.3560,0.3479,0.3456,0.3497,0.3619,0.3406,0.3379,0.3466,0.3574,0.3189,0.3262,0.3242,0.3144,0.3259,0.3157,0.3130,0.3144,0.3169,0.3196,0.3245,0.3295,0.3237,0.3180,0.3098,0.3128
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,67400000,79500000,75100000,89400000,102200000,114000000,114700000,125100000,132000000,145900000,186052000,155810000,152928000,177353000,215008000,252150000,342841000,377283000,416914000,397641000,457871000,507795000,512867000,548038000,645100000,669100000,798200000,878300000,959500000,971400000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",67400000,79500000,75100000,89400000,102200000,114000000,114700000,125100000,132000000,145900000,186052000,155810000,152928000,177353000,215008000,252150000,342841000,377283000,416914000,397641000,457871000,507795000,512867000,548038000,645100000,669100000,798200000,878300000,959500000,971400000,1014200000,1226300000
9,Other Expenses,26700000,29900000,26000000,28600000,28800000,28400000,29500000,34300000,38000000,42800000,45079000,46656000,34825000,37007000,38829000,50666000,20747000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000
