,https://roic.ai/company/ARAV,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,40000000,1371000,4753000,5685000,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,6370000,10963000,14855000,32608000,60025000,71984000,94612000,11075000,12836000,17620000,37541000
6,General and Administrative Exp.,1780000,1936000,4428000,13505000,22483000,24336000,29870000,27395000,13691000,13065000,10550000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1780000,1936000,4428000,13505000,22483000,24336000,29870000,27395000,13691000,13065000,10550000
9,Other Expenses,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,8160000,12899000,19283000,46113000,82508000,96320000,124482000,38470000,26527000,30685000,48091000
11,COGS and Expenses,8160000,12899000,19283000,46113000,82508000,96320000,124482000,38470000,26527000,30685000,- -
12,Interest Income ,- -,- -,1000,132000,218000,514000,847000,989000,1022000,255000,37000
13,Interest Expense (Gain),-130000,393000,128000,- -,- -,- -,- -,2429000,- -,- -,- -
14,Depreciation and Amortization,20000,21000,17000,107000,194000,215000,311000,1060000,498000,1829000,974000
15,EBITDA,-8140000,-12878000,-19266000,-46006000,-82314000,-96105000,-84915000,-72844000,-17720000,-28714000,-39675000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.1229,-53.1320,-3.7282,-5.0508,-Infinity
17,Operating Income,-8160000,-12899000,-19283000,-46113000,-82508000,-96320000,-84482000,-75412000,-21774000,-30784000,-40649000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.1120,-55.0051,-4.5811,-5.4150,-Infinity
19,Total Other Income Expenses (Gains),990000,-318000,786000,-11400000,331000,750000,-744000,-921000,3556000,241000,1498000
20,Income Before Tax,-7170000,-13217000,-18497000,-57513000,-82177000,-95570000,-85226000,-76333000,-18218000,-30543000,-39151000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.1307,-55.6769,-3.8329,-5.3726,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,247000,-247000,- -,- -,- -,- -
23,Net Income,-7170000,-13217000,-18497000,-57513000,-82177000,-95817000,-84979000,-76333000,-18218000,-30543000,-39151000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.1245,-55.6769,-3.8329,-5.3726,-Infinity
25,EPS,-1.85,-94.01,-137.31,-26.34,-17.04,-18.66,-14.46,-10.64,-1.57,-1.93,-2.48
26,EPS Diluted,-1.85,-94.01,-137.31,-26.34,-17.04,-18.66,-14.46,-10.64,-1.57,-1.93,-2.48
27,Weighted Average Shares Outstanding,3880000,140587,140587,3153672,4827342,5130676,5871345,7171000,11589000,15790000,15790000
28,Weighted Average Shares Outstanding Diluted,3880000,140587,140587,3153672,4827342,5130676,5871345,7171000,11589000,15790000,15790000
