,https://roic.ai/company/ARL,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,365107000,208860000,254034000,267248000,362575000,202639000,182344000,176930000,181920000,183657000,157030000,118357000,119521000,89636000,79412000,104188000,119663000,126221000,120956000,47970000,59026000,42039000
2,COGS,- -,- -,64017000,105709000,65934000,54403000,27906000,122916000,112454000,117973000,107226000,96317000,67203000,59397000,43597000,42124000,54002000,62950000,64091000,59587000,25694000,24360000,- -
3,Gross Profit,- -,- -,144843000,148325000,201314000,308172000,174733000,59428000,64476000,63947000,76431000,60713000,51154000,60124000,46039000,37288000,50186000,56713000,62130000,61369000,22276000,34666000,- -
4,Gross Profit Ratio,- -,- -,0.6935,0.5839,0.7533,0.8500,0.8623,0.3259,0.3644,0.3515,0.4162,0.3866,0.4322,0.5030,0.5136,0.4696,0.4817,0.4739,0.4922,0.5074,0.4644,0.5873,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,17973000,12743000,12479000,22124000,18743000,17696000,9465000,15966000,33324000,30371000,28410000,- -,16570000,18100000,19225000,16668000,18037000,18773000,24183000,19948000,20023000,15942000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,17973000,12743000,12479000,22124000,18743000,17696000,9465000,15966000,33324000,30371000,28410000,- -,16570000,18100000,19225000,16668000,18037000,18773000,24183000,19948000,20023000,15942000
9,Other Expenses,- -,-252778000,111161000,114900000,165719000,-18162000,144564000,38072000,39328000,27646000,30549000,28907000,96470000,21617000,21375000,21262000,21910000,24042000,25929000,23301000,13736000,14755000,46715000
10,Operating Expenses,- -,-234805000,123904000,127379000,187843000,581000,162260000,47537000,55294000,60970000,60920000,57317000,96470000,38187000,39475000,40487000,38578000,42079000,44702000,47484000,33684000,34778000,62657000
11,COGS and Expenses,- -,-234805000,187921000,233088000,253777000,54984000,190166000,170453000,167748000,178943000,168146000,153634000,163673000,97584000,83072000,82611000,92580000,105029000,108793000,107071000,59378000,59138000,- -
12,Interest Income ,- -,2965000,2817000,3145000,9222000,5347000,5439000,5950000,6156000,7390000,9701000,8425000,10948000,14612000,19445000,20054000,16674000,20453000,18941000,21645000,25955000,23098000,- -
13,Interest Expense (Gain),- -,76702000,- -,57689000,- -,- -,- -,76518000,89848000,92610000,87902000,79066000,60713000,59034000,38101000,35416000,47512000,59362000,66171000,66063000,39860000,35004000,29080000
14,Depreciation and Amortization,- -,27261000,17707000,14245000,28832000,30440000,23981000,25394000,28967000,27995000,32418000,30460000,24255000,22563000,21518000,18345000,21418000,23785000,25679000,22670000,13379000,18579000,15029000
15,EBITDA,- -,106642000,32776000,63470000,39504000,63634000,71398000,114978000,145377000,106401000,46687000,6323000,67218000,73538000,60846000,64233000,67487000,80461000,83599000,263642000,37281000,62466000,48523000
16,EBITDA ratio,- -,0.2921,0.1569,0.2498,0.1478,0.1755,0.3523,0.6306,0.8217,0.5849,0.2542,0.0403,0.5679,0.6153,0.6788,0.8089,0.6477,0.6724,0.6623,2.1797,0.7772,1.0583,1.1542
17,Operating Income,- -,- -,51389000,45319000,13471000,62339000,12473000,11891000,9182000,2977000,-29067000,-57915000,-45316000,17207000,-12416000,-3199000,6308000,14634000,17428000,13885000,-11408000,-112000,- -
18,Operating Income ratio,- -,- -,0.2460,0.1784,0.0504,0.1719,0.0616,0.0652,0.0519,0.0164,-0.1583,-0.3688,-0.3829,0.1440,-0.1385,-0.0403,0.0605,0.1223,0.1381,0.1148,-0.2378,-0.0019,- -
19,Total Other Income Expenses (Gains),- -,67727000,82641000,-15755000,46105000,222545000,-65037000,23045000,-27487000,-85889000,-63556000,-71262000,-12955000,-30986000,-37653000,-14950000,-9974000,-16997000,-26124000,170017000,-10335000,11232000,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,-18305000,-82912000,-92623000,-129177000,-58271000,-13779000,-50069000,-18149000,-3666000,-2363000,-8696000,183902000,-21743000,11120000,4414000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,-0.1035,-0.4558,-0.5043,-0.8226,-0.4923,-0.1153,-0.5586,-0.2285,-0.0352,-0.0197,-0.0689,1.5204,-0.4533,0.1884,0.1050
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-36838000,-3492000,-8456000,-18040000,-2474000,-40049000,-20413000,517000,46000,180000,1210000,- -,-147000,1067000
23,Net Income,10298000,2679000,15069000,-8464000,10672000,33194000,47417000,13066000,26562000,22634000,-70141000,-94747000,290000,-5585000,41276000,30885000,-1960000,-2732000,-8431000,173699000,-15958000,9030000,3347000
24,Net Income ratio,Infinity,0.0073,0.0721,-0.0333,0.0399,0.0916,0.2340,0.0717,0.1501,0.1244,-0.3819,-0.6034,0.0025,-0.0467,0.4605,0.3889,-0.0188,-0.0228,-0.0668,1.4361,-0.3327,0.1530,0.0796
25,EPS,0.75,0.03,1.07,-0.96,0.77,2.90,4.42,1.04,2.35,1.85,-6.46,-8.48,-0.19,-0.70,3.37,2.28,-0.21,-0.25,-0.61,10.81,-1.00,0.56,0.21
