,https://roic.ai/company/AXTI,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,43300000,81521000,121503000,119530000,63175000,34713000,35454000,26536000,44445000,58203000,73075000,55364000,95493000,104121000,88374000,85335000,83499000,77502000,81349000,98673000,102397000,83256000,95361000,137393000
2,COGS,23400000,51154000,66282000,82191000,74031000,32478000,35705000,24337000,31709000,37942000,55115000,41495000,58998000,59339000,63522000,73507000,66332000,60673000,54968000,64198000,65350000,58431000,65086000,89979000
3,Gross Profit,19900000,30367000,55221000,37339000,-10856000,2235000,-251000,2199000,12736000,20261000,17960000,13869000,36495000,44782000,24852000,11828000,17167000,16829000,26381000,34475000,37047000,24825000,30275000,47414000
4,Gross Profit Ratio,0.4596,0.3725,0.4545,0.3124,-0.1718,0.0644,-0.0071,0.0829,0.2866,0.3481,0.2458,0.2505,0.3822,0.4301,0.2812,0.1386,0.2056,0.2171,0.3243,0.3494,0.3618,0.2982,0.3175,0.3451
5,Research and Development Exp.,2500000,3086000,8769000,8204000,4868000,1337000,1479000,1723000,2351000,1699000,2164000,1569000,2339000,2473000,3468000,3424000,4144000,5664000,5850000,4827000,5897000,5834000,7135000,10328000
6,General and Administrative Exp.,5000000,14016000,18041000,21487000,18648000,10475000,11561000,12955000,12650000,13746000,15751000,13389000,13972000,14836000,15419000,16066000,14970000,16064000,13880000,17009000,19003000,19305000,19200000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",5000000,14016000,18041000,21487000,18648000,10475000,11561000,12955000,12650000,13746000,15751000,13389000,13972000,14836000,15419000,16066000,14970000,16064000,13880000,17009000,19003000,19305000,19200000,24189000
9,Other Expenses,2000000,6215000,7402000,- -,- -,- -,210000,- -,1417000,-481000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-808000,-3800000,- -
10,Operating Expenses,9500000,23317000,34212000,29691000,23516000,11812000,13250000,14678000,16418000,14964000,17915000,14958000,16311000,17309000,18887000,19490000,19114000,21728000,19730000,21836000,24900000,24331000,22535000,34517000
11,COGS and Expenses,32900000,74471000,100494000,111882000,97547000,44290000,48955000,39015000,48127000,52906000,73030000,56453000,75309000,76648000,82409000,92997000,85446000,82401000,74698000,86034000,90250000,82762000,87621000,124496000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,449000,518000,408000,483000,412000,409000,461000,528000,217000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,213000
14,Depreciation and Amortization,2000000,6215000,7402000,8862000,9896000,6284000,5176000,3937000,2546000,1421000,2194000,3058000,2916000,3410000,3927000,5470000,5639000,5494000,4865000,4422000,4871000,5531000,4333000,- -
15,EBITDA,12200000,8526000,43990000,1056000,-77593000,-20447000,-8386000,-9228000,2036000,7438000,2528000,1631000,23892000,26525000,7890000,-2300000,4466000,3797000,11234000,15362000,15463000,3493000,9602000,15881000
16,EBITDA ratio,0.2818,0.1046,0.3620,0.0088,-1.2282,-0.5890,-0.2365,-0.3478,0.0458,0.1278,0.0346,0.0295,0.2502,0.2548,0.0893,-0.0270,0.0535,0.0490,0.1381,0.1557,0.1510,0.0420,0.1007,0.1156
17,Operating Income,10400000,7050000,21009000,7648000,-73458000,-9577000,-14809000,-13315000,-3680000,5297000,-38000,-1596000,20184000,27473000,5965000,-7662000,-2854000,-4899000,6425000,12639000,12147000,-314000,3940000,12897000
