,https://roic.ai/company/BKGM,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,52753000,55634000,58262000,69298000,70490000,73531000,78903000,87298000,96051000,103641000,108090000,98890000,82502000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84767000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.8572,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,30864000,30119000,35344000,37923000,37737000,38621000,41939000,46679000,50567000,52405000,50961000,48326000,7621000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",30864000,30119000,35344000,37923000,37737000,38621000,41939000,46679000,50567000,52405000,50961000,48326000,7621000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41335000,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6991000,7621000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6991000,- -
12,Interest Income ,49624000,49417000,51280000,62278000,63598000,66478000,69805000,75549000,81683000,90042000,92905000,84767000,- -
13,Interest Expense (Gain),9025000,6028000,5615000,5547000,4800000,3760000,1894000,2143000,2195000,2120000,2494000,2269000,1910000
14,Depreciation and Amortization,3250000,3040000,2864000,3037000,3101000,3450000,3563000,3397000,3401000,3640000,3905000,3945000,4640000
15,EBITDA,19704000,18504000,14971000,20628000,21849000,20526000,20813000,24809000,23776000,21512000,28151000,22170000,32644000
16,EBITDA ratio,0.3735,0.3326,0.2570,0.2977,0.3100,0.2791,0.2638,0.2842,0.2475,0.2076,0.2604,0.2242,0.3957
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61820000,- -
20,Income Before Tax,7429000,9436000,6492000,12044000,13948000,13316000,15356000,19269000,18180000,15752000,21752000,15956000,26094000
21,Income Before Tax Ratio,0.1408,0.1696,0.1114,0.1738,0.1979,0.1811,0.1946,0.2207,0.1893,0.1520,0.2012,0.1614,0.3163
22,Income Tax expense (Gain),1928000,2344000,758000,3424000,4080000,3756000,4066000,5716000,9636000,2913000,5601000,3464000,5095000
23,Net Income,5501000,7092000,5734000,8620000,9868000,9560000,11290000,13553000,8544000,12839000,16151000,12492000,20999000
24,Net Income ratio,0.1043,0.1275,0.0984,0.1244,0.1400,0.1300,0.1431,0.1552,0.0890,0.1239,0.1494,0.1263,0.2545
25,EPS,0.63,0.81,0.65,0.98,1.12,1.08,1.25,1.46,0.86,1.28,1.62,1.23,2.17
26,EPS Diluted,0.62,0.79,0.54,0.98,1.12,1.08,1.25,1.46,0.86,1.28,1.62,1.23,2.17
27,Weighted Average Shares Outstanding,8681000,8721000,8752000,8779000,8790000,8818000,9017000,9251000,9291000,9614000,9657000,9685000,9685000
28,Weighted Average Shares Outstanding Diluted,8915000,8952000,10572000,8780000,8790000,8818000,9017000,9251000,9291000,9614000,9657000,9685000,9685000
