,https://roic.ai/company/CPG,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,414166,18759128,74853991,155299000,251076000,427491000,652175000,1213676000,891438000,1483840000,2121291000,2226768000,2882208000,3459906000,2364300000,2184600000,2830900000,3320500000,2877100000,1488000000,2829400000
2,COGS,- -,- -,11696435,22941000,90550000,169612000,231558000,369149000,343087000,540210000,727883000,1510129000,1654216000,2340178000,3276700000,2350100000,1875200000,5440400000,2862400000,4383800000,936400000
3,Gross Profit,- -,- -,63157556,132358000,160526000,257879000,420617000,844527000,548351000,943630000,1393408000,716639000,1227992000,1119728000,-912400000,-165500000,955700000,-2119900000,14700000,-2895800000,1893000000
4,Gross Profit Ratio,- -,- -,0.8437,0.8523,0.6394,0.6032,0.6449,0.6958,0.6151,0.6359,0.6569,0.3218,0.4261,0.3236,-0.3859,-0.0758,0.3376,-0.6384,0.0051,-1.9461,0.6690
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,81368000,106513000,107868000,114525000,135218000,161308000,170300000,158600000,160000000,167900000,116800000,80000000,120700000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,81368000,106513000,107868000,114525000,135218000,161308000,170300000,158600000,160000000,167900000,116800000,80000000,120700000
9,Other Expenses,689355,11772308,22793742,54798000,83460000,174513000,290050000,407259000,430333000,722589000,966651000,432370000,519222000,668900000,731700000,718100000,838100000,885300000,760000000,577400000,618500000
10,Operating Expenses,689355,11772308,22793742,54798000,83460000,174513000,290050000,407259000,511701000,829102000,1074519000,546895000,654440000,830208000,902000000,876700000,998100000,1053200000,876800000,657400000,739200000
11,COGS and Expenses,689355,11772308,34490177,77739000,174010000,344125000,521608000,776408000,854788000,1369312000,1802402000,2057024000,2308656000,3170386000,4178700000,3226800000,2873300000,6493600000,3739200000,5041200000,1675600000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,35134000,59244000,60410000,71530000,77754000,103921000,146000000,158200000,162300000,184400000,170400000,94600000,88900000
14,Depreciation and Amortization,162124,5742362,18765388,40157000,66790000,138511000,242923000,315483000,423114000,716789000,939530000,1443982000,1558899000,2222556000,3138300000,2220100000,1741400000,5284700000,2713300000,4270500000,786100000
15,EBITDA,-113065,12027368,35822042,58802000,77499000,190898000,231929000,856893000,443730000,803908000,1258419000,1724183000,1855135000,3139411000,1840000000,1064500000,1880100000,1913700000,1691400000,1217600000,4038800000
