,https://roic.ai/company/CTMX,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,888000,5077000,7712000,15043000,71623000,59502000,57489000,100362000,69573000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,888000,5077000,7712000,- -,- -,- -,- -,100362000,- -
4,Gross Profit Ratio,1.0000,1.0000,1.0000,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,10890000,28302000,28357000,54755000,92277000,103866000,131619000,112936000,114194000
6,General and Administrative Exp.,4954000,6540000,12558000,19874000,25605000,33510000,36765000,36031000,39160000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4954000,6540000,12558000,19874000,25605000,33510000,36765000,36031000,39160000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,15844000,34842000,40915000,74629000,117882000,137376000,168384000,148967000,153354000
11,COGS and Expenses,15844000,34842000,40915000,74629000,117882000,137376000,168384000,148967000,153354000
12,Interest Income ,6000,7000,1315000,2425000,2674000,7641000,8365000,1836000,255000
13,Interest Expense (Gain),254000,487000,1732000,1689000,- -,- -,- -,- -,- -
14,Depreciation and Amortization,655000,783000,1206000,1733000,1645000,1884000,2605000,2573000,2706000
15,EBITDA,-14224000,-29030000,-32426000,-55497000,-41967000,-68417000,-100060000,-44223000,-80903000
16,EBITDA ratio,-16.0180,-5.7179,-4.2046,-3.6892,-0.5859,-1.1498,-1.7405,-0.4406,-1.1629
17,Operating Income,-14956000,-29765000,-33203000,-59586000,-46259000,-77874000,-110895000,-48605000,-83781000
18,Operating Income ratio,-16.8423,-5.8627,-4.3054,-3.9610,-0.6459,-1.3088,-1.9290,-0.4843,-1.2042
19,Total Other Income Expenses (Gains),-177000,-535000,-2161000,667000,2647000,7573000,8230000,1809000,172000
20,Income Before Tax,-15133000,-30300000,-35364000,-58919000,-43612000,-70301000,-102665000,-46796000,-83609000
21,Income Before Tax Ratio,-17.0417,-5.9681,-4.5856,-3.9167,-0.6089,-1.1815,-1.7858,-0.4663,-1.2017
22,Income Tax expense (Gain),10000,10000,10000,-19000,-513000,14303000,-427000,-13911000,- -
23,Net Income,-15143000,-30310000,-35374000,-58900000,-43099000,-84604000,-102238000,-32885000,-83609000
24,Net Income ratio,-17.0529,-5.9701,-4.5869,-3.9154,-0.6017,-1.4219,-1.7784,-0.3277,-1.2017
25,EPS,-0.54,-1.00,-4.90,-1.63,-1.16,-2.03,-2.26,-0.71,-1.30
26,EPS Diluted,-0.54,-1.00,-4.90,-1.63,-1.16,-2.03,-2.26,-0.71,-1.30
27,Weighted Average Shares Outstanding,34924789,34924789,8595247,36234732,37166830,41664382,45335927,46145563,64146848
28,Weighted Average Shares Outstanding Diluted,34924789,34924789,8595247,36234732,37166830,41664382,45335927,46145563,64146848
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1501989/000156459016014091/0001564590-16-014091-index.htm,https://www.sec.gov/Archives/edgar/data/1501989/000156459017003229/0001564590-17-003229-index.htm,https://www.sec.gov/Archives/edgar/data/1501989/000156459018004727/0001564590-18-004727-index.htm,https://www.sec.gov/Archives/edgar/data/1501989/000156459019004890/0001564590-19-004890-index.htm,https://www.sec.gov/Archives/edgar/data/1501989/000156459020007395/0001564590-20-007395-index.htm,https://www.sec.gov/Archives/edgar/data/1501989/000156459021008081/0001564590-21-008081-index.htm,https://www.sec.gov/Archives/edgar/data/1501989/000095017022002519/0000950170-22-002519-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,8703000,64396000,59822000,104645000,177548000,247577000,188425000,191859000,205530000
32,Short-Term Investments,- -,- -,126889000,77293000,196562000,188550000,107720000,124260000,99696000
33,Cash and Short-Term Investments,8703000,64396000,186711000,181938000,374110000,436127000,296145000,316119000,305226000
34,Net Receivables,237000,1875000,744000,2313000,10139000,97000,13000,798000,790000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,326000,582000,2299000,3896000,4352000,9251000,7177000,7096000,4285000
37,Total Current Assets,9266000,66853000,189754000,188147000,388601000,445475000,303335000,324013000,310301000
38,PP&E,2070000,3018000,3481000,4392000,4218000,6934000,32754000,29445000,25322000
39,Goodwill,949000,949000,949000,949000,949000,949000,949000,949000,949000
40,Intangible Assets,1750000,1750000,1750000,1750000,1604000,1458000,1312000,1167000,1021000
41,Intangible Assets,2699000,2699000,2699000,2699000,2553000,2407000,2261000,2116000,1970000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,148000,492000,1281000,3890000,2272000,2292000,2932000,3089000,1818000
45,Total Non-Current Assets,4917000,6209000,7461000,10981000,9043000,11633000,37947000,34650000,29110000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14183000,73062000,197215000,199128000,397644000,457108000,341282000,358663000,339411000
48,Accounts Payable,930000,1919000,4697000,6596000,4205000,5132000,4158000,2996000,2818000
49,Short-Term Debt,1258000,1419000,- -,- -,- -,- -,2810000,3195000,3618000
50,Tax Payable,- -,- -,- -,- -,- -,13339000,- -,- -,- -
51,Deferred Revenue,857000,6130000,6130000,20347000,40559000,52713000,51381000,74869000,69262000
52,Other Current Liabilities,1127000,1695000,4912000,8824000,16383000,40063000,27241000,19864000,30618000
53,Total Current Liabilities,4172000,11163000,15739000,35767000,61147000,97908000,85590000,100924000,106316000
54,Long-Term Debt,2945000,1568000,- -,- -,- -,- -,- -,- -,18056000
55,Deferred Revenue,4643000,60833000,54703000,83803000,264704000,225267000,178858000,186261000,125660000
56,Deferred Tax Liabilities,491000,499000,507000,513000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,46211000,77540000,198000,566000,1897000,3050000,25721000,21675000,- -
58,Total Non-Current Liabilities,54290000,140440000,55408000,84882000,266601000,228317000,204579000,207936000,143716000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,27681000,24870000,21674000
61,Total Liabilities,58462000,151603000,71147000,120649000,327748000,326225000,290169000,308860000,250032000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,1000,1000,1000,1000,1000,1000,1000,1000
64,Retained Earnings,-43881000,-78138000,-117466000,-176366000,-219465000,-314981000,-417230000,-450115000,-533724000
65,Other Comprehensive Income/Loss,- -,- -,-76000,-27000,-94000,-93000,57000,-47000,-242000
66,Other Total Stockholders Equity,-399000,-404000,243609000,254871000,289454000,445956000,468285000,499964000,623344000
67,Total Stockholders Equity,-44279000,-78541000,126068000,78479000,69896000,130883000,51113000,49803000,89379000
68,Total Liabilities And Stockholders Equity,14183000,73062000,197215000,199128000,397644000,457108000,341282000,358663000,339411000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,14183000,73062000,197215000,199128000,397644000,457108000,341282000,358663000,339411000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1501989/000156459016014091/0001564590-16-014091-index.htm,https://www.sec.gov/Archives/edgar/data/1501989/000156459017003229/0001564590-17-003229-index.htm,https://www.sec.gov/Archives/edgar/data/1501989/000156459018004727/0001564590-18-004727-index.htm,https://www.sec.gov/Archives/edgar/data/1501989/000156459019004890/0001564590-19-004890-index.htm,https://www.sec.gov/Archives/edgar/data/1501989/000156459020007395/0001564590-20-007395-index.htm,https://www.sec.gov/Archives/edgar/data/1501989/000156459021008081/0001564590-21-008081-index.htm,https://www.sec.gov/Archives/edgar/data/1501989/000095017022002519/0000950170-22-002519-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-15143000,-30310000,-35374000,-58900000,-43099000,-84604000,-102238000,-32885000,-83609000
74,Depreciation and Amortization,655000,783000,1206000,1733000,1645000,1884000,2605000,2573000,2706000
75,Deferred Income Tax,10000,8000,8000,6000,-513000,- -,- -,- -,- -
76,Stock Based Compensation,343000,553000,3986000,10095000,11287000,16878000,19100000,14786000,13167000
77,Change in Working Capital,5958000,50596000,118325000,-21635000,175074000,20113000,-129822000,5344000,-54700000
78,Accounts Receivable,-237000,-1638000,1131000,-1569000,-7826000,10042000,84000,-785000,8000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,366000,660000,2944000,1765000,-2441000,261000,-374000,-857000,-139000
81,Other Working Capital,5094000,55690000,174015000,152380000,327454000,347567000,217745000,223089000,-66209000
82,Other Non-Cash Items,169000,10172000,-115566000,66669000,25979000,-29792000,69875000,15441000,3405000
83,Cash Provided by Operating Activities,-8008000,31802000,-27415000,-2032000,170373000,-75521000,-140480000,5259000,-119031000
84,CAPEX,-732000,-1663000,-1594000,-2176000,-1559000,-3788000,-3497000,-2309000,-1609000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-250901000,-121517000,-218707000,-204601000,-174992000,-199108000,-99898000
87,Sales/Maturities of Investments,- -,- -,122750000,169500000,99000000,214315000,258190000,182699000,123996000
88,Other Investing Activites,- -,- -,-817000,52000,- -,- -,- -,- -,- -
