,https://roic.ai/company/CWBR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,478256,579474,1966221,3606515,6675080,10034613,6631928,6937610,7705090
6,General and Administrative Exp.,- -,- -,390749,1233141,1908080,2470062,3184166,5299717,5951106,6261905,7703065
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,390749,1233141,1908080,2470062,3184166,5299717,5951106,6261905,7703065
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,869005,1812615,3874301,6076577,9859246,15334330,12583034,13199515,15408155
11,COGS and Expenses,- -,- -,869005,1812615,3874301,6076577,9859246,15334330,12583034,13199515,- -
12,Interest Income ,- -,- -,505,593,4762,9368,29740,185614,290313,41149,5578
13,Interest Expense (Gain),- -,- -,4141,7174,7218,7790,3646,557149,752051,815907,40108
14,Depreciation and Amortization,- -,- -,2266,2377,30727,57978,57526,79128,147687,156664,140914
15,EBITDA,- -,- -,-866234,-1810238,-3843574,-6018599,-9801720,-15255202,-12145034,-15292390,140914
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
17,Operating Income,- -,- -,-869005,-1812615,-3874301,-6076577,-9859246,-15334330,-12583034,-13199515,- -
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -
19,Total Other Income Expenses (Gains),- -,- -,-3636,-7069,-3909,1578,26094,-371535,-461738,-3065446,- -
20,Income Before Tax,- -,- -,-872641,-1819684,-3878210,-6074999,-9833152,-15705865,-13044772,-16264961,-15475776
21,Income Before Tax Ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,-872641,-1819684,-3878210,-6074999,-9833152,-15705865,-13044772,-16264961,-15475776
24,Net Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,- -,-0.03,-0.06,-0.12,-0.18,-0.26,-0.38,-0.30,-0.33,-0.36
26,EPS Diluted,- -,- -,-0.03,-0.06,-0.12,-0.18,-0.26,-0.38,-0.30,-0.33,-0.36
27,Weighted Average Shares Outstanding,- -,- -,32265343,32265343,32044274,33130424,37478883,41254411,42816616,48814353,42816616
28,Weighted Average Shares Outstanding Diluted,- -,- -,32265343,32265343,32044274,33130424,37478883,41254411,42816616,48814353,42816616
29,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1522602/000114420415020003/0001144204-15-020003-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390016012255/0001213900-16-012255-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390017003096/0001213900-17-003096-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390018003845/0001213900-18-003845-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390019004358/0001213900-19-004358-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390020006115/0001213900-20-006115-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390021018680/0001213900-21-018680-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390022015833/0001213900-22-015833-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,520000,880000,145170,1194492,4803687,3257458,2823450,5722342,12563853,2894575,4992145
32,Short-Term Investments,- -,- -,- -,- -,5487800,5428962,5629009,16460426,- -,18120266,21253866
33,Cash and Short-Term Investments,520000,880000,145170,1194492,10291487,8686420,8452459,22182768,12563853,21014841,26246011
34,Net Receivables,- -,- -,- -,- -,- -,522326,- -,- -,- -,- -,173499
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,10000,141319,23572,88223,110822,164274,260630,361311,413692,527380
37,Total Current Assets,520000,890000,286489,1218064,10379710,9319568,8616733,22443398,12925164,21428533,26946890
38,PP&E,- -,10000,4609,4631,199575,230512,176531,520740,523677,394004,260612
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,23051,20233,19154,18075,19309
41,Intangible Assets,- -,- -,- -,- -,- -,- -,23051,20233,19154,18075,19309
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10000,- -,27309,750486,20492,36810,46904,56793,64242,67403,69620
45,Total Non-Current Assets,10000,10000,31918,755117,220067,267322,246486,597766,607073,479482,349541
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,530000,900000,318407,1973181,10599777,9586890,8863219,23041164,13532237,21908015,27296431
48,Accounts Payable,- -,30000,54645,290073,209730,103294,492015,1142735,444776,727599,371993
49,Short-Term Debt,- -,- -,- -,- -,- -,205201,- -,- -,- -,349344,366277
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,10000,40000,88749,408695,372963,580421,752291,1019474,1594447,1995076,950334
53,Total Current Liabilities,10000,70000,143394,698768,582693,888916,1244306,2162209,2039223,3072019,1688604
54,Long-Term Debt,- -,- -,204613,204809,205005,- -,- -,2916337,3356188,348841,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,204613,204809,205005,- -,- -,2916337,3356188,348841,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,10000,70000,348007,903577,787698,888916,1244306,5078546,5395411,3420860,1688604
62,Preferred Stock,- -,- -,- -,5400,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,10000,10000,12915,12915,32321,34808,39440,42578,43069,61118,- -
64,Retained Earnings,-290000,-1760000,-2636643,-4456327,-8334537,-14409536,-24242688,-39948553,-52993325,-69258286,-84734062
65,Other Comprehensive Income/Loss,- -,- -,-4283,-6660,-37387,-95365,-152599,-229901,-376509,- -,- -
66,Other Total Stockholders Equity,800000,2580000,2598411,5514276,18151682,23168067,31974760,58098494,61463591,87684323,110341889
67,Total Stockholders Equity,520000,830000,-29600,1069604,9812079,8697974,7618913,17962618,8136826,18487155,25607827
68,Total Liabilities And Stockholders Equity,530000,900000,318407,1973181,10599777,9586890,8863219,23041164,13532237,21908015,27296431
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,530000,900000,318407,1973181,10599777,9586890,8863219,23041164,13532237,21908015,27296431
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1522602/000114420415020003/0001144204-15-020003-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390016012255/0001213900-16-012255-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390017003096/0001213900-17-003096-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390018003845/0001213900-18-003845-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390019004358/0001213900-19-004358-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390020006115/0001213900-20-006115-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390021018680/0001213900-21-018680-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390022015833/0001213900-22-015833-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-290000,-1470000,-872641,-1819684,-3878210,-6074999,-9833152,-15705865,-13044772,-16264961,-15475776
74,Depreciation and Amortization,- -,- -,2266,2377,30727,57978,57526,79128,147687,156664,140914
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,16207,305018,396850,735429,1633485,4318993,2609370,2216316,2543712
77,Change in Working Capital,10000,310000,-676905,376201,9277721,-1366365,-1058225,12908762,-223667,1315589,6901772
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-30000,22269,235290,-80343,-106436,388721,650720,-697959,282823,-355606
81,Other Working Capital,510000,820000,143095,519296,9797017,8430652,7372427,20281189,- -,- -,25258286
82,Other Non-Cash Items,-10000,-230000,825546,297115,-9458251,1444984,1565423,-11731398,405277,2797919,-8557815
83,Cash Provided by Operating Activities,-290000,-1390000,-705527,-838973,-3631163,-5202973,-7634943,-10130380,-10106105,-9778473,-14447193
84,CAPEX,- -,- -,-1188,-2399,-225671,-88915,-26596,-423342,-149545,-25912,-6397
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-12751192,-14109480,-21424816,-41411889,-40355449,-25420161,-43601000
87,Sales/Maturities of Investments,- -,- -,- -,- -,7244000,14152000,21214675,30541000,56843000,7294000,- -
88,Other Investing Activites,- -,- -,-205260,- -,- -,- -,-23343,1739,- -,- -,40464424
89,Cash Used for Investing Activites,- -,- -,-206448,-2399,-5732863,-46395,-236737,-11292492,16338006,-18152073,-3142973
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-205260,- -,- -,- -,1332
91,Common Stock Issued,- -,- -,- -,2430080,12953484,- -,5026181,19304081,- -,17963883,1240490
92,Common Stock Repurchased,810000,1750000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,179051,-539386,19737,3703139,2616751,5017683,609610,297385,18445914
95,Cash Used/Provided by Financing Activities,810000,1750000,179051,1890694,12973221,3703139,7437672,24321764,609610,18261268,19687736
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,520000,360000,-732924,1049322,3609195,-1546229,-434008,2898892,6841511,-9669278,2097570
98,Cash at the End of Period,520000,880000,145170,1194492,4803687,3257458,2823450,5722342,12563853,2894575,4992145
99,Cash at the Beginning of Period,- -,520000,878094,145170,1194492,4803687,3257458,2823450,5722342,12563853,2894575
100,Free Cash Flow,-290000,-1390000,-706715,-841372,-3856834,-5291888,-7661539,-10553722,-10255650,-9804385,-14453590
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1522602/000114420415020003/0001144204-15-020003-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390016012255/0001213900-16-012255-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390017003096/0001213900-17-003096-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390018003845/0001213900-18-003845-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390019004358/0001213900-19-004358-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390020006115/0001213900-20-006115-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390021018680/0001213900-21-018680-index.htm,https://www.sec.gov/Archives/edgar/data/1522602/000121390022015833/0001213900-22-015833-index.htm
102,false,,,,,,,,,,,
