,https://roic.ai/company/EACO,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,13700000,22900000,33700000,45800000,48100000,48500000,49700000,48500000,44800000,42100000,38000000,37000000,38400000,38900000,40191800,42264000,42242500,37592100,37799500,216400,832000,1214800,1202500,- -,92633000,104709000,114634000,120432000,134747000,140213000,148544000,156954000,193284000,221241000,225245000
2,COGS,7900000,10100000,14700000,25100000,26400000,25800000,26500000,28900000,18000000,23300000,25500000,20700000,21100000,21300000,34319100,22421600,22240500,20504000,20467500,- -,- -,- -,- -,- -,68754000,75448000,82664000,86600000,97710000,99105000,104981000,112184000,138255000,160008000,163868000
3,Gross Profit,5800000,12800000,19000000,20700000,21700000,22700000,23200000,19600000,26800000,18800000,12500000,16300000,17300000,17600000,5872700,19842400,20002000,17088100,17332000,216400,832000,- -,1202500,- -,23879000,29261000,31970000,33832000,37037000,41108000,43563000,44770000,55029000,61233000,61377000
4,Gross Profit Ratio,0.4234,0.5590,0.5638,0.4520,0.4511,0.4680,0.4668,0.4041,0.5982,0.4466,0.3289,0.4405,0.4505,0.4524,0.1461,0.4695,0.4735,0.4546,0.4585,1.0000,1.0000,- -,1.0000,- -,0.2578,0.2795,0.2789,0.2809,0.2749,0.2932,0.2933,0.2852,0.2847,0.2768,0.2725
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27648000,30132000,32178000,35394000,37122000,38455000,44705000,48213000,50936000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4000000,9200000,14300000,14700000,15700000,16900000,17600000,17700000,24400000,13700000,9300000,14500000,14700000,15300000,2622100,16652600,17072900,15489800,15067500,1049200,4923800,1877900,1954400,- -,21763000,25031000,27648000,30132000,32178000,35394000,37122000,38455000,44705000,48213000,50936000
9,Other Expenses,400000,700000,1300000,2000000,2300000,2500000,2800000,2900000,2200000,1700000,1800000,1800000,1900000,2000000,2093700,2148400,2205400,1990500,1975700,248000,3932100,- -,-115600,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,4400000,9900000,15600000,16700000,18000000,19400000,20400000,20600000,26600000,15400000,11100000,16300000,16600000,17300000,4715800,18801000,19278300,17480300,17043200,1297200,8855900,- -,1838800,- -,21763000,25031000,27648000,30132000,32178000,35394000,37122000,38455000,44705000,48213000,50936000
11,COGS and Expenses,12300000,20000000,30300000,41800000,44400000,45200000,46900000,49500000,44600000,38700000,36600000,37000000,37700000,38600000,39034900,41222600,41518800,37984300,37510700,1297200,8855900,3433500,1838800,- -,90517000,100479000,110312000,116732000,129888000,134499000,142103000,150639000,182960000,208221000,214804000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157300,- -,- -,253700,- -,530200,531300,- -,169400,- -,26000,3000,20000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1910300,- -,- -,1735800,- -,139300,459500,- -,990600,- -,796000,770000,737000,584000,307000,11000,17000,181000,477000,475000,256000
14,Depreciation and Amortization,- -,- -,- -,2000000,2300000,2500000,2800000,2900000,2200000,1700000,1800000,1800000,1900000,2000000,2093700,2183100,2181500,1987500,1988900,1097600,434700,608600,605300,- -,783000,752000,807000,616000,539000,553000,577000,785000,1009000,1047000,1224000
15,EBITDA,1400000,2600000,2400000,3700000,2500000,3200000,3400000,-200000,100000,3100000,2400000,200000,1100000,- -,3957300,897300,81200,1322300,-42700,10230200,-7152100,-4388000,-2419900,- -,758000,5126000,5643000,5061000,7466000,6559000,7122000,7308000,11606000,14494000,12447000
16,EBITDA ratio,0.1022,0.1135,0.0712,0.0808,0.0520,0.0660,0.0684,-0.0041,0.0022,0.0736,0.0632,0.0054,0.0286,- -,0.0985,0.0212,0.0019,0.0352,-0.0011,47.2745,-8.5963,-3.6121,-2.0124,- -,0.0082,0.0490,0.0492,0.0420,0.0554,0.0468,0.0479,0.0466,0.0600,0.0655,0.0553
17,Operating Income,1400000,2900000,3400000,4000000,3700000,3300000,2800000,-1000000,200000,3400000,1400000,- -,700000,300000,1156900,1041400,723700,-392200,288800,-1080800,-8023900,-2218700,-2694100,- -,2116000,4230000,4322000,3700000,4859000,5714000,6441000,6315000,10324000,13020000,10441000
18,Operating Income ratio,0.1022,0.1266,0.1009,0.0873,0.0769,0.0680,0.0563,-0.0206,0.0045,0.0808,0.0368,- -,0.0182,0.0077,0.0288,0.0246,0.0171,-0.0104,0.0076,-4.9945,-9.6441,-1.8264,-2.2404,- -,0.0228,0.0404,0.0377,0.0307,0.0361,0.0408,0.0434,0.0402,0.0534,0.0588,0.0464
19,Total Other Income Expenses (Gains),- -,-300000,-1000000,-2300000,-3500000,-2600000,-2300000,-2100000,-2300000,-2000000,-1100000,-100000,-1500000,-1000000,549400,-2327200,-2824000,-2008800,-2320400,124000,91900,-464200,-725500,- -,-2937000,-626000,-223000,161000,1169000,214000,87000,27000,-204000,-48000,526000
20,Income Before Tax,1400000,2600000,2400000,1700000,200000,700000,500000,-3100000,-2100000,1400000,300000,-1600000,-800000,- -,- -,-1285800,-2100300,-2401000,-2031600,-956800,-7932000,-2682900,-3419600,- -,-821000,3604000,4099000,3861000,6028000,5928000,6528000,6342000,10120000,12972000,10967000
21,Income Before Tax Ratio,0.1022,0.1135,0.0712,0.0371,0.0042,0.0144,0.0101,-0.0639,-0.0469,0.0333,0.0079,-0.0432,-0.0208,- -,- -,-0.0304,-0.0497,-0.0639,-0.0537,-4.4214,-9.5337,-2.2085,-2.8437,- -,-0.0089,0.0344,0.0358,0.0321,0.0447,0.0423,0.0439,0.0404,0.0524,0.0586,0.0487
22,Income Tax expense (Gain),700000,1100000,900000,600000,100000,300000,200000,-1000000,-300000,100000,100000,-200000,-100000,- -,- -,- -,- -,- -,- -,-360400,-1277100,- -,15800,- -,532000,1465000,1679000,1309000,1009000,2254000,2433000,2291000,3171000,3540000,3174000
23,Net Income,700000,1500000,1500000,1100000,100000,400000,400000,-2100000,-1800000,1300000,500000,-1400000,-700000,-2000000,-46700,-1285800,-2100300,-2401000,-2031600,9353700,-6769200,-4996600,-4031600,- -,-1353000,2139000,2420000,2552000,5611000,3741000,4095000,4051000,6949000,9432000,7793000
