,https://roic.ai/company/FIVE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,125135000,197189000,297113000,418800000,535400000,680218000,831954000,1000410000,1278208000,1559563000,1846730000,1962137000,2848300
2,COGS,85040000,131046000,192252000,269000000,347400000,442427000,540020000,643373000,814795000,994478000,1172764000,1309807000,1817900
3,Gross Profit,40095000,66143000,104861000,149800000,188000000,237791000,291934000,357037000,463413000,565085000,673966000,652330000,1030400
4,Gross Profit Ratio,0.3204,0.3354,0.3529,0.3577,0.3511,0.3496,0.3509,0.3569,0.3625,0.3623,0.3650,0.3325,0.3618
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,112200000,134300000,160775000,198993000,243075000,306022000,377901000,456682000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,112200000,134300000,160775000,198993000,243075000,306022000,377901000,456682000,- -,650600
9,Other Expenses,33217000,54339000,78640000,1600000,200000,- -,0,-0,0,-0,- -,497527000,- -
10,Operating Expenses,33217000,54339000,78640000,113800000,134500000,160775000,198993000,243075000,306022000,377901000,456682000,497527000,650600
11,COGS and Expenses,118257000,185385000,270892000,382800000,481900000,603202000,739013000,886448000,1120817000,1372379000,1629446000,1807334000,2468500
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4285000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1736000,13200
14,Depreciation and Amortization,3660000,4805000,7071000,9599000,13469000,17202000,22227000,26631000,33241000,41451000,54979000,69345000,84831000
15,EBITDA,10465000,16581000,33308000,43668000,65385000,93861000,114883000,140892000,192090000,233258000,276548000,224148000,85210900
16,EBITDA ratio,0.0836,0.0841,0.1121,0.1043,0.1221,0.1380,0.1381,0.1408,0.1503,0.1496,0.1498,0.1142,29.9164
17,Operating Income,6878000,11804000,26221000,37654000,53737000,77016000,92941000,113962000,157391000,187184000,217284000,154803000,379900
18,Operating Income ratio,0.0550,0.0599,0.0883,0.0899,0.1004,0.1132,0.1117,0.1139,0.1231,0.1200,0.1177,0.0789,0.1334
19,Total Other Income Expenses (Gains),-73000,-28000,16000,-3554000,-1737000,-357000,-285000,299000,1458000,4623000,4285000,-1736000,-13200
20,Income Before Tax,6805000,11776000,26237000,34100000,52000000,76659000,92656000,114261000,158849000,191807000,221569000,153067000,366700
