,https://roic.ai/company/FUBO,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,790467,964141,208000,41000,- -,4271000,217746000,638350000
2,COGS,- -,- -,- -,631326,792031,113000,8000,- -,- -,233782000,648804000
3,Gross Profit,- -,- -,- -,159141,172110,95000,33000,- -,- -,-16036000,-10454000
4,Gross Profit Ratio,- -,- -,- -,0.2013,0.1785,0.4567,0.8049,- -,- -,-0.0736,-0.0164
5,Research and Development Exp.,- -,- -,- -,- -,- -,161000,- -,- -,- -,30189000,60513000
6,General and Administrative Exp.,306641,141361,135808,2899575,2898967,1309000,1177000,6746000,13793000,77635000,108185000
7,Selling and Marketing Exp.,5000,- -,- -,- -,- -,- -,- -,- -,- -,63141000,142387000
8,"Selling, General and Administrative Exp.",311641,141361,135808,2899575,2898967,1309000,1177000,6746000,13793000,140776000,250572000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,8217000,20765000,43972000,37881000
10,Operating Expenses,311641,141361,135808,2899575,2898967,1470000,1177000,14963000,34558000,214937000,348966000
11,COGS and Expenses,311641,141361,135808,3530901,3690998,1583000,1185000,14963000,34558000,448719000,997770000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,1269,13849,340717,227000,232000,2651000,2062000,18637000,28413000
14,Depreciation and Amortization,642,2463,2624,3139,859,2000,- -,8217000,20965000,44653000,39651000
15,EBITDA,-310999,-138898,-133184,-2603208,-7235569,-9874000,10706000,-6840000,-96314000,-516703000,-317453000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-3.2933,-7.5047,-47.4712,261.1220,-Infinity,-22.5507,-2.3730,-0.4973
17,Operating Income,-311641,-141361,-428738,-2740433,-3046094,-1625000,-1144000,-14963000,-113326000,-479899000,-359420000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-3.4669,-3.1594,-7.8125,-27.9024,-Infinity,-26.5338,-2.2039,-0.5630
19,Total Other Income Expenses (Gains),- -,- -,-1269,63492,-4563059,-8511000,11618000,-243000,-9782000,-129153000,-26224000
20,Income Before Tax,-311641,-141361,-430007,-2676941,-7609153,-10136000,10474000,-15206000,-123108000,-609052000,-385644000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-3.3865,-7.8922,-48.7308,255.4634,-Infinity,-28.8242,-2.7971,-0.6041
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-2114000,-5272000,-9660000,-2681000
23,Net Income,-311641,-141361,-428664,-2620196,-7577145,-10103000,10474000,-10610000,-114069000,-570333000,-382836000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-3.3147,-7.8590,-48.5721,255.4634,-Infinity,-26.7078,-2.6193,-0.5997
25,EPS,-3147.89,-1427.89,-4286.64,-14556.64,-24285.72,-8940.71,7.20,-2.37,-5.15,-12.82,-2.69
26,EPS Diluted,-3147.89,-1427.89,-4286.64,-14556.64,-24285.72,-8940.71,4.80,-2.37,-5.15,-12.82,-2.69
27,Weighted Average Shares Outstanding,99,99,100,180,312,1130,1471918,4481600,22286060,44492975,142529770
28,Weighted Average Shares Outstanding Diluted,99,99,100,180,312,1130,2165597,4481600,22286060,44492975,142529770
