,https://roic.ai/company/GCP,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,1409200000,1442300000,1480400000,1418600000,1355800000,1084400000,1125400000,1013500000,903200000,970000000
2,COGS,937400000,940500000,949900000,902400000,827100000,667300000,715500000,630400000,545300000,626000000
3,Gross Profit,471800000,501800000,530500000,516200000,528700000,417100000,409900000,383100000,357900000,344000000
4,Gross Profit Ratio,0.3348,0.3479,0.3583,0.3639,0.3900,0.3846,0.3642,0.3780,0.3963,0.3546
5,Research and Development Exp.,24200000,24300000,27900000,22300000,23000000,20000000,20200000,18400000,17900000,- -
6,General and Administrative Exp.,- -,- -,- -,296400000,312800000,296500000,289100000,273000000,264500000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,296400000,312800000,296500000,289100000,273000000,264500000,254000000
9,Other Expenses,308400000,295300000,288900000,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,332600000,319600000,316800000,318700000,335800000,316500000,309300000,291400000,282400000,254000000
11,COGS and Expenses,1270000000,1260100000,1266700000,1221100000,1162900000,983800000,1024800000,921800000,827700000,880000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2700000,5100000,4800000,2700000,65800000,70200000,92400000,22700000,21500000,22000000
14,Depreciation and Amortization,34800000,34700000,34000000,31800000,36200000,36800000,42000000,43200000,46400000,45000000
15,EBITDA,170800000,201100000,228700000,158900000,207000000,742500000,175900000,105600000,204800000,76000000
16,EBITDA ratio,0.1212,0.1394,0.1545,0.1120,0.1527,0.6847,0.1563,0.1042,0.2267,0.0784
17,Operating Income,139200000,182200000,213700000,197500000,192900000,100600000,100600000,91700000,75500000,21000000
18,Operating Income ratio,0.0988,0.1263,0.1444,0.1392,0.1423,0.0928,0.0894,0.0905,0.0836,0.0216
19,Total Other Income Expenses (Gains),-4800000,-19300000,-22600000,-72300000,-86900000,-128900000,-90100000,-57300000,62200000,12000000
20,Income Before Tax,134400000,162900000,191100000,125200000,106000000,-28300000,10500000,34400000,137700000,33000000
21,Income Before Tax Ratio,0.0954,0.1129,0.1291,0.0883,0.0782,-0.0261,0.0093,0.0339,0.1525,0.0340
22,Income Tax expense (Gain),48100000,51600000,55600000,84300000,32200000,82100000,26300000,-6600000,36700000,-12000000
23,Net Income,85200000,109700000,134300000,40100000,72800000,553400000,15200000,46300000,100200000,21000000
24,Net Income ratio,0.0605,0.0761,0.0907,0.0283,0.0537,0.5103,0.0135,0.0457,0.1109,0.0216
25,EPS,1.13,1.56,1.26,0.57,1.03,7.74,0.21,0.64,1.37,0.29
26,EPS Diluted,1.13,1.56,1.26,0.57,1.02,7.74,0.21,0.64,1.37,0.29
27,Weighted Average Shares Outstanding,75300000,70500000,75300000,70500000,70800000,71500000,72100000,72600000,73000000,73500000
28,Weighted Average Shares Outstanding Diluted,75300000,70500000,75400000,70500000,71700000,71500000,72100000,72900000,73100000,73600000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1644440/000164444016000174/0001644440-16-000174-index.html,https://www.sec.gov/Archives/edgar/data/1644440/000164444017000033/0001644440-17-000033-index.html,https://www.sec.gov/Archives/edgar/data/1644440/000164444018000030/0001644440-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/1644440/000164444019000051/0001644440-19-000051-index.html,https://www.sec.gov/Archives/edgar/data/1644440/000164444020000019/0001644440-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1644440/000164444021000023/0001644440-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1644440/000164444022000004/0001644440-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,157800000,120900000,98600000,163300000,721500000,326100000,325000000,482700000,500000000
32,Short-Term Investments,- -,200000,200000,100000,- -,400000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,158000000,121100000,98700000,163300000,721900000,326100000,325000000,482700000,500000000
34,Net Receivables,- -,270900000,306400000,233500000,255500000,251500000,234000000,214000000,199500000,162000000
35,Inventory,- -,104700000,122900000,105300000,121600000,106300000,110500000,95900000,98400000,130000000
36,Other Current Assets,- -,20200000,16300000,8900000,13400000,33500000,12600000,13400000,11100000,69000000
