,https://roic.ai/company/GOVX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,93947,2730035,5367514,2279058,859837,2620207,180237,- -,- -,- -,852905,237004,2910170,3668195,5185257,4899885,2657327,2417550,882956,428081,828918,1075270,963203,1175896,1823658,385000
2,COGS,279232,4345315,5757889,4833601,2875627,2744999,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,-185285,-1615280,-390375,-2554543,-2015790,-124792,- -,- -,- -,- -,852905,237004,2910170,3668195,5185257,4899885,2657327,2417550,882956,428081,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,-1.9722,-0.5917,-0.0727,-1.1209,-2.3444,-0.0476,- -,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,76711,827843,1576477,510287,1472093,2434006,- -,- -,- -,- -,665863,1757125,3741489,4068682,4793956,4276375,3043522,2914878,1812969,1693102,1970859,2017350,1878652,1910715,2444459,15554000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2914845,3162134,- -,1753000,1792160,1807605,1429731,2131426,1232368,1647268,1637674,2196014,3577000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1007309,1484979,3273132,4173095,4042699,4742028,- -,676643,1548900,875811,843335,2784182,2970068,2914845,3162134,2972555,1752765,1792160,1807605,1429731,2131426,1232368,1647268,1637674,2196014,3577000
9,Other Expenses,- -,- -,- -,- -,- -,5903191,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1084020,2312822,4849609,4683382,5514792,13079225,- -,676643,1548900,875811,1509198,4541307,6711557,6983527,7956090,7248930,4796287,4707038,3620574,3122833,4102285,3249718,3525920,3548389,4640473,19131000
11,COGS and Expenses,1363252,6658137,10607498,9516983,8390419,15824224,- -,676643,1548900,875811,1509198,4541307,6711557,6983527,7956090,7248930,4796287,4707038,3620574,3122833,4102285,3249718,3525920,3548389,4640473,19131000
12,Interest Income ,9997,- -,76841,- -,83356,226064,- -,- -,- -,- -,72127,62507,73200,31080,23505,2219,3820,4545,4063,5465,1666,4286,5213,6359,2271,4736
13,Interest Expense (Gain),2310,- -,968414,- -,1370136,274407,- -,554891,337238,62130,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2590,4495,143524,- -
14,Depreciation and Amortization,33459,93671,318405,1101616,827348,1630454,- -,519167,269588,- -,49095,54461,61014,89776,119773,109017,93643,78862,69037,28935,28780,28027,19801,8350,19656,- -
15,EBITDA,36704438,-3894346,-4844738,-8204688,-6619878,-11347499,-618137,-653851,-1506509,-405218,-535071,-4187335,-3667173,-3194476,-2627555,-2237809,-2041497,-2206081,-2664518,-2660352,-3242921,-2142135,-2537703,-2357784,-2794888,-18570000
16,EBITDA ratio,390.6930,-1.4265,-0.9026,-3.6000,-7.6990,-4.3308,-3.4296,-Infinity,-Infinity,-Infinity,-0.6274,-17.6678,-1.2601,-0.8709,-0.5067,-0.4567,-0.7683,-0.9125,-3.0177,-6.2146,-3.9122,-1.9922,-2.6347,-2.0051,-1.5326,-48.2338
17,Operating Income,-1269305,-3928102,-5239984,-7237925,-7530582,-13204017,180237,-676643,-1548900,-875811,-656293,-4304303,-3801387,-3315332,-2770833,-2349045,-2138960,-2289488,-2737618,-2694752,-3273367,-2174448,-2562717,-2372493,-2816815,-18746000
18,Operating Income ratio,-13.5109,-1.4388,-0.9762,-3.1758,-8.7582,-5.0393,1.0000,-Infinity,-Infinity,-Infinity,-0.7695,-18.1613,-1.3062,-0.9038,-0.5344,-0.4794,-0.8049,-0.9470,-3.1005,-6.2950,-3.9490,-2.0222,-2.6606,-2.0176,-1.5446,-48.6909
19,Total Other Income Expenses (Gains),-127399,-59915,-891573,-2068379,-1286780,-48343,- -,-58516,-110041,-532723,- -,- -,- -,- -,- -,- -,3820,4545,4063,5465,1666,4286,2623,1864,-141253,176000
20,Income Before Tax,-1396704,-3988017,-6131557,-9306304,-8817362,-13252360,- -,-735159,-1658941,-1408534,- -,- -,- -,- -,- -,- -,-2135140,-2284943,-2733555,-2689287,-3271701,-2170162,-2560094,-2370629,-2958068,-18570000
21,Income Before Tax Ratio,-14.8669,-1.4608,-1.1423,-4.0834,-10.2547,-5.0578,- -,-Infinity,-Infinity,-Infinity,- -,- -,- -,- -,- -,- -,-0.8035,-0.9451,-3.0959,-6.2822,-3.9470,-2.0182,-2.6579,-2.0160,-1.6221,-48.2338
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,36668669,-3988017,-6131557,-9306304,-8817362,-13252360,-618137,-3077080,-2207806,-1408534,-584166,-4241796,-3728187,-3284252,-2747328,-2346826,-2135140,-2284943,-2733555,-2689287,-3271701,-2170162,-2560094,-2370629,-2958068,-18570000
24,Net Income ratio,390.3123,-1.4608,-1.1423,-4.0834,-10.2547,-5.0578,-3.4296,-Infinity,-Infinity,-Infinity,-0.6849,-17.8976,-1.2811,-0.8953,-0.5298,-0.4790,-0.8035,-0.9451,-3.0959,-6.2822,-3.9470,-2.0182,-2.6579,-2.0160,-1.6221,-48.2338
25,EPS,79.24,-8.62,-13.25,-20.11,-19.05,-28.64,-1.34,-6.65,-4.77,-3.04,-1.26,-9.17,-8.06,-7.10,-5.94,-5.07,-2135000.00,-2284943.00,-2733555.00,-2689287.00,-1635850.50,-434032.40,-256000.00,-158.14,-2.14,-3.04
26,EPS Diluted,79.24,-8.62,-13.25,-20.11,-19.05,-28.64,-1.34,-6.65,-4.77,-3.04,-1.26,-9.17,-8.06,-7.10,-5.94,-5.07,-2135000.00,-2284943.00,-2733555.00,-2689287.00,-1635850.50,-434032.40,-256000.00,-158.14,-2.14,-3.04
27,Weighted Average Shares Outstanding,462775,462775,462775,462775,462775,462775,462775,462775,462775,462775,462775,462775,462775,462775,462775,462775,1,1,1,1,2,5,10,14991,1383523,6099933
28,Weighted Average Shares Outstanding Diluted,462775,462775,462775,462775,462775,462775,462775,462775,462775,462775,462775,462775,462775,462775,462775,462775,1,1,1,1,2,5,10,14991,1383523,6099933
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/832489/000143774912003067/0001437749-12-003067-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774913003092/0001437749-13-003092-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774914004217/0001437749-14-004217-index.htm,https://www.sec.gov/Archives/edgar/data/832489/000143774915005604/0001437749-15-005604-index.htm,https://www.sec.gov/Archives/edgar/data/832489/000143774916027776/0001437749-16-027776-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774917005201/0001437749-17-005201-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774918005301/0001437749-18-005301-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774919005682/0001437749-19-005682-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774920006029/0001437749-20-006029-index.html,https://www.sec.gov/Archives/edgar/data/832489/000143774921006906/0001437749-21-006906-index.htm,https://www.sec.gov/Archives/edgar/data/832489/000143774922005677/0001437749-22-005677-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,326,7829,78381,2088149,1990356,2191180,3515784,1079087,1167980,1035925,2513861,1101651,1060348,454030,312727,259701,283341,9883796,11424000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,326,7829,78381,2088149,1990356,2191180,3515784,1079087,1167980,1035925,2513861,1101651,1060348,454030,312727,259701,283341,9883796,11424000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,3248,- -,- -,- -,990710,311368,320321,474275,183515,266248,140909,79341,119978,28074,59758,121814,68603,182663,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,168623,11332,- -,38130,49748,299286,44615,48830,66508,42301,43569,44503,56649,62275,75589,238189,95320,168689,205000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,172197,19161,78381,2126279,3030814,2801834,3880720,1602192,1418003,1344474,2698339,1225495,1236975,544379,448074,619704,447264,10235148,11629000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,104719,75144,138847,344202,248441,176206,102486,120227,96693,83608,54828,31151,11350,10606,147741,168000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164352,139466,114580,89695,64809,39923,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164352,139466,114580,89695,64809,39923,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,980,980,980,980,442392,11010,11010,21010,11010,11010,11010,11010,11010,11010,11010,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270051,215590,254407,434877,755642,227139,133496,141237,107703,94618,65838,42161,22360,21616,158751,168000
46,Other Assets,- -,- -,- -,- -,- -,- -,371026,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,371026,172197,19161,78381,2396330,3246404,3056241,4315597,2357834,1645142,1477970,2839576,1333198,1331593,610217,490235,642064,468880,10393899,11797000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,133089,68602,196813,83983,547218,346422,- -,- -,138339,163788,155943,55616,100935,75607,77581,125859,152653,267702,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,1312170,1163515,4044993,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,260420,12500,183326,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,2541559,1328151,1551767,109131,51320,- -,571365,521608,803196,163247,156406,131407,26055,294240,733711,1238552,1851040,359281,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,3986818,2560268,5793573,193114,598538,346422,571365,521608,941535,327035,312349,187023,126990,369847,811292,1624831,2016193,810309,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,2591,2405078,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39580,27243,14738,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,2591,2405078,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39580,27243,14738,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,1010419,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7435000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,1010419,3989409,4965346,5793573,193114,598538,346422,571365,521608,941535,327035,312349,187023,126990,369847,811292,1664411,2043436,825047,7435000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,312196,1316155,76095,1060036,1016800,1899085,1971333,1932433,76095,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,82996,98502,99569,711168,731628,747449,781628,15655,16443,18733,23765,31951,31951,55235,106737,218903,300,3834,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,-67918075,-70125879,-71534413,-6283613,-10525409,-14253596,-17537848,-20285176,-22632002,-24767142,-27052085,-29785640,-32474927,-35746628,-37916790,-40476884,-42847513,-45805581,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47092,-76667,-112795,-177686,-271953,- -,- -,- -,- -,- -,- -,- -,-663250,- -,-511700,- -
