,https://roic.ai/company/HRTG,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,5630000,98786000,233820000,394792000,438958000,406623000,480171000,511305000,593385000,631561000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,593385000,631561000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,7922000,24704000,33498000,46125000,58910000,71714000,88544000,80544000,81537000,65787000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7922000,24704000,33498000,46125000,58910000,71714000,88544000,80544000,81537000,65787000
9,Other Expenses,- -,- -,126502000,198875000,323090000,285286000,322456000,381456000,501663000,- -
10,Operating Expenses,- -,- -,160000000,245000000,382000000,357000000,411000000,462000000,583200000,65787000
11,COGS and Expenses,10237000,43325000,159568000,244502000,382555000,412515000,441177000,470309000,591172000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),829000,16000,- -,- -,321000,13210000,20015000,8523000,7972000,7970000
14,Depreciation and Amortization,- -,150000,777000,1350000,8976000,7742000,27070000,10436000,8101000,- -
15,EBITDA,-3778000,55627000,75029000,151640000,65700000,15060000,86079000,59955000,18286000,-68064000
16,EBITDA ratio,-0.6710,0.5631,0.3209,0.3841,0.1497,0.0370,0.1793,0.1173,0.0308,-0.1078
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,10185000,-68064000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.0172,-0.1078
19,Total Other Income Expenses (Gains),4000,2901000,6055000,9595000,16323000,15163000,15186000,13997000,-7972000,-7970000
20,Income Before Tax,-4607000,55461000,74252000,150290000,56403000,-5892000,38994000,40996000,2213000,-76034000
21,Income Before Tax Ratio,-0.8183,0.5614,0.3176,0.3807,0.1285,-0.0145,0.0812,0.0802,0.0037,-0.1204
22,Income Tax expense (Gain),859000,21248000,27155000,57778000,22538000,-4773000,11839000,12360000,-7113000,-1307000
23,Net Income,-5466000,34213000,47097000,92512000,33865000,-1119000,27155000,28636000,9326000,-74727000
24,Net Income ratio,-0.9709,0.3463,0.2014,0.2343,0.0771,-0.0028,0.0566,0.0560,0.0157,-0.1183
25,EPS,-0.19,1.18,1.92,3.08,1.14,-0.04,1.05,0.98,0.33,-2.69
26,EPS Diluted,-0.19,1.18,1.82,3.05,1.14,-0.04,1.04,0.98,0.33,-2.69
27,Weighted Average Shares Outstanding,28886776,28886776,24568876,30056491,29632171,26798465,25941253,29213910,27978519,27804355
28,Weighted Average Shares Outstanding Diluted,28886776,28886776,25816590,30326468,29634349,26798465,26095874,29232981,27988966,27804355
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1598665/000119312515097128/d859722d10k.htm,https://www.sec.gov/Archives/edgar/data/1598665/000156459016014232/0001564590-16-014232-index.html,https://www.sec.gov/Archives/edgar/data/1598665/000156459017004457/0001564590-17-004457-index.html,https://www.sec.gov/Archives/edgar/data/1598665/000156459018005881/0001564590-18-005881-index.html,https://www.sec.gov/Archives/edgar/data/1598665/000156459019007360/0001564590-19-007360-index.html,https://www.sec.gov/Archives/edgar/data/1598665/000156459020009748/0001564590-20-009748-index.html,https://www.sec.gov/Archives/edgar/data/1598665/000156459021011792/0001564590-21-011792-index.htm,https://www.sec.gov/Archives/edgar/data/1598665/000095017022003575/0000950170-22-003575-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,63872000,65059000,160481000,236277000,105817000,153697000,250117000,268351000,440956000,359337000
32,Short-Term Investments,13068000,130114000,324310000,400096000,602982000,567013000,526105000,587256000,561011000,23929000
33,Cash and Short-Term Investments,76940000,195173000,484791000,636373000,708799000,720710000,776222000,855607000,1001967000,383266000
