,https://roic.ai/company/IHT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,10700000,8000000,6400000,4300000,4000000,4000000,4500000,7000000,7600000,6592051,5430006,3915506,1421979,9909758,9546181,9738455,27665335,26940473,17760244,22875187,21248839,21790634,22100135,20391835,16924494,15740427,17068036,14977619,14884642,14672872,3623640,13215633,10767592,6168965,6568171,4202574
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5572859,11344831,6882603,7510968,8683901,7959662,7597092,7918711,1511461,6386123,4647109,3348314,3547157,3476992
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16527276,9047004,10041891,8229459,8384135,7017957,7287550,6754161,2112179,6829510,6120483,2820651,3021014,725582
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.7478,0.4437,0.5933,0.5228,0.4912,0.4686,0.4896,0.4603,0.5829,0.5168,0.5684,0.4572,0.4599,0.1727
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2748623,4247063,3593596,5356351,5809698,3697986,4445613,3948539,3295554,3339502,3414546,6031533,6294212,4533033,4293256,4369678,4795154,2503861,5178475,4951259,2699197,2556158,2316983
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2148347,2215749,1671689,1642232,1362805,1299082,1391838,1317123,1318508,1148629,1110495,1083503,1111912,1316857,481578,1578144,1796338,580885,569921,379759
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2748623,4247063,3593596,7504698,8025447,5369675,6087845,5311344,4594636,4731340,4731669,7350041,7442841,5643528,5376759,5481590,6112011,2985439,6756619,6747597,3280082,3126079,2696742
9,Other Expenses,800000,800000,700000,700000,500000,500000,700000,6600000,3200000,5921106,11012367,3850788,1877406,4604585,3968027,4291740,15928817,19995665,12326394,17008989,15588146,15680930,8814141,4040848,2939644,1868911,2665165,1764276,1793072,1813525,506740,2161401,1753524,845693,922744,840985
10,Operating Expenses,800000,800000,700000,700000,500000,500000,700000,6600000,3200000,5921106,11012367,3850788,1877406,7353208,8215090,7885336,23433515,28021112,17696069,23096834,20899490,20275566,13545481,8772517,10289685,9311752,8308693,7141035,7274662,7925536,3492179,8918020,8501121,4125775,4048823,3537727
11,COGS and Expenses,800000,800000,700000,700000,500000,500000,700000,6600000,3200000,5921106,11012367,3850788,1877406,7353208,8215090,7885336,23433515,28021112,17696069,23096834,20899490,20275566,19118340,20117348,17172288,16822720,16992594,15100697,14871754,15844247,5003640,15304143,13148230,7474089,7595980,7014719
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3431,1565,2604,12291,1297,3721,8937,5610,9168,14416,1360,79999,108652,146645,129995
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1816371,1819186,1503444,1560014,1588760,1527507,961709,822581,880069,334812,731145,656810,381310,566682,360676
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-27234,-18000,-15000,21724,2236143,2600318,2958259,54690,54209,49036,38312,36373,2068355,1009978,2913328,1934227,1853164,1734734,1754289,1783595,1782421,1178074,2161401,1902195,1244581,901664,830916
