,https://roic.ai/company/INLX,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,2734950,1554185,1485873,2336991,2601733,2623441,2381427,2535955,8253391,11460265
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,981519,585229,301026,482241,709809,760462,742405,567843,3262653,4517283
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,1753431,968956,1184847,1854750,1891924,1862979,1639022,1968112,4990738,6942982
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.6411,0.6234,0.7974,0.7936,0.7272,0.7101,0.6883,0.7761,0.6047,0.6058
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,9345,9044,10124,5905,4823,6262,- -,2196068,2087169,1753504,2607643,2118924,2199904,2106851,2131385,3499440,4044296
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200019,826396,804916,791291,1132292,819820,997910,981618,1041367,1378352
8,"Selling, General and Administrative Exp.",- -,2104,9345,9044,10124,5905,4823,6262,10149,3396087,2913565,2558420,3398934,3251216,3019724,3104761,3113003,4540807,5422648
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,28420,26465,24312,11626,10687,11831,9040,7701,296935,413932
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,3424507,2940030,2582732,3410560,3261903,3031555,3113801,3120704,4837742,5836580
11,COGS and Expenses,- -,2104,18690,18088,10124,5905,4823,6262,10149,4406026,3525259,2883758,3892801,3971712,3792017,3856206,3688547,8100395,10353863
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,5663,- -,- -,- -,- -,206332,609851,865501,980689,637683,452120
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,28420,26465,24312,11626,10687,11831,9039,49011,702162,1049581
