,https://roic.ai/company/ITW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,596100000,961100000,1698400000,1929800000,2172700000,2544200000,2639700000,2811600000,3159200000,3461300000,4152200000,4996700000,5220400000,5647900000,9333200000,9983577000,9292791000,9467740000,10035623000,11731425000,12921792000,14055049000,16170611000,15869354000,13877068000,15870376000,17786583000,17924000000,14135000000,14484000000,13405000000,13599000000,14314000000,14768000000,14109000000,12574000000,14455000000
2,COGS,363500000,586100000,1061800000,1212900000,1367000000,1587100000,1648500000,1737100000,1990600000,2187300000,2597200000,3142500000,3237600000,3466200000,5773400000,6193315000,6191253000,6213791000,6527692000,7591246000,8363881000,9077321000,10455185000,10272595000,9144852000,10240448000,11517885000,11455000000,8554000000,8673000000,7888000000,7896000000,8309000000,8604000000,8187000000,7375000000,8489000000
3,Gross Profit,232600000,375000000,636600000,716900000,805700000,957100000,991200000,1074500000,1168600000,1274000000,1555000000,1854200000,1982800000,2181700000,3559800000,3790262000,3101538000,3253949000,3507931000,4140179000,4557911000,4977728000,5715426000,5596759000,4732216000,5629928000,6268698000,6469000000,5581000000,5811000000,5517000000,5703000000,6005000000,6164000000,5922000000,5199000000,5966000000
4,Gross Profit Ratio,0.3902,0.3902,0.3748,0.3715,0.3708,0.3762,0.3755,0.3822,0.3699,0.3681,0.3745,0.3711,0.3798,0.3863,0.3814,0.3796,0.3338,0.3437,0.3495,0.3529,0.3527,0.3542,0.3534,0.3527,0.3410,0.3547,0.3524,0.3609,0.3948,0.4012,0.4116,0.4194,0.4195,0.4174,0.4197,0.4135,0.4127
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,210719000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,650100000,776600000,875400000,870300000,890600000,1730000000,1813455000,1690850000,1720245000,1850197000,2024445000,2214865000,2432248000,2930628000,2773692000,3037439000,- -,- -,- -,2815000000,2678000000,2417000000,2415000000,2400000000,- -,2361000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88664000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",123300000,223800000,339100000,369100000,417900000,510300000,552900000,586800000,658400000,650100000,776600000,875400000,870300000,890600000,1730000000,1813455000,1690850000,1720245000,1850197000,2024445000,2214865000,2432248000,2930628000,2862356000,3037439000,3059360000,3282352000,3332000000,2815000000,2678000000,2417000000,2415000000,2400000000,2391000000,2361000000,2163000000,2356000000
9,Other Expenses,27300000,37200000,57800000,75100000,84700000,102100000,115400000,125300000,131700000,132100000,151900000,178200000,185400000,211800000,343300000,413370000,104585000,27933000,24276000,59121000,83842000,141339000,161042000,185448000,203230000,212884000,255338000,288000000,250000000,242000000,231000000,224000000,206000000,189000000,159000000,154000000,133000000
10,Operating Expenses,150600000,261000000,396900000,444200000,502600000,612400000,668300000,712100000,790100000,782200000,928500000,1053600000,1055700000,1102400000,2073300000,2226825000,1795435000,1748178000,1874473000,2083566000,2298707000,2573587000,3091670000,3258523000,3240669000,3272244000,3537690000,3620000000,3065000000,2920000000,2648000000,2639000000,2606000000,2580000000,2520000000,2317000000,2489000000
11,COGS and Expenses,514100000,847100000,1458700000,1657100000,1869600000,2199500000,2316800000,2449200000,2780700000,2969500000,3525700000,4196100000,4293300000,4568600000,7846700000,8420140000,7986688000,7961969000,8402165000,9674812000,10662588000,11650908000,13546855000,13531118000,12385521000,13512692000,15055575000,15075000000,11619000000,11593000000,10536000000,10535000000,10915000000,11184000000,10707000000,9692000000,10978000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40276000,40000000,50000000,65000000,52000000,38000000,45000000,35000000,29000000,17000000,12000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164839000,175456000,192133000,214000000,239000000,250000000,226000000,237000000,260000000,257000000,221000000,206000000,202000000
14,Depreciation and Amortization,27300000,37200000,57800000,75100000,84700000,102100000,115400000,125300000,131700000,132100000,151900000,178200000,185400000,211800000,343300000,413370000,386308000,305752000,306553000,385797000,383074000,443906000,524744000,691907000,674925000,548278000,594009000,613000000,613000000,507000000,477000000,470000000,462000000,461000000,426000000,427000000,410000000
15,EBITDA,97200000,185300000,257900000,307900000,353700000,402000000,403200000,435100000,467600000,582400000,775600000,948500000,1109800000,1271400000,1696000000,1891550000,1620367000,1520094000,1866133000,2384291000,2564643000,2889152000,3149506000,2819010000,2031073000,2935727000,3433226000,4805000000,3248000000,4512000000,3422000000,3615000000,3992000000,4112000000,3935000000,3337000000,3938000000
16,EBITDA ratio,0.1631,0.1928,0.1518,0.1596,0.1628,0.1580,0.1527,0.1548,0.1480,0.1683,0.1868,0.1898,0.2126,0.2251,0.1817,0.1895,0.1744,0.1606,0.1860,0.2032,0.1985,0.2056,0.1948,0.1776,0.1464,0.1850,0.1930,0.2681,0.2298,0.3115,0.2553,0.2658,0.2789,0.2784,0.2789,0.2654,0.2724
17,Operating Income,82000000,114000000,239700000,272700000,303100000,344700000,322900000,362400000,378500000,491800000,626500000,800600000,927100000,1079300000,1486500000,1563437000,1306103000,1505771000,1633458000,2056613000,2259204000,2420936000,2623756000,2338236000,1385979000,2356678000,2731008000,2847000000,2514000000,2888000000,2867000000,3064000000,3494000000,3584000000,3402000000,2882000000,3477000000
18,Operating Income ratio,0.1376,0.1186,0.1411,0.1413,0.1395,0.1355,0.1223,0.1289,0.1198,0.1421,0.1509,0.1602,0.1776,0.1911,0.1593,0.1566,0.1406,0.1590,0.1628,0.1753,0.1748,0.1722,0.1623,0.1473,0.0999,0.1485,0.1535,0.1588,0.1779,0.1994,0.2139,0.2253,0.2441,0.2427,0.2411,0.2292,0.2405
19,Total Other Income Expenses (Gains),-12100000,34100000,-39600000,-39900000,-34100000,-44800000,-35100000,-52600000,-42600000,-41500000,-2800000,-30300000,-2700000,-19700000,-133800000,-85257000,-75254000,-72211000,-57344000,-57208000,-77635000,24310000,-42777000,-146870000,-172189000,-144685000,-138294000,756000000,-167000000,-189000000,-148000000,-156000000,-224000000,-190000000,-114000000,-178000000,-151000000
20,Income Before Tax,69900000,148100000,200100000,232800000,269000000,299900000,287800000,309800000,335900000,450300000,623700000,770300000,924400000,1059600000,1352700000,1478180000,1230849000,1433560000,1576114000,1999405000,2181569000,2445246000,2580979000,2191366000,1213790000,2211993000,2592714000,3603000000,2347000000,2699000000,2719000000,2908000000,3270000000,3394000000,3288000000,2704000000,3326000000
21,Income Before Tax Ratio,0.1173,0.1541,0.1178,0.1206,0.1238,0.1179,0.1090,0.1102,0.1063,0.1301,0.1502,0.1542,0.1771,0.1876,0.1449,0.1481,0.1325,0.1514,0.1571,0.1704,0.1688,0.1740,0.1596,0.1381,0.0875,0.1394,0.1458,0.2010,0.1660,0.1863,0.2028,0.2138,0.2284,0.2298,0.2330,0.2150,0.2301
22,Income Tax expense (Gain),38400000,68500000,93900000,92800000,105200000,117500000,107200000,117700000,129300000,172500000,236100000,284000000,337400000,386800000,511600000,520200000,428400000,501750000,535900000,659800000,686700000,727500000,754900000,608100000,244300000,684800000,575700000,1108000000,717000000,809000000,820000000,873000000,1583000000,831000000,767000000,595000000,632000000
23,Net Income,31500000,79600000,106200000,140000000,163800000,182400000,180600000,192100000,206600000,277800000,387600000,486300000,587000000,672800000,841100000,957980000,805659000,712592000,1023680000,1338694000,1494869000,1717746000,1869862000,1519003000,947009000,1527193000,2071384000,2870000000,1679000000,2946000000,1899000000,2035000000,1687000000,2563000000,2521000000,2109000000,2694000000
24,Net Income ratio,0.0528,0.0828,0.0625,0.0725,0.0754,0.0717,0.0684,0.0683,0.0654,0.0803,0.0933,0.0973,0.1124,0.1191,0.0901,0.0960,0.0867,0.0753,0.1020,0.1141,0.1157,0.1222,0.1156,0.0957,0.0682,0.0962,0.1165,0.1601,0.1188,0.2034,0.1417,0.1496,0.1179,0.1736,0.1787,0.1677,0.1864
25,EPS,0.01,0.01,0.03,0.04,0.05,0.05,0.05,0.05,0.11,0.61,0.82,0.98,1.18,1.34,1.40,1.59,1.32,1.17,1.67,2.21,2.62,3.04,3.39,2.93,1.89,3.05,4.21,6.11,3.76,7.33,5.16,5.73,4.90,7.65,7.78,6.66,8.50
26,EPS Diluted,0.01,0.01,0.03,0.04,0.05,0.05,0.05,0.05,0.11,0.61,0.82,0.98,1.17,1.33,1.38,1.57,1.31,1.16,1.66,2.19,2.60,3.01,3.36,2.91,1.89,3.03,4.19,6.06,3.74,7.28,5.13,5.70,4.86,7.60,7.74,6.63,8.50
27,Weighted Average Shares Outstanding,403264000,410032000,414584000,422784000,429328000,438436000,445744000,448624000,453172000,453551020,471246201,494961832,499574468,500223048,600785714,602503145,608044528,611666953,614822823,604376524,570560687,565048026,551581711,518609000,500177000,500772000,491439000,469800000,446200000,401700000,367900000,355000000,344100000,335000000,323900000,316900000,314600000
28,Weighted Average Shares Outstanding Diluted,403264000,410032000,414584000,422784000,429328000,438436000,445744000,448624000,453172000,453551020,471246201,494961832,503862661,503970037,609492754,608241270,612668441,616962771,616674699,609883371,574949615,570679734,556506548,521213000,500177000,503350000,494646000,473200000,449300000,404600000,370100000,357100000,346800000,337100000,325600000,318300000,314600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49826/000091205795001849/0000912057-95-001849-index.html,https://www.sec.gov/Archives/edgar/data/49826/000095013196001325/0000950131-96-001325-index.html,https://www.sec.gov/Archives/edgar/data/49826/000095013797001181/0000950137-97-001181-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49826/000095013702001470/c67784e10-k405.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013703001256/c75093e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013704001633/c83293e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013705002667/c92475e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013706002224/c02489e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013707002694/c12075e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013708002954/c23108e10vk.htm,https://www.sec.gov/Archives/edgar/data/49826/000095013709001368/0000950137-09-001368-index.html,https://www.sec.gov/Archives/edgar/data/49826/000095012310017817/0000950123-10-017817-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/49826/000004982614000022/itw-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/49826/000004982615000016/itw-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/49826/000004982616000151/0000049826-16-000151-index.html,https://www.sec.gov/Archives/edgar/data/49826/000004982617000022/0000049826-17-000022-index.html,https://www.sec.gov/Archives/edgar/data/49826/000004982618000017/0000049826-18-000017-index.html,- -,https://www.sec.gov/Archives/edgar/data/49826/000004982620000020/0000049826-20-000020-index.html,https://www.sec.gov/Archives/edgar/data/49826/000004982621000007/0000049826-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/49826/000004982622000006/0000049826-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,76900000,116600000,137700000,185900000,93500000,233000000,151295000,282224000,1057687000,1684483000,667390000,370417000,590207000,827524000,742950000,1318772000,1190038000,1177875000,2779000000,3618000000,3990000000,3090000000,2472000000,3094000000,1504000000,1981000000,2564000000,1527000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,76900000,116600000,137700000,185900000,93500000,233000000,151295000,282224000,1057687000,1684483000,667390000,370417000,590207000,827524000,742950000,1318772000,1190038000,1177875000,2779000000,3618000000,3990000000,3090000000,2472000000,3094000000,1504000000,1981000000,2564000000,1527000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,612600000,741300000,840100000,902000000,989100000,1630900000,1654632000,1450029000,1500031000,1721186000,2054624000,2098276000,2773242000,3205115000,2612515000,2491492000,2678084000,2818892000,3044000000,2553000000,2472000000,2398000000,2433000000,2819000000,2799000000,2611000000,2621000000,2942000000
