,https://roic.ai/company/MDGL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,1304000,173000,- -,- -,743000,2615000,144245000,14803000,7584000,147000,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,1304000,- -,- -,- -,- -,- -,144245000,14803000,7584000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,1.0000,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,277000,7292000,24337000,38136000,59901000,50503000,52025000,81581000,51054000,40252000,41464000,49412000,71860000,68205000,54218000,15933483,24390000,25389000,72324000,184809000,205164000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,14934000,14742000,12651000,11449000,11552000,11676000,15699000,15746000,13392000,9290158,7672000,15293000,22648000,21864000,37318000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",124000,- -,5261000,7383000,11279000,8648000,14934000,14742000,12651000,11449000,11552000,11676000,15699000,15746000,13392000,9290158,7672000,15293000,22648000,21864000,37318000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,401000,- -,29598000,45519000,71180000,59151000,66959000,96323000,63705000,51701000,53016000,61088000,87559000,83951000,67610000,25223641,32062000,40682000,94972000,206673000,242482000
11,COGS and Expenses,401000,7292000,29598000,45519000,71180000,59151000,66959000,96323000,63705000,51701000,53016000,61088000,87559000,83951000,67610000,25223641,32062000,40682000,94972000,206673000,242482000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,96000,- -,- -,- -,- -,- -,- -,48303,558000,7671000,11024000,4329000,363000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,312000,569000,1948000,1849000,2633000,2210000,1061000,1212520,- -,- -,11024000,- -,- -
14,Depreciation and Amortization,- -,- -,1006000,1547000,2455000,3655000,3351000,2717000,2463000,1933000,1464000,738000,516000,673000,662000,156,77000,96000,112000,471000,405000
15,EBITDA,-401000,10796000,-26872000,-44387000,-71042000,-57377000,-60144000,-89901000,81863000,-34965000,-43968000,-60203000,-87043000,-83278000,-66948000,-25223485,-31985000,-40586000,-94860000,-206202000,-242077000
16,EBITDA ratio,-Infinity,Infinity,-20.6074,-256.5723,-Infinity,-Infinity,-80.9475,-34.3790,0.5675,-2.3620,-5.7975,-409.5442,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-401000,-36264000,-28294000,-46929000,-71180000,-59151000,-66216000,-93708000,79304000,-36898000,-45432000,-60941000,-87559000,-83951000,-67610000,-25223641,-32062000,-40682000,-94972000,-206673000,-242482000
18,Operating Income ratio,-Infinity,-Infinity,-21.6979,-271.2659,-Infinity,-Infinity,-89.1198,-35.8348,0.5498,-2.4926,-5.9905,-414.5646,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,-18088000,416000,-588000,2317000,1881000,2721000,- -,-1236000,- -,- -,-1849000,-2633000,-2210000,-1061000,-1164217,908000,7871000,11024000,4429000,636000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-62790000,-90192000,-86161000,-68671000,-26387858,-31154000,-32811000,-83948000,-202244000,-241846000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-427.1429,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-381000,-36154000,-27878000,-45934000,-68863000,-57270000,-63495000,-92618000,79088000,-37467000,-47380000,-62790000,-90192000,-86161000,-68671000,-26387858,-31154000,-32811000,-83948000,-202244000,-241846000
24,Net Income ratio,-Infinity,-Infinity,-21.3788,-265.5145,-Infinity,-Infinity,-85.4576,-35.4180,0.5483,-2.5310,-6.2474,-427.1429,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-4.55,-105.00,-44.80,-59.15,-108.15,-93.10,-131.60,-96.25,81.55,-32.55,-35.00,-37.10,-44.45,-30.45,-18.55,-5.07,-2.54,-2.22,-5.45,-13.09,-14.63
26,EPS Diluted,-4.55,-105.00,-44.80,-59.15,-108.15,-93.10,-131.60,-96.25,81.20,-32.55,-35.00,-37.10,-44.45,-30.45,-18.55,-5.07,-2.54,-2.22,-5.45,-13.09,-14.63
27,Weighted Average Shares Outstanding,83735,344042,624366,777293,635802,636140,927586,963859,968207,1153274,1348481,1697445,2027875,2813942,3674083,5204644,12244939,14796712,15394659,15446638,16535188
28,Weighted Average Shares Outstanding Diluted,83735,344042,624366,777293,635802,636140,927586,963859,974809,1153274,1348481,1697445,2027875,2813942,3674083,5204644,12244939,14796712,15394659,15446638,16535188
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1157601/000104746908003112/0001047469-08-003112-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746909003196/0001047469-09-003196-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746910002048/0001047469-10-002048-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746911002010/0001047469-11-002010-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746912001243/0001047469-12-001243-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746913002698/0001047469-13-002698-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746914002088/0001047469-14-002088-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746915002022/0001047469-15-002022-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746916011140/0001047469-16-011140-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746917002260/0001047469-17-002260-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746918001557/0001047469-18-001557-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000104746919000725/0001047469-19-000725-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000119312520049021/0001193125-20-049021-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000119312521056164/0001193125-21-056164-index.htm,https://www.sec.gov/Archives/edgar/data/1157601/000119312522051569/0001193125-22-051569-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,36062000,42736000,23809000,33687000,115577000,52045000,44155000,31310000,30075000,81512000,48490000,46024000,34966000,19144983,148627000,57379000,46697000,54004000,36269000
32,Short-Term Investments,- -,- -,40164000,82232000,38248000,13137000,- -,21518000,- -,19663000,9650000,19087000,42986000,51666000,31608000,21354525,42900000,426339000,392348000,230145000,234077000
