,https://roic.ai/company/MHTX,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,250000,- -,156000,300000,150000,- -,- -,- -,856000,633000,1686000,687000,693000,652000,642000,64000,150000,142000,- -,97000,50000,50000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131000,112000,- -,- -,- -,- -,- -,189000,7000,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,856000,633000,1555000,575000,693000,652000,642000,- -,- -,-47000,-7000,97000,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,0.9223,0.8370,1.0000,1.0000,1.0000,- -,- -,-0.3310,-Infinity,1.0000,- -,- -
5,Research and Development Exp.,960000,3093000,1964000,865000,286000,125000,227000,221000,210000,198000,25000,28000,204000,274000,960000,1861000,2937000,3335000,175000,52000,8000,11000,10000
6,General and Administrative Exp.,- -,- -,4468000,- -,- -,- -,- -,1717000,3233000,1952000,1005000,1520000,- -,2069000,1500000,2256000,3378000,3198000,2056000,1389000,1114000,714000,727000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,4468000,- -,- -,- -,- -,1717000,3233000,1952000,1005000,1520000,- -,2069000,1500000,2256000,3378000,3198000,2056000,1389000,1114000,714000,727000
9,Other Expenses,8577000,1915000,- -,2975000,2783000,2154000,1391000,- -,- -,- -,- -,- -,2541000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,9537000,5008000,6432000,3840000,3069000,2279000,1618000,1938000,3443000,2150000,1030000,1548000,2745000,2343000,2460000,4117000,6315000,6533000,2231000,1441000,1122000,725000,737000
11,COGS and Expenses,9537000,5008000,6432000,3840000,3069000,2279000,1618000,1938000,3443000,2150000,1030000,1679000,2857000,2343000,2460000,4117000,6315000,6533000,2420000,1448000,1122000,725000,737000
12,Interest Income ,- -,48000,16000,1000,1000,- -,3000,6000,6000,8000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,26000,41000,51000,80000,95000,105000,80000,61000,50000,50000,50000,117000,473000,120000,330000,675000,488000,- -,- -,5000,25000,26000
14,Depreciation and Amortization,183000,267000,734000,30000,223000,208000,211000,211000,210000,209000,35000,33000,121000,182000,227000,202000,793000,995000,857000,622000,2000,26000,26000
15,EBITDA,-9254000,-4443000,-5698000,-3947000,-2266000,-1214000,-1407000,-1727000,-3233000,-1883000,-361000,40000,-2049000,-1435000,-1581000,-3273000,9480000,-4625000,2403000,-826000,-1215000,4365000,26000
