,https://roic.ai/company/MTRN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,242900000,241400000,307600000,345800000,317800000,297400000,267500000,265000000,295500000,345900000,369600000,376300000,433800000,409900000,455700000,563690000,472569000,372829000,401046000,496276000,541267000,763054000,955709000,909711000,715186000,1302314000,1526730000,1273078000,1166882000,1126890000,1025272000,969236000,1139447000,1207815000,1185424000,1176274000,1510644000
2,COGS,146000000,147100000,192000000,216400000,211100000,191300000,180300000,175100000,209000000,234300000,247800000,244800000,301500000,300600000,336700000,422287000,404574000,324932000,328008000,385202000,431024000,600882000,759037000,757567000,623764000,1079666000,1311409000,1074295000,978904000,920987000,839604000,785773000,932582000,956710000,926280000,986018000,1232855000
3,Gross Profit,96900000,94300000,115600000,129400000,106700000,106100000,87200000,89900000,86500000,111600000,121800000,131500000,132300000,109300000,119000000,141403000,67995000,47897000,73038000,111074000,110243000,162172000,196672000,152144000,91422000,222648000,215321000,198783000,187978000,205903000,185668000,183463000,206865000,251105000,259144000,190256000,277789000
4,Gross Profit Ratio,0.3989,0.3906,0.3758,0.3742,0.3357,0.3568,0.3260,0.3392,0.2927,0.3226,0.3295,0.3495,0.3050,0.2667,0.2611,0.2509,0.1439,0.1285,0.1821,0.2238,0.2037,0.2125,0.2058,0.1672,0.1278,0.1710,0.1410,0.1561,0.1611,0.1827,0.1811,0.1893,0.1815,0.2079,0.2186,0.1617,0.1839
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7700000,8700000,8500000,7437000,6327000,4265000,4230000,4491000,4990000,4166000,4992000,6522000,6771000,7113000,11081000,12505000,13432000,12850000,12796000,12802000,13981000,15187000,18271000,20283000,26575000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87577000,75315000,61293000,68834000,77267000,78457000,111002000,110127000,104792000,89762000,133016000,131388000,133893000,133253000,137118000,- -,129683000,- -,153489000,147164000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",34600000,36000000,44900000,50600000,46800000,54200000,94800000,53900000,54900000,64300000,70600000,73300000,69000000,64600000,70600000,87577000,75315000,61293000,68834000,77267000,78457000,111002000,110127000,104792000,89762000,133016000,131388000,133893000,133253000,137118000,129941000,129683000,146170000,153489000,147164000,133963000,163777000
9,Other Expenses,13600000,15900000,20100000,23400000,22000000,22200000,21800000,17900000,18600000,19600000,20900000,23000000,19300000,24600000,27100000,22664000,422000,5184000,9314000,4282000,7287000,3164000,5787000,12759000,14374000,8127000,15774000,15019000,12747000,12501000,7074000,10411000,8782000,13264000,10647000,8587000,9305000
10,Operating Expenses,48200000,51900000,65000000,74000000,68800000,76400000,116600000,71800000,73500000,83900000,91500000,96300000,96000000,97900000,106200000,117678000,82064000,70742000,82378000,86040000,90734000,118332000,120906000,124073000,110907000,148256000,158243000,161417000,159432000,162469000,149811000,152896000,168933000,181940000,176082000,162833000,199657000
11,COGS and Expenses,194200000,199000000,257000000,290400000,279900000,267700000,296900000,246900000,282500000,318200000,339300000,341100000,397500000,398500000,442900000,539965000,486638000,395674000,410386000,471242000,521758000,719214000,879943000,881640000,734671000,1227922000,1469652000,1235712000,1138336000,1083456000,989415000,938669000,1101515000,1138650000,1102362000,1148851000,1432512000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1995000,1299000,2665000,2812000,3134000,3036000,2787000,2450000,1789000,2183000,2471000,1579000,3879000,4901000
14,Depreciation and Amortization,13600000,15900000,20100000,23400000,22000000,22200000,21800000,17900000,18600000,19600000,20900000,23000000,19300000,24600000,27100000,22664000,21609000,20640000,20731000,23826000,22790000,25141000,24296000,- -,- -,6393000,- -,6008000,5529000,5169000,35120000,4498000,42751000,2265000,1400000,42384000,44137000
15,EBITDA,59900000,56200000,66000000,75200000,48300000,47000000,-14300000,31600000,26300000,42700000,48300000,56200000,54800000,13100000,33400000,40998000,4213000,-5215000,8081000,40483000,35927000,64846000,107001000,28071000,-19485000,80026000,57078000,42784000,32360000,62126000,80388000,31602000,81330000,21078000,64969000,54538000,126363000
