,https://roic.ai/company/NRP,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,25970000,13893000,85466000,121432000,159053000,170673000,214985000,291665000,256084000,301401000,377683000,379147000,323931000,358336000,438931000,330917000,333704000,202765000,210348000,129011000,216364000
2,COGS,- -,397000,1299000,2045000,3392000,1560000,1336000,65762000,64011000,1498000,3055000,62022000,67863000,126908000,100828000,46272000,35993000,21689000,14932000,9198000,- -
3,Gross Profit,- -,13496000,84167000,119387000,155661000,169113000,213649000,225903000,192073000,299903000,374628000,317125000,256068000,231428000,338103000,284645000,297711000,181076000,195416000,119813000,216364000
4,Gross Profit Ratio,- -,0.9714,0.9848,0.9832,0.9787,0.9909,0.9938,0.7745,0.7500,0.9950,0.9919,0.8364,0.7905,0.6458,0.7703,0.8602,0.8921,0.8930,0.9290,0.9287,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,13922000,23102000,29893000,- -,29714000,36821000,36437000,12348000,20570000,18502000,16496000,16730000,14293000,17360000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,1416000,1611000,1864000,- -,1944000,1644000,1604000,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,15338000,24713000,31757000,- -,31658000,38465000,38041000,12348000,20570000,18502000,16496000,16730000,14293000,17360000
9,Other Expenses,5807000,6881000,40098000,49295000,54191000,53337000,85350000,13558000,13385000,72085000,109157000,15734000,14819000,19675000,171990000,130546000,136516000,29509000,32738000,24795000,51226000
10,Operating Expenses,5807000,6881000,40098000,49295000,54191000,53337000,85350000,28896000,38098000,103842000,109157000,47392000,53284000,57716000,184338000,151116000,155018000,46005000,49468000,39088000,68586000
11,COGS and Expenses,5807000,7278000,41397000,51340000,57583000,54897000,86686000,94658000,102109000,105340000,112212000,109414000,121147000,184624000,285166000,197388000,191011000,67694000,64400000,48286000,- -
12,Interest Income ,270000,- -,206000,349000,1413000,2737000,2890000,1355000,213000,35000,69000,162000,238000,96000,18000,39000,181000,- -,- -,- -,- -
13,Interest Expense (Gain),3966000,200000,6814000,10312000,11044000,16423000,28690000,28356000,40108000,41635000,49180000,53972000,64396000,80185000,93827000,90570000,82902000,70178000,47453000,40968000,-38876000
14,Depreciation and Amortization,- -,4526000,25365000,30957000,33730000,29695000,51391000,- -,- -,- -,- -,- -,- -,- -,- -,46272000,35993000,21689000,- -,9198000,19075000
15,EBITDA,18509000,11141000,69086000,100263000,136613000,148208000,182580000,198362000,120673000,196096000,102208000,267327000,236474000,189015000,-477893000,233734000,207562000,231404000,22995000,-34653000,89101000
16,EBITDA ratio,0.7127,0.8019,0.8083,0.8257,0.8589,0.8684,0.8493,0.6801,0.4712,0.6506,0.2706,0.7051,0.7300,0.5275,-1.0888,0.7063,0.6220,1.1412,0.1093,-0.2686,0.4118
17,Operating Income,20163000,6615000,44069000,70092000,101470000,115776000,128299000,197007000,153975000,196061000,104135000,267165000,236236000,188919000,-477911000,185745000,183975000,192538000,51321000,-43851000,147778000
18,Operating Income ratio,0.7764,0.4761,0.5156,0.5772,0.6380,0.6783,0.5968,0.6755,0.6013,0.6505,0.2757,0.7046,0.7293,0.5272,-1.0888,0.5613,0.5513,0.9496,0.2440,-0.3399,0.6830
19,Total Other Income Expenses (Gains),- -,216000,-554000,-1135000,- -,- -,- -,-27001000,-39895000,- -,-49111000,-53810000,-64158000,-80089000,-93809000,-90531000,-94767000,-70178000,-76735000,-40968000,-38876000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,170006000,114080000,- -,55024000,213355000,172078000,108830000,-571720000,95214000,89208000,122360000,-25414000,-84819000,108902000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,0.5829,0.4455,- -,0.1457,0.5627,0.5312,0.3037,-1.3025,0.2877,0.2673,0.6035,-0.1208,-0.6575,0.5033
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,14543000,6415000,36907000,58994000,91839000,102090000,102499000,170006000,80565000,154461000,53028000,213355000,172078000,108830000,-571720000,96892000,88667000,139537000,-24458000,-84819000,108902000
24,Net Income ratio,0.5600,0.4617,0.4318,0.4858,0.5774,0.5982,0.4768,0.5829,0.3146,0.5125,0.1404,0.5627,0.5312,0.3037,-1.3025,0.2928,0.2657,0.6882,-0.1163,-0.6575,0.5033
25,EPS,3.20,1.40,7.95,11.45,16.95,17.40,12.60,19.70,11.70,15.40,5.00,19.70,15.40,9.40,-45.75,7.78,5.06,8.77,-4.35,-9.20,6.14
26,EPS Diluted,3.20,1.40,7.95,11.45,16.95,17.40,12.60,19.70,11.70,15.40,5.00,19.70,15.40,9.40,-45.75,7.78,3.96,6.76,-4.35,-9.20,4.81
27,Weighted Average Shares Outstanding,4541463,4541600,2270800,2689400,2869000,3436600,5458200,6489100,6770200,8191700,10602800,10602800,10958400,11326200,12230000,12232000,12243083,12240137,12268736,12254674,12336645
28,Weighted Average Shares Outstanding Diluted,4541463,4541600,2270800,2689400,2869000,3436600,5458200,6489100,6770200,8191700,10602800,10602800,10958400,11326200,12230000,12232000,15643939,15879586,12268736,12254674,15747817
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1171486/000095012903001690/0000950129-03-001690-index.html,- -,https://www.sec.gov/Archives/edgar/data/1171486/000095012905001752/0000950129-05-001752-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000095012906001928/0000950129-06-001928-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000095012907000993/0000950129-07-000993-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000095013408003799/0000950134-08-003799-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000095012909000666/0000950129-09-000666-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000095012310017799/0000950123-10-017799-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000095012311019405/0000950123-11-019405-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000119312512088481/0001193125-12-088481-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000119312513083594/0001193125-13-083594-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000119312514077852/0001193125-14-077852-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000119312515070173/0001193125-15-070173-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148616000028/0001171486-16-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148617000010/0001171486-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148618000014/0001171486-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148619000011/0001171486-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148620000006/0001171486-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148621000009/0001171486-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148622000021/0001171486-22-000021-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,7753000,24320000,42103000,47691000,66044000,58341000,89928000,82634000,95506000,214922000,149424000,92513000,50076000,51773000,40371000,29827000,101839000,98265000,99790000,135520000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,7753000,24320000,42103000,47691000,66044000,58341000,89928000,82634000,95506000,214922000,149424000,92513000,50076000,51773000,40371000,29827000,101839000,98265000,99790000,135520000
34,Net Receivables,- -,9043000,10990000,15083000,21952000,23378000,28648000,33234000,31483000,34110000,41061000,45729000,41403000,75949000,57031000,49860000,47187000,32058000,30869000,12322000,24538000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5814000,7835000,6893000,7553000,- -,- -,- -,- -
36,Other Current Assets,- -,511000,1186000,786000,833000,1411000,7249000,934000,930000,910000,832000,1042000,1691000,4279000,4490000,7128000,6829000,108646000,2950000,5080000,2723000
37,Total Current Assets,- -,17307000,36496000,57972000,70476000,90833000,94238000,124096000,115047000,130526000,256815000,196195000,135607000,136118000,121129000,104252000,91396000,242543000,132084000,117192000,162781000
