,https://roic.ai/company/PFSW,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,49343000,101200000,86607000,- -,93317000,282405000,321665000,331657000,423253000,446802000,451843000,352499000,274516000,298766000,281563000,241603000,247048000,288269000,334643000,326825000,326160000,294022000,342505000
2,COGS,- -,45600000,93500000,73741000,- -,77003000,258161000,292154000,299153000,383577000,400032000,399004000,313435000,242896000,263463000,240822000,200041000,203256000,226596000,261179000,246246000,240863000,219801000,259099000
3,Gross Profit,- -,3743000,7700000,12866000,- -,16314000,24244000,29511000,32504000,39676000,46770000,52839000,39064000,31620000,35303000,40741000,41562000,43792000,61673000,73464000,80579000,85297000,74221000,83406000
4,Gross Profit Ratio,- -,0.0759,0.0761,0.1486,- -,0.1748,0.0858,0.0917,0.0980,0.0937,0.1047,0.1169,0.1108,0.1152,0.1182,0.1447,0.1720,0.1773,0.2139,0.2195,0.2466,0.2615,0.2524,0.2435
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,17764000,- -,27012000,25161000,27091000,30521000,45189000,44057000,49073000,41995000,33611000,37512000,40620000,46235000,47658000,66280000,76304000,79981000,78800000,73334000,85351000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,3705000,6700000,17764000,- -,27012000,25161000,27091000,30521000,45189000,44057000,49073000,41995000,33611000,37512000,40620000,46235000,47658000,66280000,76304000,79981000,78800000,73334000,85351000
9,Other Expenses,- -,- -,300000,2373000,- -,- -,257000,- -,- -,4256000,806000,806000,105000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
