,https://roic.ai/company/PTN,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,20000,700000,100000,600000,5117111,1788092,281355,1270015,2315158,17957193,19748645,14405665,11483287,11351774,14180727,1475457,73736,10361,- -,12951730,- -,44723827,67134758,60300476,117989,-188597
2,COGS,- -,-500000,-1900000,-1500000,-267049,- -,- -,- -,- -,863333,2341170,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147840
3,Gross Profit,- -,1200000,2000000,2100000,5384160,- -,- -,- -,- -,17093860,17407475,- -,- -,11351774,14180727,1475457,73736,- -,- -,- -,- -,- -,- -,- -,- -,-336437
4,Gross Profit Ratio,- -,1.7143,20.0000,3.5000,1.0522,- -,- -,- -,- -,0.9519,0.8815,- -,- -,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,1.7839
5,Research and Development Exp.,870000,3400000,7100000,8700000,9109619,10108999,12117026,17439191,23333329,25045279,41013894,36913739,21187762,13356751,12293910,10377019,13813376,10528691,10826921,24560233,43071051,45683174,32566217,14857095,13959397,12926559
6,General and Administrative Exp.,1250000,2500000,3000000,4000000,4567273,3024841,5004143,4866642,5739519,7460607,6843817,7293090,6928295,5296859,4901203,4751824,5045741,5066830,4960731,5677654,6179084,9610147,8641976,9699061,9765372,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1250000,2500000,3000000,4000000,4567273,3024841,5004143,4866642,5739519,7460607,6843817,7293090,6928295,5296859,4901203,4751824,5045741,5066830,4960731,5677654,6179084,9610147,8641976,9699061,9765372,- -
9,Other Expenses,710000,500000,1900000,1500000,267049,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17336913
10,Operating Expenses,2830000,6400000,12000000,14200000,13943941,13133840,17121169,22305833,29072848,32505886,47857711,44206829,28116057,18653610,17195113,15128843,18859117,15595521,15787652,30237887,49250135,55293321,41208193,24556156,23724769,30263472
11,COGS and Expenses,2830000,5900000,10100000,12700000,13676892,13133840,17121169,22305833,29072848,33369219,50198881,44206829,28116057,18653610,17195113,15128843,18859117,15595521,15787652,30237887,49250135,55293321,41208193,24556156,23724769,30411312
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-460000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26159,13165,10606,10411,8411,6211,661697,2513027,2288309,1452014,417561,20141,23440
14,Depreciation and Amortization,70000,500000,1900000,1500000,267049,288086,1156874,579258,671989,1075306,1263899,1449577,1393077,1364644,1269413,1138183,949542,111844,111906,117590,43052,33051,56569,58635,64203,51121
15,EBITDA,-4290000,-4800000,-8000000,-10500000,-7916389,-10636303,-15374113,-20231046,-25886706,-13862945,-28361258,-27080255,-14282736,-5152905,-1508338,-12304531,-17361458,-22495127,-15675746,-17417784,-49207083,-10510173,26293797,36249223,-22341679,-33521934
16,EBITDA ratio,-214.5000,-6.8571,-80.0000,-17.5000,-1.5470,-5.9484,-54.6431,-15.9298,-11.1814,-0.7720,-1.4361,-1.8798,-1.2438,-0.4539,-0.1064,-8.3395,-235.4543,-2171.1347,-Infinity,-1.3448,-Infinity,-0.2350,0.3917,0.6011,-189.3539,177.7437
17,Operating Income,-2810000,-5200000,-10000000,-12100000,-8559781,-11345748,-16839814,-21035818,-26757690,-15412026,-30450236,-29801164,-16632770,-7301836,-3014386,-13653386,-18785381,-15585160,-15787652,-17286157,-49250135,-10569494,25926565,35744320,-23606780,-33384101
18,Operating Income ratio,-140.5000,-7.4286,-100.0000,-20.1667,-1.6728,-6.3452,-59.8525,-16.5634,-11.5576,-0.8583,-1.5419,-2.0687,-1.4484,-0.6432,-0.2126,-9.2537,-254.7654,-1504.2139,-Infinity,-1.3347,-Infinity,-0.2363,0.3862,0.5928,-200.0761,177.0129
19,Total Other Income Expenses (Gains),-1090000,300000,400000,- -,500000,782470,308827,225514,198995,473775,825079,1271332,956957,758128,223470,200066,463970,-7030222,12712,-910914,-2462801,-2262039,-1141351,28707,1180757,-212394
20,Income Before Tax,-3900000,- -,- -,- -,- -,-10563278,-16530987,-20810304,-26558695,-14938251,-29625157,-28529832,-15675813,-6543708,-2790916,-13453320,-18321411,-22615382,-15774940,-18197071,-51712936,-12831533,24785214,35773027,-22426023,-33596495
21,Income Before Tax Ratio,-195.0000,- -,- -,- -,- -,-5.9076,-58.7549,-16.3859,-11.4717,-0.8319,-1.5001,-1.9805,-1.3651,-0.5764,-0.1968,-9.1181,-248.4731,-2182.7412,-Infinity,-1.4050,-Infinity,-0.2869,0.3692,0.5932,-190.0688,178.1391
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-325152,-392410,-245093,-240836,-580275,-666275,-778308,-1291444,-1741476,-998408,-637391,-1068233,-1753208,-1846646,-531508,- -,500000,82500,- -,- -,- -
23,Net Income,-3900000,-5300000,-9900000,-12000000,-8183438,-10599237,-16138577,-20565211,-26317859,-14357976,-28958882,-27751524,-14384369,-4802232,-1792508,-12815929,-17253178,-20862174,-13928294,-17665563,-51712936,-13331533,24702714,35773027,-22426023,-33596495
24,Net Income ratio,-195.0000,-7.5714,-99.0000,-20.0000,-1.5992,-5.9277,-57.3602,-16.1929,-11.3676,-0.7996,-1.4664,-1.9264,-1.2526,-0.4230,-0.1264,-8.6861,-233.9858,-2013.5290,-Infinity,-1.3640,-Infinity,-0.2981,0.3680,0.5932,-190.0688,178.1391
25,EPS,-65.00,-28.00,-31.50,-20.20,-11.00,-10.50,-11.60,-7.30,-5.50,-2.70,-4.80,-3.60,-1.70,-0.60,-0.18,-0.64,-0.49,-0.21,-0.13,-0.15,-0.33,-0.07,0.12,0.17,-0.10,-0.14
26,EPS Diluted,-65.00,-28.00,-31.50,-20.20,-11.00,-10.50,-11.60,-7.30,-5.50,-2.70,-4.80,-3.60,-1.70,-0.60,-0.18,-0.64,-0.49,-0.21,-0.13,-0.15,-0.33,-0.07,0.12,0.16,-0.10,-0.14
27,Weighted Average Shares Outstanding,60000,292407,321068,593649,744108,1013119,1419546,2836212,4768767,5386118,6035661,7620416,8522057,8637030,9861215,20084022,34900591,97618714,106679476,121014506,156553534,184087719,198101060,207670607,234684776,236650101
28,Weighted Average Shares Outstanding Diluted,60000,292407,321068,593649,744108,1013119,1419546,2836212,4768767,5386118,6035661,7620416,8522057,8637030,9861215,20084022,34900591,97618714,106679476,121014506,156553534,184087719,207007558,217133374,234684776,236650101
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/911216/000108802006000058/0001088020-06-000058-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000108802007000042/0001088020-07-000042-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000108802008000050/0001088020-08-000050-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000108802009000050/0001088020-09-000050-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000108802010000043/0001088020-10-000043-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000108802011000069/0001088020-11-000069-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000138713112002955/0001387131-12-002955-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000135448813005466/0001354488-13-005466-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000135448814004608/0001354488-14-004608-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000135448815004334/0001354488-15-004334-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000165495416002272/0001654954-16-002272-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000165495417008792/0001654954-17-008792-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000165495418010150/0001654954-18-010150-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000165495419010679/0001654954-19-010679-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000165495420010471/0001654954-20-010471-index.htm,https://www.sec.gov/Archives/edgar/data/911216/000165495421010495/0001654954-21-010495-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6791300,12800000,4500000,2300000,3219593,11456424,7944264,14294603,17947076,15720364,28333211,31447615,9421770,4378662,5405430,18869639,3827198,19167632,12184605,27299268,8002668,40200324,38000171,43510422,82852270,60104919
32,Short-Term Investments,- -,- -,- -,500000,2155617,- -,- -,4088384,2465350,2385570,2330834,2323642,3352771,3439650,3462189,- -,- -,5249654,- -,- -,1380556,249837,- -,- -,- -,- -
33,Cash and Short-Term Investments,6791300,12800000,4500000,2800000,5375210,11456424,7944264,18382987,20412426,18105934,30664045,33771257,12774541,7818312,8867619,18869639,3827198,24417286,12184605,27299268,9383224,40450161,38000171,43510422,82852270,60104919
34,Net Receivables,4574,100000,- -,- -,953163,- -,- -,- -,- -,5441425,69591,607841,5747,508528,2879,131149,27631,- -,- -,- -,- -,15116822,- -,60265970,- -,1580443
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1382160,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1162000
36,Other Current Assets,66430,200000,400000,100000,179792,204731,349883,447510,428917,1889269,1453650,1008464,484362,492824,393313,261947,882010,332267,156393,1896747,1424282,1011221,513688,637289,738216,3059679
37,Total Current Assets,6862304,13100000,4900000,2900000,6508165,11661155,8294147,18830497,20841343,26818788,32187286,35387562,13264650,8819664,9263811,19262735,4736839,24749553,12340998,29196015,10807506,56578204,38513859,104413681,83590486,65907041
38,PP&E,96354,900000,1600000,1500000,1573140,1924962,2416499,3399181,2934739,6464324,6347705,6070226,5128076,3650783,2388365,1305331,318653,266415,160748,123158,97801,198153,164035,141539,1406348,1332630
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
