,https://roic.ai/company/SBSW,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,13905294704,18565388400,17133166676,21013261555,21780500000,22717400000,31240700000,45911600000,50656400000,72925400000,127392400000
2,COGS,11662827618,13918796840,14124775199,17109471940,17996600000,20417600000,25297600000,42580900000,48341600000,63745500000,85327200000
3,Gross Profit,2242467086,4646591560,3008391477,3903789615,3783900000,2299800000,5943100000,3330700000,2314800000,9179900000,42065200000
4,Gross Profit Ratio,0.1613,0.2503,0.1756,0.1858,0.1737,0.1012,0.1902,0.0725,0.0457,0.1259,0.3302
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,123770038,55671960,73747551,61567385,419100000,275800000,496200000,1338800000,314800000,323700000,1072500000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",123770038,55671960,73747551,61567385,419100000,275800000,496200000,1338800000,314800000,323700000,1072500000
9,Other Expenses,80719590,111343920,121217239,146092100,176600000,221500000,- -,403500000,1014100000,707100000,1669700000
10,Operating Expenses,204489628,167015880,194964790,207659485,595700000,497300000,496200000,1742300000,1328900000,1030800000,2742200000
11,COGS and Expenses,11867317246,14085812720,14319739989,17317131425,18592300000,20914900000,25793800000,44323200000,49670500000,64776300000,88069400000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),209102176,16136800,122912585,354795100,231000000,350200000,903100000,2491900000,2471500000,2384500000,2253000000
14,Depreciation and Amortization,2138684756,2613354760,2577773593,3595952690,3254700000,3636600000,4041900000,- -,6613800000,7214100000,7592400000
15,EBITDA,4059810998,6730659280,5198778509,6725454175,5865300000,5080900000,9889800000,-4892100000,7669500000,7927700000,44015500000
16,EBITDA ratio,0.2920,0.3625,0.3034,0.3201,0.2693,0.2237,0.3166,-0.1066,0.1514,0.1087,0.3455
17,Operating Income,2037977458,4479575680,2813426687,3696130130,3188200000,1802500000,5446900000,1588400000,985900000,8149100000,39323000000
18,Operating Income ratio,0.1466,0.2413,0.1642,0.1759,0.1464,0.0793,0.1744,0.0346,0.0195,0.1117,0.3087
19,Total Other Income Expenses (Gains),-176045582,-417943120,-411121405,-971512465,-853200000,-887100000,-932700000,-8968100000,-2422800000,-9449300000,-3843200000
20,Income Before Tax,1861931876,4061632560,2402305282,2724617665,2335000000,915400000,4514200000,-7379700000,-1436900000,-1300200000,35479800000
21,Income Before Tax Ratio,0.1339,0.2188,0.1402,0.1297,0.1072,0.0403,0.1445,-0.1607,-0.0284,-0.0178,0.2785
22,Income Tax expense (Gain),648062994,1351457000,-572179275,417406000,828100000,377200000,1243200000,-2946600000,1083800000,-1733000000,4858200000
23,Net Income,1063961072,2749710720,3070271606,2357300385,1551500000,716900000,3701600000,-4437400000,-2499600000,62100000,29311900000
24,Net Income ratio,0.0765,0.1481,0.1792,0.1122,0.0712,0.0316,0.1185,-0.0967,-0.0493,0.0009,0.2301
25,EPS,3.62,9.36,10.45,13.77,7.01,2.98,15.16,-8.81,-4.40,0.08,42.96
26,EPS Diluted,3.62,9.36,10.45,13.38,6.86,2.94,15.12,-8.81,-4.40,0.08,42.20
27,Weighted Average Shares Outstanding,293874757,293874757,293874757,172544752,221690227,241872478,244443592,502801000,565964250,626895750,682222750
28,Weighted Average Shares Outstanding Diluted,293874757,293874757,293874757,176169215,226673600,243376427,245016689,502801000,573940500,644738750,694488000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,359850640,288208820,1092560205,562900000,717400000,967900000,2062400000,2549100000,5619000000,20239800000
32,Short-Term Investments,- -,- -,- -,- -,57100000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,359850640,288208820,1092560205,620000000,717400000,967900000,2062400000,2549100000,5619000000,20239800000
34,Net Receivables,- -,1068256160,1018902946,918293200,923900000,1503700000,5760400000,6170600000,7054500000,4598400000,6681600000
35,Inventory,- -,250120400,345002911,188876215,327700000,405900000,676800000,3526500000,5294800000,15503400000,24952400000
36,Other Current Assets,- -,149265400,188183406,816028730,68900000,123700000,298100000,245000000,296900000,442900000,368800000
37,Total Current Assets,- -,1827492600,1840298083,3015758350,1940500000,2750700000,7703200000,12004500000,15195300000,26163700000,52242600000
38,PP&E,- -,16864569680,17523096256,17397482080,22704000000,22132400000,27240700000,51444600000,54536400000,57841100000,60895600000
39,Goodwill,- -,- -,- -,- -,736700000,736700000,936000000,6396000000,6889600000,6854900000,7165200000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,736700000,736700000,936000000,6396000000,6889600000,6854900000,7165200000
42,Investments,- -,1329672320,1510553286,1852239125,2489100000,2582700000,5257900000,5736500000,7888600000,9239700000,11402000000
43,Tax Assets,- -,- -,- -,- -,51600000,63200000,228200000,206200000,76900000,288900000,1576400000
44,Other Non-Current Assets,- -,- -,- -,241051965,- -,- -,355300000,284000000,336200000,683500000,821300000
45,Total Non-Current Assets,- -,18194242000,19033649542,19490773170,25981400000,25515000000,34018100000,64067300000,69727700000,74908100000,81860500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,20021734600,20873947625,22506531520,27921900000,28265700000,41721300000,76071800000,84923000000,101071800000,134103100000
48,Accounts Payable,- -,533321240,442485306,542627800,542600000,508700000,1121300000,1728100000,2200000000,3208000000,4325100000
49,Short-Term Debt,- -,- -,- -,504017745,554200000,1995300000,752300000,1657500000,6188200000,148300000,989200000
50,Tax Payable,- -,728576520,95787049,774288130,84000000,129600000,68600000,34900000,88000000,585500000,963400000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,30100000,1270600000,66900000
