,https://roic.ai/company/STLY,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,164600000,141400000,153100000,144200000,166500000,167100000,184300000,174200000,201900000,211900000,247400000,264700000,283100000,234300000,239500000,260600000,305800000,333600000,307500000,282800000,226522000,160500000,137000000,104600000,98600000,96900000,60623000,57364000,44574000,45178000,- -,- -,- -,2435000
2,COGS,129500000,110500000,119700000,121000000,133000000,135000000,148500000,137600000,153300000,159500000,186900000,196600000,214500000,181400000,180900000,198800000,230200000,251900000,242700000,235900000,193929000,155000000,153100000,92200000,85900000,87200000,48610000,43679000,36160000,40342000,- -,- -,- -,326000
3,Gross Profit,35100000,30900000,33400000,23200000,33500000,32100000,35800000,36600000,48600000,52400000,60500000,68100000,68600000,52900000,58600000,61800000,75600000,81700000,64800000,46900000,32593000,5500000,-16100000,12400000,12700000,9700000,12013000,13685000,8414000,4836000,- -,- -,- -,2109000
4,Gross Profit Ratio,0.2132,0.2185,0.2182,0.1609,0.2012,0.1921,0.1942,0.2101,0.2407,0.2473,0.2445,0.2573,0.2423,0.2258,0.2447,0.2371,0.2472,0.2449,0.2107,0.1658,0.1439,0.0343,-0.1175,0.1185,0.1288,0.1001,0.1982,0.2386,0.1888,0.1070,- -,- -,- -,0.8661
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,25000000,21200000,24000000,22900000,25100000,26000000,26500000,26500000,30400000,29900000,32500000,33800000,33700000,30500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1005000,1133000,1304000,3309000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",25000000,21200000,24000000,22900000,25100000,26000000,26500000,26500000,30400000,29900000,32500000,33800000,33700000,30500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1005000,1133000,1304000,3309000
9,Other Expenses,100000,-0,-0,14100000,-2100000,4800000,4400000,4900000,5200000,5400000,5800000,6300000,8097000,2782000,29123000,35637000,40953000,44267000,42139000,46178000,36441000,30373000,20625000,19250000,18281000,19966000,14882000,12661000,13982000,13042000,- -,- -,- -,- -
10,Operating Expenses,25100000,21200000,24000000,37000000,23000000,30800000,30900000,31400000,35600000,35300000,38300000,40100000,41797000,33282000,29123000,35637000,40953000,44267000,42139000,46178000,36441000,30373000,20625000,19250000,18281000,19966000,14882000,12661000,13982000,13042000,1005000,1133000,1304000,3309000
11,COGS and Expenses,154600000,131700000,143700000,158000000,156000000,155900000,172600000,163900000,183700000,189400000,219400000,230400000,248200000,217700000,217100000,234400000,271100000,296200000,284800000,282100000,230370000,185400000,182800000,111400000,104600000,107100000,63492000,56340000,50142000,823000,725000,800000,1304000,3635000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358000,383000,556000,591000,45000,3000,25000,82000,60000,- -,- -,- -,- -,1068000,1039000,608000,15000
13,Interest Expense (Gain),-5500000,-10300000,-10200000,-8600000,-7100000,3000000,2900000,3900000,3300000,- -,4200000,- -,4003000,4007000,3090000,2748000,2343000,2183000,2093000,3235000,3802000,3748000,3537000,2355000,2402000,2729000,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,4800000,4400000,4900000,5200000,5400000,5800000,6300000,8141000,6465000,5938000,5783000,5622000,5670000,5837000,9054000,8853000,5994000,9405000,1643000,1767000,2236000,532000,470000,470000,461000,1000,2000,3000,30
15,EBITDA,-2500000,-11900000,-12200000,-33700000,-5900000,16800000,13000000,15100000,23000000,24100000,33400000,36700000,43144000,23072000,28528000,32231000,40465000,43753000,33730000,20989000,17389000,-9458000,-34858000,-1001000,35169000,-7835000,-29399000,5886000,-4070000,-7033000,-724000,-798000,-1301000,2862030
16,EBITDA ratio,-0.0152,-0.0842,-0.0797,-0.2337,-0.0354,0.1005,0.0705,0.0867,0.1139,0.1137,0.1350,0.1386,0.1524,0.0985,0.1191,0.1237,0.1323,0.1312,0.1097,0.0742,0.0768,-0.0589,-0.2544,-0.0096,0.3567,-0.0809,-0.4849,0.1026,-0.0913,-0.1557,-Infinity,-Infinity,-Infinity,1.1754
17,Operating Income,10000000,9700000,9300000,-13800000,10500000,6200000,9400000,10100000,18200000,22500000,28000000,34300000,34937000,16661000,22361000,26216000,34688000,37442000,22729000,732000,-3848000,-24910000,-45800000,-6779000,-6079000,-10192000,-2869000,1024000,-5568000,-8206000,-725000,-800000,-1304000,-1200000
18,Operating Income ratio,0.0608,0.0686,0.0607,-0.0957,0.0631,0.0371,0.0510,0.0580,0.0901,0.1062,0.1132,0.1296,0.1234,0.0711,0.0934,0.1006,0.1134,0.1122,0.0739,0.0026,-0.0170,-0.1552,-0.3343,-0.0648,-0.0617,-0.1052,-0.0473,0.0179,-0.1249,-0.1816,-Infinity,-Infinity,-Infinity,-0.4928
19,Total Other Income Expenses (Gains),-7000000,-11300000,-11300000,-9800000,-7800000,2800000,-1000000,-3800000,-4000000,-3800000,-4600000,-3900000,-3937000,-4061000,-2861000,-2516000,-2188000,-1542000,2971000,7968000,8582000,5810000,-2000000,1779000,37079000,-2608000,-5058000,4403000,1028000,7816000,1094000,886000,1367000,3858000
20,Income Before Tax,3000000,-1600000,-2000000,-23600000,2700000,9000000,8400000,6300000,14200000,18700000,23400000,30400000,31000000,12600000,19500000,23700000,32500000,35900000,25700000,8700000,4734000,-19100000,-47800000,-5000000,31000000,-12800000,-7927000,5427000,-4540000,-390000,369000,86000,63000,2658000
21,Income Before Tax Ratio,0.0182,-0.0113,-0.0131,-0.1637,0.0162,0.0539,0.0456,0.0362,0.0703,0.0882,0.0946,0.1148,0.1095,0.0538,0.0814,0.0909,0.1063,0.1076,0.0836,0.0308,0.0209,-0.1190,-0.3489,-0.0478,0.3144,-0.1321,-0.1308,0.0946,-0.1019,-0.0086,Infinity,Infinity,Infinity,1.0916
22,Income Tax expense (Gain),1700000,-600000,-1000000,-9100000,1100000,3700000,3300000,2400000,5500000,7100000,8900000,11200000,11500000,4300000,6900000,8500000,11700000,12700000,9000000,2800000,998000,-7400000,-4000000,1000,600000,-200000,-39000,76000,718000,-35000,-1202000,-84000,- -,102000
23,Net Income,1300000,-1000000,-1000000,-16000000,100000,5300000,2400000,3900000,9000000,11600000,14500000,19200000,19500000,8300000,12600000,15200000,20800000,23200000,16800000,5900000,3736000,-11800000,-43800000,-5000000,30400000,-12600000,-29892000,5340000,-5258000,-7459000,-1440000,170000,63000,2760000
24,Net Income ratio,0.0079,-0.0071,-0.0065,-0.1110,0.0006,0.0317,0.0130,0.0224,0.0446,0.0547,0.0586,0.0725,0.0689,0.0354,0.0526,0.0583,0.0680,0.0695,0.0546,0.0209,0.0165,-0.0735,-0.3197,-0.0478,0.3083,-0.1300,-0.4931,0.0931,-0.1180,-0.1651,-Infinity,Infinity,Infinity,1.1335
25,EPS,0.09,-0.07,-0.07,-1.16,0.01,1.02,1.45,2.38,5.29,8.02,12.03,15.70,16.04,7.32,11.04,13.95,19.24,21.16,16.74,6.51,4.19,-13.22,-49.32,-4.20,25.03,-10.44,-24.27,4.30,-4.28,-6.48,-1.20,0.12,0.03,0.19
