,https://roic.ai/company/STNE,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,423202000,741345000,1529603000,2389601000,3179136000,4576468000
2,COGS,133187000,224109000,323039000,426961000,769946000,1713828000
3,Gross Profit,290015000,517236000,1206564000,1962640000,2409190000,2862640000
4,Gross Profit Ratio,0.6853,0.6977,0.7888,0.8213,0.7578,0.6255
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,106107000,174601000,252852000,285788000,392476000,813341000
7,Selling and Marketing Exp.,49524000,92018000,190177000,360612000,505902000,1012544000
8,"Selling, General and Administrative Exp.",155631000,266619000,443029000,646400000,898378000,1825885000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,155631000,266619000,443029000,646400000,898378000,1825885000
11,COGS and Expenses,288818000,490728000,766068000,1073361000,1668324000,3539713000
12,Interest Income ,16718000,25273000,49578000,186367000,140687000,247293000
13,Interest Expense (Gain),244676000,237094000,301065000,353451000,339844000,1269058000
14,Depreciation and Amortization,42957000,57208000,92333000,163396000,256294000,507369000
15,EBITDA,140776000,194875000,831742000,1606539000,1740425000,349408000
16,EBITDA ratio,0.3326,0.2629,0.5438,0.6723,0.5475,0.0763
17,Operating Income,134384000,250617000,763535000,1316240000,1510812000,1036755000
18,Operating Income ratio,0.3175,0.3381,0.4992,0.5508,0.4752,0.2265
19,Total Other Income Expenses (Gains),-283605000,-346282000,-321196000,-225585000,-383150000,-2482309000
20,Income Before Tax,-149221000,-95665000,442339000,1090655000,1127662000,-1445554000
21,Income Before Tax Ratio,-0.3526,-0.1290,0.2892,0.4564,0.3547,-0.3159
22,Income Tax expense (Gain),-27030000,9304000,137112000,286460000,290216000,-68206000
23,Net Income,-119827000,-108731000,301232000,803232000,854071000,-1358813000
24,Net Income ratio,-0.2831,-0.1467,0.1969,0.3361,0.2686,-0.2969
25,EPS,-0.42,-0.39,1.10,2.90,2.95,-4.40
26,EPS Diluted,-0.42,-0.39,1.10,2.90,2.91,-4.40
27,Weighted Average Shares Outstanding,277073129,277073129,277179999,277359966,289289033,308905398
28,Weighted Average Shares Outstanding Diluted,277073129,277073129,277179999,277359966,293737538,308905398
29,SEC Link,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,170646000,641952000,297929000,968342000,2446990000,4495645000
32,Short-Term Investments,66345000,201762000,2770589000,2937029000,8128058000,4339511000
33,Cash and Short-Term Investments,236991000,843714000,3068518000,3905371000,10575048000,8835156000
34,Net Receivables,3077796000,5145419000,9353002000,14366657000,17779370000,20403274000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4273000,10391000,16261000,132870000,920406000,721743000
37,Total Current Assets,3319060000,5999524000,12437781000,18404898000,29274824000,29960173000
38,PP&E,93422000,189631000,266273000,548607000,717234000,1569520000
39,Goodwill,118706000,118706000,143194000,143194000,654044000,5715843000
40,Intangible Assets,121022000,115382000,164463000,230505000,385842000,2654470000
41,Intangible Assets,239728000,234088000,307657000,373699000,1039886000,8370313000
42,Investments,1693000,1743000,2237000,28242000,51982000,1304930000
43,Tax Assets,182994000,198234000,262668000,192781000,138697000,431755000
44,Other Non-Current Assets,2345000,12524000,16602000,57522000,526041000,420100000
45,Total Non-Current Assets,520182000,636220000,855437000,1200851000,2473840000,12096618000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,3839242000,6635744000,13293218000,19605749000,31748664000,42056791000
48,Accounts Payable,38209000,53238000,117836000,97825000,180491000,372547000
49,Short-Term Debt,22802000,22534000,777702000,5038705000,3144858000,3873561000
50,Tax Payable,7051000,35905000,51569000,44940000,106835000,176453000
51,Deferred Revenue,- -,- -,- -,- -,- -,2201861000
52,Other Current Liabilities,3060896000,3747791000,5159237000,6735997000,10055032000,16341876000
53,Total Current Liabilities,3121907000,3823563000,6054775000,11872527000,13380381000,22789845000
54,Long-Term Debt,18025000,2059363000,2059320000,1707483000,2938792000,4488828000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,33406000,52268000,80223000,10687000,61086000,617445000
57,Other Non-Current Liabilities,78662000,217973000,5909000,42047000,376380000,566227000
58,Total Non-Current Liabilities,130093000,2329604000,2145452000,1760217000,3376258000,5672500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,174861000,273455000
61,Total Liabilities,3252000000,6153167000,8200227000,13632744000,16756639000,28462345000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,41000,46000,62000,62000,75000,76000
64,Retained Earnings,-394287000,-503018000,-202276000,600956000,1455027000,96214000
65,Other Comprehensive Income/Loss,923370000,970344000,5295539000,5371451000,13474720000,14480975000
66,Other Total Stockholders Equity,- -,- -,- -,-90000,-76360000,-1065184000
67,Total Stockholders Equity,529124000,467372000,5093325000,5972379000,14853462000,13512081000
68,Total Liabilities And Stockholders Equity,3781124000,6620539000,13293552000,19605123000,31610101000,41974426000
69,Minority Interest,58118000,15205000,-334000,626000,138563000,82365000
70,Total Liabilities & Equity,3839242000,6635744000,13293218000,19605749000,31748664000,42056791000
71,SEC Link,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-119827000,-108731000,301232000,803232000,854071000,-1358813000
74,Depreciation and Amortization,42957000,57208000,92333000,163396000,256294000,507369000
75,Deferred Income Tax,-27292000,3622000,-17770000,69232000,73330000,-239827000
76,Stock Based Compensation,53059000,138937000,46091000,30787000,31508000,133154000
77,Change in Working Capital,-469125000,-1552693000,-3262624000,-4610755000,-1771933000,1270566000
78,Accounts Receivable,-1465285000,-1781400000,-4023264000,-5065581000,-3444301000,-2749230000
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,993034000,210251000,621042000,245866000,1379099000,4317117000
81,Other Working Capital,-10000,-51000,-22000,-1098000,-2193000,-47553000
82,Other Non-Cash Items,26824000,177706000,425155000,892327000,613214000,3294453000
83,Cash Provided by Operating Activities,-493404000,-1283951000,-2415583000,-2651781000,56484000,3606902000
84,CAPEX,-43102000,-162265000,-185725000,-399949000,-455103000,-1298671000
85,Acquisitions Net,- -,- -,- -,- -,- -,-4778905000
86,Purchases of Investments,216661000,-145517000,-2557312000,-21930000,-5069142000,-2480003000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,5580282000
88,Other Investing Activites,4874000,-13175000,-38906000,-82066000,-367691000,-215581000
89,Cash Used for Investing Activites,189914000,-299674000,-2737105000,-437564000,-5808971000,-2977197000
90,Debt Repayment,-105824000,-24638000,-17961000,-839872000,-7482003000,-10103388000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-280825000,-142440000,-90000,-76361000,-988824000
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,483810000,2358888000,4955289000,4597911000,14774530000,12511649000
95,Cash Used/Provided by Financing Activities,377986000,2053425000,4794888000,3757949000,7216166000,1419437000
96,Effect of Forex Changes on Cash,12609000,1506000,13777000,1809000,14969000,-487000
97,Net Change In Cash,87107000,471306000,-344023000,670413000,1478648000,2048655000
98,Cash at the End of Period,170646000,641952000,297929000,968342000,2446990000,4495645000
99,Cash at the Beginning of Period,83539000,170646000,641952000,297929000,968342000,2446990000
