,https://roic.ai/company/TACO,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,370988000,- -,424002000,- -,452083000,471456000,512951000,491883000,527355000
2,COGS,293558000,- -,116710000,- -,120116000,125391000,396645000,120845000,- -
3,Gross Profit,77430000,- -,307292000,- -,331967000,346065000,116306000,371038000,- -
4,Gross Profit Ratio,0.2087,- -,0.7247,- -,0.7343,0.7340,0.2267,0.7543,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,23112000,861678,244612000,- -,264791000,280190000,43877000,43996000,51670000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,14516000,- -,- -
8,"Selling, General and Administrative Exp.",23112000,861678,244612000,- -,264791000,280190000,58393000,43996000,51670000
9,Other Expenses,20446000,716218,21956000,- -,23876000,24628000,27138000,534876000,463637000
10,Operating Expenses,43558000,1577896,266568000,- -,288667000,304818000,85531000,578872000,515307000
11,COGS and Expenses,337116000,1577896,383278000,- -,408783000,430209000,482176000,699717000,- -
12,Interest Income ,- -,62000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),35613000,- -,-15143000,- -,6327000,7200000,7235000,4811000,2893000
14,Depreciation and Amortization,19850000,- -,19525000,- -,22522000,22553000,47169000,48634000,- -
15,EBITDA,49004000,-1577896,9991000,- -,65091000,92911000,-59510000,-38355000,11099000
16,EBITDA ratio,0.1321,-Infinity,0.0236,- -,0.1440,0.1971,-0.1160,-0.0780,0.0210
17,Operating Income,33365000,-1397896,40724000,- -,43300000,41247000,-107043000,-86989000,12048000
18,Operating Income ratio,0.0899,-Infinity,0.0960,- -,0.0958,0.0875,-0.2087,-0.1768,0.0228
19,Total Other Income Expenses (Gains),-39824000,-118000,-35115000,- -,-7058000,-7200000,-6871000,-4811000,-3842000
20,Income Before Tax,-6459000,-1515896,5609000,- -,36242000,34047000,-113914000,-91800000,8206000
21,Income Before Tax Ratio,-0.0174,-Infinity,0.0132,- -,0.0802,0.0722,-0.2221,-0.1866,0.0156
22,Income Tax expense (Gain),80000,8973,852000,- -,15329000,13287000,4371000,-2062000,2485000
23,Net Income,-6539000,-1524869,4757000,- -,20913000,49871000,-118285000,-89738000,5721000
24,Net Income ratio,-0.0176,-Infinity,0.0112,- -,0.0463,0.1058,-0.2306,-0.1824,0.0108
25,EPS,-1.67,-0.32,0.87,- -,0.54,1.29,-3.20,-2.41,0.16
26,EPS Diluted,-1.67,-0.32,0.85,- -,0.53,1.25,-3.20,-2.41,0.16
27,Weighted Average Shares Outstanding,18750000,4752646,5492417,- -,38725541,38689508,37018445,37161921,36455883
28,Weighted Average Shares Outstanding Diluted,18750000,4752646,5610859,- -,39274649,39949907,37018445,37161921,36786635
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1585583/000114420414019351/0001144204-14-019351-index.htm,https://www.sec.gov/Archives/edgar/data/1585583/000114420415014106/0001144204-15-014106-index.htm,https://www.sec.gov/Archives/edgar/data/1585583/000158558316000016/0001585583-16-000016-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1585583/000158558317000010/0001585583-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1585583/000158558318000007/0001585583-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1585583/000158558320000014/0001585583-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1585583/000158558321000009/0001585583-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1585583/000158558322000009/0001585583-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,1078466,230467,10194000,- -,8795000,6559000,1421000,7912000,5078000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1078466,230467,10194000,- -,8795000,6559000,1421000,7912000,5078000
34,Net Receivables,- -,545,3220000,- -,4141000,3828000,3580000,5463000,4430000
35,Inventory,- -,- -,2806000,- -,2718000,2712000,3123000,2799000,3091000
36,Other Current Assets,109393,59200,3545000,- -,4204000,6784000,10700000,3573000,2965000
37,Total Current Assets,1187859,290212,19765000,- -,19858000,19883000,18824000,19747000,15564000
38,PP&E,- -,- -,114030000,- -,138320000,156124000,415199000,395777000,379298000
39,Goodwill,- -,- -,318275000,- -,320025000,320638000,192739000,108979000,108979000
40,Intangible Assets,- -,- -,248673000,- -,245082000,241798000,231127000,218154000,8508000
41,Intangible Assets,- -,- -,566948000,- -,565107000,562436000,423866000,327133000,117487000
42,Investments,150035663,150056895,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,79523000,- -,91273000,68574000,- -,- -,59726000
44,Other Non-Current Assets,59199,- -,-76694000,- -,-87401000,-64693000,4568000,4652000,155781000
45,Total Non-Current Assets,150094862,150056895,683807000,- -,707299000,722441000,843633000,727562000,712292000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,151282721,150347107,703572000,- -,727157000,742324000,862457000,747309000,727856000
48,Accounts Payable,45697,500759,16831000,- -,16427000,18759000,19652000,18683000,- -
49,Short-Term Debt,- -,- -,1725000,- -,1588000,1415000,18068000,22648000,24363000
50,Tax Payable,25448,159641,4982000,- -,5190000,5318000,5751000,9854000,- -
51,Deferred Revenue,- -,- -,1900000,- -,1400000,1300000,- -,1669000,- -
52,Other Current Liabilities,5275448,5409641,30997000,- -,35253000,33957000,34577000,43744000,71084000
53,Total Current Liabilities,5321145,5910400,51453000,- -,54668000,55431000,72297000,86744000,95447000
54,Long-Term Debt,- -,- -,167968000,- -,173743000,170639000,144581000,367941000,346125000
55,Deferred Revenue,- -,- -,731000,- -,1676000,2972000,1474000,1464000,59726000
56,Deferred Tax Liabilities,- -,- -,79523000,- -,91273000,68574000,69510000,64866000,59726000
57,Other Non-Current Liabilities,140961566,139436697,35520000,- -,28464000,28459000,272488000,13540000,-42888000
58,Total Non-Current Liabilities,- -,- -,283742000,- -,295156000,270644000,488053000,447811000,422689000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,21410000,- -,18660000,15884000,276652000,276782000,- -
61,Total Liabilities,5321145,5910400,335195000,- -,349824000,326075000,560350000,534555000,518136000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,140962031,139437177,4000,- -,4000,4000,4000,4000,4000
64,Retained Earnings,- -,-1644260,-3887000,- -,17026000,66897000,-31224000,-120962000,-115241000
65,Other Comprehensive Income/Loss,- -,- -,-10093000,- -,172000,14000,-52000,- -,- -
66,Other Total Stockholders Equity,4999545,6643790,382353000,- -,360131000,349334000,333379000,333712000,324957000
67,Total Stockholders Equity,145961576,144436707,368377000,- -,377333000,416249000,302107000,212754000,209720000
68,Total Liabilities And Stockholders Equity,151282721,150347107,703572000,- -,727157000,742324000,862457000,747309000,727856000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,151282721,150347107,703572000,- -,727157000,742324000,862457000,747309000,727856000
