,https://roic.ai/company/TGTX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,100000,100000,3000000,1200000,5358946,2711922,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,19048,152381,152381,152381,152381,152381,152000,152000,152000,6689000
2,COGS,- -,-100000,-200000,800000,4059335,2082568,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,790000
3,Gross Profit,- -,200000,3200000,400000,1299611,629354,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152,5899000
4,Gross Profit Ratio,- -,2.0000,1.0667,0.3333,0.2425,0.2321,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0010,0.8819
5,Research and Development Exp.,1100000,2600000,3000000,1100000,1130345,886716,539752,1724043,4152994,17065884,6172845,8535687,1802792,40376,495793,327283,20572182,12621161,31354781,43445817,66489820,96886134,153793000,154180000,151934000,198532000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5237265,7699609,24518692,19886580,12631689,21977998,20759000,15027000,121812000,152137000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2800000,2800000,2700000,1900000,3255663,2850018,1513163,1786080,1989829,2291121,3827482,3608270,2609910,1731182,1520942,554691,4781456,6658090,15787126,15625174,9889335,16331282,15161000,15027000,107850000,- -
9,Other Expenses,- -,100000,200000,100000,76095,- -,- -,1248230,- -,- -,- -,- -,- -,- -,- -,- -,455809,1041519,8731566,4261406,2742354,5646716,5598000,- -,13962000,2307000
10,Operating Expenses,3900000,5500000,5900000,3100000,4462103,3736734,2052915,4758353,6142823,19357005,10000327,12143957,4412702,1771558,2016735,881974,25809447,20320770,55873473,63332397,79121509,118864132,174552000,169207000,273746000,- -
11,COGS and Expenses,3900000,5400000,5700000,3900000,8521438,5819302,2052915,4758353,6142823,19357005,10000327,12143957,4412702,1771558,2016735,881974,25809447,20320770,55873473,63332397,79121509,118864132,174552000,169207000,273746000,351459000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,458634,586697,548445,- -,15787,30822,55049,174653,323032,294478,857000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64790,548359,1271048,7097,905744,952888,930701,972736,- -,- -,- -,5287000,6329000,- -
14,Depreciation and Amortization,- -,100000,200000,100000,76095,66226,49500,189246,128144,53734,60186,48345,26106,5531,3401,- -,235,1127,3931,15452,62960,82355,88000,100000,158000,282000
