,https://roic.ai/company/VIVO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4900000,6300000,5200000,5600000,6200000,8500000,11100000,14000000,16200000,21900000,25100000,29400000,35200000,33200000,54400000,57096000,56527000,59104000,65864000,79606000,92965000,108413000,122963000,139639000,148274000,143000000,159723000,173542000,188686000,188832000,194830000,196082000,200771000,213571000,201014000,253667000,317896000
2,COGS,800000,1400000,1600000,1800000,2100000,3100000,3600000,4000000,4000000,5800000,6000000,6800000,9300000,7700000,13800000,16839000,25821000,24506000,27576000,33931000,38145000,43742000,48023000,53159000,55491000,54525000,60425000,63664000,67642000,71589000,72948000,68295000,75938000,83110000,82689000,97419000,116748000
3,Gross Profit,4100000,4900000,3600000,3800000,4100000,5400000,7500000,10000000,12200000,16100000,19100000,22600000,25900000,25500000,40600000,40257000,30706000,34598000,38288000,45675000,54820000,64671000,74940000,86480000,92783000,88475000,99298000,109878000,121044000,117243000,121882000,127787000,124833000,130461000,118325000,156248000,201148000
4,Gross Profit Ratio,0.8367,0.7778,0.6923,0.6786,0.6613,0.6353,0.6757,0.7143,0.7531,0.7352,0.7610,0.7687,0.7358,0.7681,0.7463,0.7051,0.5432,0.5854,0.5813,0.5738,0.5897,0.5965,0.6095,0.6193,0.6258,0.6187,0.6217,0.6331,0.6415,0.6209,0.6256,0.6517,0.6218,0.6109,0.5886,0.6160,0.6327
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,1400000,1500000,1500000,2000000,2000000,2260000,3363000,2888000,3875000,4357000,3821000,4799000,6085000,6183000,8428000,8570000,9822000,10275000,10787000,12552000,12605000,13815000,15680000,16870000,17948000,23729000,23911000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9100000,10400000,11500000,12200000,21000000,23032000,22466000,20505000,21624000,26660000,30783000,32991000,33825000,35947000,16341000,18770000,25431000,27385000,30519000,27389000,27616000,30565000,33042000,34488000,34585000,46425000,52344000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19235000,18757000,24012000,22922000,22424000,24910000,25601000,29871000,32101000,34468000,28446000,26486000,26780000
8,"Selling, General and Administrative Exp.",2200000,2300000,3100000,3500000,3500000,4200000,5800000,6800000,7500000,8100000,9100000,10400000,11500000,12200000,21000000,23032000,22466000,20505000,21624000,26660000,30783000,32991000,33825000,35947000,35576000,37527000,49443000,50307000,52943000,52299000,53217000,60436000,65143000,68956000,63031000,72911000,79124000
9,Other Expenses,200000,200000,300000,400000,500000,700000,400000,600000,1100000,1700000,2000000,2200000,3000000,2900000,5700000,4811000,11074000,1211000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4596000
10,Operating Expenses,2400000,2500000,3400000,3900000,4000000,4900000,6200000,7400000,8600000,11200000,12500000,14100000,16000000,17100000,28700000,30103000,36903000,24604000,25499000,31017000,34604000,37790000,39910000,42130000,44004000,46097000,59265000,60582000,63730000,64851000,65822000,74251000,80823000,85826000,80979000,96640000,107631000
11,COGS and Expenses,3200000,3900000,5000000,5700000,6100000,8000000,9800000,11400000,12600000,17000000,18500000,20900000,25300000,24800000,42500000,46942000,62724000,49110000,53075000,64948000,72749000,81532000,87933000,95289000,99495000,100622000,119690000,124246000,131372000,136440000,138770000,142546000,156761000,168936000,163668000,194059000,224379000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,456000,124000,115000,42000,44000,25000,23000,67000,171000,418000,681000,142000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,897000,1642000,1520000,1945000,2632000,1878000
