,https://roic.ai/company/VMD,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,31356000,46928000,65271000,80256000,131309000,117062000
2,COGS,12497000,12313000,16689000,24250000,51198000,43652000
3,Gross Profit,18859000,34615000,48582000,56006000,80111000,73410000
4,Gross Profit Ratio,0.6014,0.7376,0.7443,0.6978,0.6101,0.6271
5,Research and Development Exp.,- -,- -,- -,848000,1083000,2110000
6,General and Administrative Exp.,13769000,20247000,30681000,45267000,57711000,60043000
7,Selling and Marketing Exp.,- -,- -,268000,- -,- -,- -
8,"Selling, General and Administrative Exp.",13769000,20247000,30949000,45267000,57711000,60043000
9,Other Expenses,332000,402000,588000,671000,-3136000,-771000
10,Operating Expenses,14101000,20649000,31537000,46786000,55658000,61382000
11,COGS and Expenses,26598000,32962000,48226000,71036000,106856000,105034000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),323000,272000,181000,314000,509000,- -
14,Depreciation and Amortization,1424000,2543000,3783000,6400000,9582000,11312000
15,EBITDA,1856000,11006000,14303000,15510000,36454000,23815000
16,EBITDA ratio,0.0592,0.2345,0.2191,0.1933,0.2776,0.2034
17,Operating Income,383000,8824000,- -,8747000,26781000,11580000
18,Operating Income ratio,0.0122,0.1880,- -,0.1090,0.2040,0.0989
19,Total Other Income Expenses (Gains),-274000,-633000,-6706000,49000,-418000,923000
20,Income Before Tax,109000,8191000,10339000,8796000,26363000,12503000
21,Income Before Tax Ratio,0.0035,0.1745,0.1584,0.1096,0.2008,0.1068
22,Income Tax expense (Gain),-1119000,15000,162000,271000,-5167000,3377000
23,Net Income,1228000,8176000,10177000,8525000,31530000,9126000
24,Net Income ratio,0.0392,0.1742,0.1559,0.1062,0.2401,0.0780
25,EPS,0.03,0.22,0.27,0.23,0.81,0.23
26,EPS Diluted,0.03,0.22,0.26,0.21,0.78,0.22
27,Weighted Average Shares Outstanding,37909628,37909628,37892118,37716864,38743516,39491117
28,Weighted Average Shares Outstanding Diluted,37909628,37971921,39677704,39747509,40525737,40680947
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1729149/000172914920000005/0001729149-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1729149/000172914921000049/0001729149-21-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1729149/000172914922000020/0001729149-22-000020-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,4339000,5098000,10413000,13355000,30981000,28408000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4339000,5098000,10413000,13355000,30981000,28408000
34,Net Receivables,4793000,9781000,8839000,11534000,12373000,14716000
35,Inventory,1638000,1633000,2887000,1360000,2310000,2457000
36,Other Current Assets,426000,489000,824000,1562000,1511000,1729000
37,Total Current Assets,11196000,17001000,22963000,27811000,47175000,47310000
38,PP&E,13483000,20690000,30562000,54772000,55056000,62846000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,733000,2157000
43,Tax Assets,- -,- -,- -,- -,8733000,4787000
44,Other Non-Current Assets,- -,- -,- -,13000,863000,862000
45,Total Non-Current Assets,13483000,20690000,30562000,54785000,65385000,70652000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,24679000,37691000,53525000,82596000,112560000,117962000
48,Accounts Payable,1883000,3386000,5884000,5723000,3348000,5250000
49,Short-Term Debt,3859000,4381000,3031000,8843000,4577000,1944000
50,Tax Payable,- -,142000,152000,86000,340000,- -
51,Deferred Revenue,- -,- -,- -,3315000,3409000,3753000
52,Other Current Liabilities,3426000,5382000,8066000,8031000,11683000,6864000
53,Total Current Liabilities,9168000,13149000,16981000,25912000,23017000,17811000
54,Long-Term Debt,- -,- -,- -,7629000,6558000,4574000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,2631000,798000,1511000,5356000,1292000,757000
58,Total Non-Current Liabilities,2631000,798000,1511000,12985000,7850000,5331000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,6032000,5179000,3425000,10132000,3503000,732000
61,Total Liabilities,11799000,13947000,18492000,38897000,30867000,23142000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,67000,67000,71000,3366000,9181000,14014000
64,Retained Earnings,12813000,20989000,29572000,34113000,65643000,73335000
65,Other Comprehensive Income/Loss,-3494000,-5729000,-8822000,-157000,-451000,-278000
66,Other Total Stockholders Equity,3494000,8417000,14212000,6377000,7320000,- -
67,Total Stockholders Equity,12880000,23744000,35033000,43699000,81693000,94820000
