,https://roic.ai/company/VRS,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,1343100000,1463300000,1603846000,706833000,1628753000,1766813000,1360854000,1605316000,1722489000,1474612000,1388899000,1296613000,3122000000,- -,2461000000,2682000000,2444000000,1359000000,1278000000
2,COGS,- -,- -,- -,589283000,1403055000,1463169000,1242743000,1410770000,1460290000,1272630000,1179085000,1176002000,2727000000,- -,2237000000,2321000000,2138000000,1334000000,1062000000
3,Gross Profit,- -,- -,- -,117550000,225698000,303644000,118111000,194546000,262199000,201982000,209814000,120611000,395000000,- -,224000000,361000000,306000000,25000000,216000000
4,Gross Profit Ratio,- -,- -,- -,0.1663,0.1386,0.1719,0.0868,0.1212,0.1522,0.1370,0.1511,0.0930,0.1265,- -,0.0910,0.1346,0.1252,0.0184,0.1690
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,79744000,61889000,71043000,78059000,74415000,73777000,69945000,187000000,- -,106000000,102000000,104000000,77000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",81400000,65300000,65569000,14393000,53165000,79744000,61889000,71043000,78059000,74415000,73777000,69945000,187000000,- -,106000000,102000000,104000000,77000000,76000000
9,Other Expenses,- -,- -,- -,48330000,123169000,134458000,132682000,127367000,125295000,57584000,100759000,90897000,309000000,- -,116000000,106000000,187000000,64000000,146000000
10,Operating Expenses,- -,- -,- -,62723000,176334000,214202000,194571000,198410000,203354000,131999000,174536000,160842000,496000000,- -,222000000,208000000,291000000,141000000,222000000
11,COGS and Expenses,1373800000,1468300000,1533180000,652006000,1579389000,1677371000,1437314000,1609180000,1663644000,1404629000,1353621000,1336844000,3223000000,- -,2459000000,2529000000,2429000000,1475000000,1284000000
12,Interest Income ,-100000,-300000,-39000,1798000,1544000,770000,246000,120000,99000,8000,25000,2000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),16300000,16000000,14823000,49136000,142976000,125622000,123365000,128077000,126607000,135461000,137728000,142331000,270000000,- -,38000000,33000000,2000000,1000000,2000000
14,Depreciation and Amortization,1292400000,1403000000,129355000,50619000,129938000,- -,132682000,127367000,132363000,- -,- -,- -,- -,193000000,- -,111000000,183000000,153000000,154000000
15,EBITDA,1256600000,1397700000,189641000,97118000,161451000,62796000,362796000,124507000,122106000,-39792000,25960000,-213613000,-155000000,- -,- -,315000000,164000000,44000000,150000000
16,EBITDA ratio,0.9356,0.9552,0.1182,0.1374,0.0991,0.0355,0.2666,0.0776,0.0709,-0.0270,0.0187,-0.1647,-0.0496,- -,- -,0.1174,0.0671,0.0324,0.1174
17,Operating Income,-35200000,-5600000,60247000,44701000,29969000,62026000,-77439000,-3864000,15686000,-32421000,33900000,-174717000,-155000000,- -,-7000000,152000000,-37000000,-128000000,-29000000
18,Operating Income ratio,-0.0262,-0.0038,0.0376,0.0632,0.0184,0.0351,-0.0569,-0.0024,0.0091,-0.0220,0.0244,-0.1347,-0.0496,- -,-0.0028,0.0567,-0.0151,-0.0942,-0.0227
19,Total Other Income Expenses (Gains),-16200000,-15700000,-14784000,-47338000,-141432000,-124852000,184188000,-127073000,-152550000,-142832000,-145668000,-181227000,-270000000,- -,-31000000,19000000,16000000,18000000,23000000
