,https://roic.ai/company/WCRS,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,400750,245857,91379,11346524,12874817,18309601,17978447,17978447,19487920,32889196,40759553,76454035,109186537,121520544,114264960,116914541,135066285,164145268
2,COGS,93826,79748,22295,1226018,639606,2159661,1706160,1706160,2857294,9888260,14701187,28310477,41672539,48863445,48862401,50494776,59563799,79944553
3,Gross Profit,306924,166109,69084,10120506,12235211,16149940,16272287,16272287,16630626,23000936,26058366,48143558,67513998,72657099,65402559,66419765,75502486,84200715
4,Gross Profit Ratio,0.7659,0.6756,0.7560,0.8919,0.9503,0.8820,0.9051,0.9051,0.8534,0.6993,0.6393,0.6297,0.6183,0.5979,0.5724,0.5681,0.5590,0.5130
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,7099928,6038649,6426717,6101143,8124110,11487960,13330098,19206866,27429617,42035314,55311586,50245918,47899954,47535386,- -
7,Selling and Marketing Exp.,- -,- -,- -,421265,379322,451838,363171,- -,- -,- -,- -,4164473,7788221,7376123,7824393,6857809,5933500,7763483
8,"Selling, General and Administrative Exp.",217675,108014,121456,7521193,6417971,6878555,6464314,8457563,11812330,13676035,19685127,31594090,49823535,62687709,58070311,54757763,53468886,7763483
9,Other Expenses,305643,79979,- -,277045,3720450,6005364,7155664,5563919,2314182,2380191,1652885,1197653,1759629,2344423,6266658,5880429,6144878,59718248
10,Operating Expenses,523318,187993,121456,7798238,10138421,12883919,13619978,14021482,14126512,16056226,21338012,32791743,51583164,65032132,64336969,60638192,59613764,67481731
11,COGS and Expenses,617144,267741,143751,9024256,10778027,15043580,13619978,5201302,6358258,13568143,36488500,69863392,98780135,119056895,116847058,111132968,119177563,147426284
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,538273,1061196,1078788,11125689,10777054,9905139,9343824,631670,729166,310241,- -
13,Interest Expense (Gain),- -,- -,167,- -,79425,348388,405249,- -,- -,- -,- -,- -,- -,- -,- -,115438,41396,64660
14,Depreciation and Amortization,305643,79979,- -,277045,795924,975456,815583,815583,734991,520730,556496,1197653,1759629,2344423,2815800,8222487,8045728,7540618
15,EBITDA,89249,58095,-52372,1208289,1752034,2565526,3321773,2916524,3053222,3125274,4508242,7199147,4081947,40754648,-44331,11566301,19090653,24317203
16,EBITDA ratio,0.2227,0.2363,-0.5731,0.1065,0.1361,0.1401,0.1848,0.1622,0.1567,0.0950,0.1106,0.0942,0.0374,0.3354,-0.0004,0.0989,0.1413,0.1481
17,Operating Income,-216394,-21884,-52372,931244,- -,- -,- -,- -,2901521,2604544,4271053,6590643,2847339,2463649,-2582098,3749822,12769577,16718984
18,Operating Income ratio,-0.5400,-0.0890,-0.5731,0.0821,- -,- -,- -,- -,0.1489,0.0792,0.1048,0.0862,0.0261,0.0203,-0.0226,0.0321,0.0945,0.1019
19,Total Other Income Expenses (Gains),- -,- -,-167,- -,-991432,-2024339,-2257528,- -,-583290,- -,-313761,-571443,-504631,-59642,442389,613728,268845,-7059
20,Income Before Tax,-216394,-21884,-52539,931244,1105358,1241682,2100941,2100941,2318231,2604544,3957292,6019200,2342708,2404007,-2139709,4363550,13038422,16711925
21,Income Before Tax Ratio,-0.5400,-0.0890,-0.5750,0.0821,0.0859,0.0678,0.1169,0.1169,0.1190,0.0792,0.0971,0.0787,0.0215,0.0198,-0.0187,0.0373,0.0965,0.1018
22,Income Tax expense (Gain),-86600,-8800,- -,904000,272000,470000,752000,752000,883000,985000,1545860,2481764,864000,731000,-619000,908000,2790305,3474000
23,Net Income,-129794,-13084,-52539,27244,604685,771682,1348941,1348941,1435231,1619544,2405886,3519730,1458318,37679225,-2241131,2320376,8213224,13237925
24,Net Income ratio,-0.3239,-0.0532,-0.5750,0.0024,0.0470,0.0421,0.0750,0.0750,0.0736,0.0492,0.0590,0.0460,0.0134,0.3101,-0.0196,0.0198,0.0608,0.0806
25,EPS,-2.62,-0.26,-2.02,-36.76,-3.43,-3.43,-2.02,-1.82,-1.21,0.61,0.65,0.45,0.15,4.00,-0.24,0.25,0.90,1.45
26,EPS Diluted,-2.62,-0.26,-2.02,-36.76,-3.43,-3.43,-2.02,-1.82,-1.21,0.61,0.65,0.45,0.15,4.00,-0.24,0.25,0.90,1.45
27,Weighted Average Shares Outstanding,49504,49504,37304,56394,430979,393199,375477,368614,595412,2982424,3726461,7685067,9497638,9411201,9390355,9369891,9099524,9099524
28,Weighted Average Shares Outstanding Diluted,49504,49504,37304,56394,430979,393199,375477,368614,595412,2982424,3726461,7685067,9497638,9411201,9390355,9369891,9099524,9099524
