,https://roic.ai/company/WMS,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,1013756000,1017102000,1069009000,1180073000,1290678000,1257261000,1330354000,1384733000,1673805000,1982780000
2,COGS,818398000,829141000,856118000,973960000,1005626000,961451000,1027873000,1057766000,1357326000,1292698000
3,Gross Profit,195358000,187961000,212891000,206113000,285052000,295810000,302481000,326967000,316479000,690082000
4,Gross Profit Ratio,0.1927,0.1848,0.1991,0.1747,0.2209,0.2353,0.2274,0.2361,0.1891,0.3480
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,65927000,49601000,78478000,58749000,101445000,110950000,98392000,89692000,232412000,267574000
7,Selling and Marketing Exp.,67625000,71805000,75024000,78981000,88978000,91475000,92764000,96335000,117068000,- -
8,"Selling, General and Administrative Exp.",133552000,121406000,153502000,137730000,190423000,202425000,191156000,186027000,349480000,267574000
9,Other Expenses,11387000,10028000,11412000,9754000,9224000,8548000,8068000,7880000,57010000,73708000
10,Operating Expenses,144939000,131434000,164914000,147484000,199647000,210973000,199224000,193907000,406490000,341282000
11,COGS and Expenses,963337000,960575000,1021032000,1121444000,1205273000,1172424000,1227097000,1251673000,1763816000,1633980000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),21837000,18526000,16141000,19368000,18460000,17467000,15262000,18618000,82711000,35658000
14,Depreciation and Amortization,55171000,63102000,55898000,65472000,71009000,72355000,75003000,71900000,124940000,145586000
15,EBITDA,147332000,118223000,105738000,102903000,128278000,147387000,163683000,198339000,28569000,491856000
16,EBITDA ratio,0.1453,0.1162,0.0989,0.0872,0.0994,0.1172,0.1230,0.1432,0.0171,0.2481
17,Operating Income,95053000,57478000,53315000,58267000,84593000,76328000,88254000,129413000,-95349000,344525000
18,Operating Income ratio,0.0938,0.0565,0.0499,0.0494,0.0655,0.0607,0.0663,0.0935,-0.0570,0.1738
19,Total Other Income Expenses (Gains),-24262000,-18629000,-16274000,-33738000,-35035000,-11497000,-11312000,-17803000,-84265000,-32254000
20,Income Before Tax,70791000,38849000,37041000,24529000,49558000,64831000,76942000,111610000,-179614000,312271000
21,Income Before Tax Ratio,0.0698,0.0382,0.0346,0.0208,0.0384,0.0516,0.0578,0.0806,-0.1073,0.1575
22,Income Tax expense (Gain),27064000,15935000,22575000,9443000,20855000,24615000,11411000,30049000,14092000,86382000
23,Net Income,43260000,20660000,11124000,8620000,17954000,32950000,62007000,77772000,-193174000,224230000
24,Net Income ratio,0.0427,0.0203,0.0104,0.0073,0.0139,0.0262,0.0466,0.0562,-0.1154,0.1131
25,EPS,0.55,0.24,-0.37,0.26,0.32,0.51,1.00,1.23,-3.21,2.64
26,EPS Diluted,0.53,0.23,-0.37,0.26,0.30,0.50,0.99,1.22,-3.21,2.59
27,Weighted Average Shares Outstanding,52748211,52748211,9263000,51344000,53978000,54919000,55696000,57025000,63820000,70155000
28,Weighted Average Shares Outstanding Diluted,54923211,54923211,9263000,52003000,61378000,55624000,56334000,57611000,63820000,71566000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1604028/000119312516521419/0001193125-16-521419-index.htm,https://www.sec.gov/Archives/edgar/data/1604028/000119312516711072/0001193125-16-711072-index.htm,https://www.sec.gov/Archives/edgar/data/1604028/000156459017011836/0001564590-17-011836-index.htm,https://www.sec.gov/Archives/edgar/data/1604028/000156459018014670/0001564590-18-014670-index.htm,https://www.sec.gov/Archives/edgar/data/1604028/000156459019020937/0001564590-19-020937-index.htm,https://www.sec.gov/Archives/edgar/data/1604028/000156459020027846/0001564590-20-027846-index.htm,https://www.sec.gov/Archives/edgar/data/1604028/000156459021030419/0001564590-21-030419-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1361000,3931000,3623000,6555000,6450000,17587000,8891000,174233000,195009000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1361000,3931000,3623000,6555000,6450000,17587000,8891000,174233000,195009000
34,Net Receivables,- -,146478000,150713000,154294000,186883000,168943000,171961000,186991000,200028000,236191000
35,Inventory,- -,232409000,260300000,269842000,230466000,258430000,263792000,264540000,282398000,300961000
36,Other Current Assets,- -,7173000,13555000,18972000,12859000,6743000,5113000,6091000,9552000,10817000
37,Total Current Assets,- -,387421000,428499000,446731000,436763000,440566000,458453000,466513000,666211000,742978000
38,PP&E,- -,294901000,292082000,377067000,391744000,406858000,399381000,398891000,506255000,535512000
39,Goodwill,- -,86259000,86297000,98679000,100885000,100566000,103017000,102638000,597819000,599072000
40,Intangible Assets,- -,94629000,81431000,65331000,67133000,59738000,54632000,50246000,566383000,493186000
41,Intangible Assets,- -,180888000,167728000,164010000,168018000,160304000,157649000,152884000,1164202000,1092258000
42,Investments,- -,22012000,25231000,25038000,13188000,8986000,12343000,10467000,9250000,11861000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,22517000,24055000,28853000,27935000,29571000,15416000,13404000,23970000,31223000
45,Total Non-Current Assets,- -,520318000,509096000,594968000,600885000,605719000,584789000,575646000,1703677000,1670854000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,907739000,937595000,1041699000,1037648000,1046285000,1043242000,1042159000,2369888000,2413832000
48,Accounts Payable,- -,110251000,108111000,111893000,119606000,121922000,105521000,93577000,106710000,171098000
49,Short-Term Debt,- -,11942000,11153000,25311000,55101000,59239000,48855000,49049000,36094000,35313000
50,Tax Payable,- -,9511000,7372000,6041000,1822000,8207000,6307000,1758000,2050000,4703000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
