,https://roic.ai/company/WY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5205600000,5652000000,6989800000,10004200000,10105600000,9024300000,8701600000,9218700000,9544800000,10398000000,11788000000,11114000000,11210000000,10766000000,12262000000,15980000000,14545000000,18521000000,19873000000,22665000000,22629000000,21896000000,16308000000,8018000000,5528000000,6552000000,6216000000,7059000000,8529000000,7403000000,7082000000,6365000000,7196000000,7476000000,6554000000,7532000000,10201000000
2,COGS,4108200000,4396700000,5273600000,7314400000,7205400000,6582800000,6608800000,6889600000,7087000000,7670000000,8197000000,8336000000,8775000000,8484000000,9321000000,12088000000,11423000000,14537000000,15594000000,17012000000,17405000000,17138000000,13127000000,6998000000,4693000000,5392000000,5120000000,5810000000,6709000000,5763000000,5694000000,4926000000,5298000000,5592000000,5412000000,5447000000,6103000000
3,Gross Profit,1097400000,1255300000,1716200000,2689800000,2900200000,2441500000,2092800000,2329100000,2457800000,2728000000,3591000000,2778000000,2435000000,2282000000,2941000000,3892000000,3122000000,3984000000,4279000000,5653000000,5224000000,4758000000,3181000000,1020000000,835000000,1160000000,1096000000,1249000000,1820000000,1640000000,1388000000,1439000000,1898000000,1884000000,1142000000,2085000000,4098000000
4,Gross Profit Ratio,0.2108,0.2221,0.2455,0.2689,0.2870,0.2705,0.2405,0.2526,0.2575,0.2624,0.3046,0.2500,0.2172,0.2120,0.2398,0.2436,0.2146,0.2151,0.2153,0.2494,0.2309,0.2173,0.1951,0.1272,0.1510,0.1770,0.1763,0.1769,0.2134,0.2215,0.1960,0.2261,0.2638,0.2520,0.1742,0.2768,0.4017
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000000,- -,54000000,56000000,57000000,55000000,56000000,55000000,52000000,51000000,55000000,61000000,69000000,71000000,64000000,51000000,34000000,30000000,32000000,33000000,27000000,24000000,19000000,14000000,8000000,6000000,- -,5000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1461000000,914000000,1037000000,893000000,840000000,984000000,1144000000,907000000,1167000000,1308000000,1357000000,1336000000,- -,1049000000,562000000,61000000,- -,- -,436000000,455000000,338000000,289000000,332000000,310000000,318000000,348000000,347000000,396000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,380000000,450000000,457000000,488000000,461000000,- -,422000000,356000000,230000000,- -,- -,194000000,220000000,112000000,113000000,89000000,87000000,88000000,84000000,83000000,95000000
8,"Selling, General and Administrative Exp.",475600000,508000000,623500000,981400000,1567200000,970300000,971100000,887200000,843200000,814000000,914000000,929000000,743000000,702000000,845000000,1144000000,1287000000,1617000000,1765000000,1845000000,1797000000,1786000000,1471000000,918000000,291000000,677000000,601000000,630000000,675000000,450000000,402000000,421000000,397000000,406000000,432000000,430000000,491000000
9,Other Expenses,350200000,347500000,370700000,415300000,481300000,468300000,501300000,636200000,633000000,647000000,784000000,725000000,867000000,867000000,913000000,1015000000,1023000000,1252000000,1295000000,1100000000,2023000000,1689000000,1233000000,704000000,269000000,-168000000,-129000000,-55000000,-29000000,-59000000,-54000000,1000000,10000000,52000000,28000000,- -,5000000
10,Operating Expenses,825800000,855500000,994200000,1396700000,2048500000,1438600000,1472400000,1523400000,1476200000,1508000000,1698000000,1708000000,1666000000,1626000000,1813000000,2215000000,2365000000,2921000000,3111000000,3000000000,3881000000,3544000000,2775000000,1686000000,611000000,543000000,502000000,607000000,679000000,418000000,372000000,441000000,421000000,466000000,466000000,430000000,501000000
11,COGS and Expenses,4934000000,5252200000,6267800000,8711100000,9253900000,8021400000,8081200000,8413000000,8563200000,9178000000,9895000000,10044000000,10441000000,10110000000,11134000000,14303000000,13788000000,17458000000,18705000000,20012000000,21286000000,20682000000,15902000000,8684000000,5304000000,5935000000,5622000000,6417000000,7388000000,6181000000,6066000000,5367000000,5719000000,6058000000,5878000000,5877000000,6604000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000000,62000000,83000000,47000000,52000000,58000000,37000000,36000000,43000000,39000000,60000000,30000000,5000000,5000000
