,https://roic.ai/company/ZM,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , 
1,Revenue,60817000,151478000,330517000,622658000,2651368000,4099864000
2,COGS,12472000,30780000,61001000,115396000,821989000,1054554000
3,Gross Profit,48345000,120698000,269516000,507262000,1829379000,3045310000
4,Gross Profit Ratio,0.7949,0.7968,0.8154,0.8147,0.6900,0.7428
5,Research and Development Exp.,9218000,15733000,33014000,67079000,164080000,362990000
6,General and Administrative Exp.,7547000,27091000,44514000,86841000,320547000,482770000
7,Selling and Marketing Exp.,31580000,82707000,185821000,340646000,684904000,1135959000
8,"Selling, General and Administrative Exp.",39127000,109798000,230335000,427487000,1005451000,1618729000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,48345000,125531000,263349000,494566000,1169531000,1981719000
11,COGS and Expenses,60817000,156311000,324350000,609962000,1991520000,3036273000
12,Interest Income ,98000,1315000,1837000,13666000,18186000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1219000,2786000,7008000,16449000,28857000,48188000
15,EBITDA,1377000,-732000,15357000,42811000,706891000,1149820000
16,EBITDA ratio,0.0226,-0.0048,0.0465,0.0688,0.2666,0.2805
17,Operating Income,- -,-4833000,6167000,12696000,659848000,1063591000
18,Operating Income ratio,- -,-0.0319,0.0187,0.0204,0.2489,0.2594
19,Total Other Income Expenses (Gains),60000,1315000,2182000,13666000,18186000,38041000
20,Income Before Tax,158000,-3518000,8349000,26362000,678034000,1101632000
21,Income Before Tax Ratio,0.0026,-0.0232,0.0253,0.0423,0.2557,0.2687
22,Income Tax expense (Gain),172000,304000,765000,1057000,5718000,-274007000
23,Net Income,-14000,-3822000,7584000,25305000,672316000,1375639000
24,Net Income ratio,-0.0002,-0.0252,0.0229,0.0406,0.2536,0.3355
25,EPS,-0.00,-0.03,0.03,0.09,2.37,4.85
26,EPS Diluted,-0.00,-0.03,0.03,0.09,2.25,4.61
27,Weighted Average Shares Outstanding,237282092,237282092,237282092,233641336,283853654,283853654
28,Weighted Average Shares Outstanding Diluted,268804679,268804679,268804679,254298014,298127669,298127669
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1585521/000158552120000095/0001585521-20-000095-index.html,https://www.sec.gov/Archives/edgar/data/1585521/000158552121000048/0001585521-21-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1585521/000158552122000037/0001585521-22-000037-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,36146000,63624000,283134000,2240303000,1062820000
32,Short-Term Investments,- -,103056000,112777000,572060000,2004410000,4356446000
33,Cash and Short-Term Investments,- -,139202000,176401000,855194000,4244713000,5419266000
