,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1991,187300000,,,,,,,,,,37700000,,6300000,2400000,155600000,0.8308,,,107000000,,,33200000,113700000,0.6070,1.09,1.09,104311927,104311927,,,,,,,,,,,,,,,,1431800000,1431800000,,,,,,,149100000,,,,149100000,833500000,,684400000,,,270500000,,476900000,747400000,1431800000,,1431800000,113700000,2400000,5700000,,-6200000,,,-3100000,,81900000,197500000,,,-578000000,402400000,-800000,-176400000,-150000000,,,-15300000,146800000,-18500000,,-18500000,,400000,197500000
1992,240600000,,,,,,,,,,48700000,,14200000,4600000,189500000,0.7876,,,137200000,,,40500000,130200000,0.5411,1.24,1.24,105000000,105000000,,,,,,,,,,,,,,,,2074500000,2074500000,,,,,,,149200000,,,,149200000,1362400000,,1213200000,,,386400000,,474900000,861300000,2074500000,,2074500000,130200000,4600000,-8600000,,18000000,,,9000000,,-172000000,-27800000,,,-521500000,295600000,-70400000,-296300000,,4300000,,-14400000,331300000,321200000,,321200000,,3000000,-27800000
1993,327600000,,,,,,,,,,52000000,,15800000,5700000,268800000,0.8205,,,175600000,,,68000000,179300000,0.5473,1.69,1.68,106094675,106726190,,,,,,,,,,,,,,,,3807200000,3807200000,,,,,,,223600000,,,,223600000,2931100000,,2707500000,,,549800000,,549900000,1099700000,3807200000,,3807200000,179300000,5700000,-900000,,10600000,,,5300000,,7100000,201800000,,,-1837000000,688900000,-240800000,-1388900000,,,,-15900000,1207000000,1191100000,,1191100000,,200000,201800000
1994,234200000,,,,,,,,,,54200000,,18800000,9500000,208200000,0.8890,,,116700000,,,38800000,141100000,0.6025,1.33,1.33,106090226,106090226,,,,,,,,,,,,,,,,4293300000,4293300000,,,,,,,223700000,,,,223700000,3483500000,,3259800000,,,673100000,,360400000,1033500000,4293300000,,4293300000,141100000,9500000,15600000,,29000000,,,24900000,,70400000,265600000,,,-28900000,193700000,-964300000,-799500000,,,-11900000,-17400000,563600000,534300000,,534300000,,4200000,265600000
1995,272900000,,,,,,,,,,58700000,,20900000,5100000,240100000,0.8798,,,161100000,,,46600000,167500000,0.6138,1.59,1.58,105345912,106012658,,,,,,,,,,,,,,,,5309300000,5309300000,,,,,,,223700000,,,,223700000,4129000000,,3905300000,,,819500000,,584500000,1404000000,5309300000,,5309300000,167500000,5100000,13700000,,20000000,,,15400000,,25000000,231300000,,,-3858800000,3615700000,-158200000,-401300000,,6300000,-5900000,-19500000,196800000,177700000,,177700000,,4400000,231300000
1996,266300000,,,,,,,,,,-109206000,,20925000,383000,396814000,1.4901,,,5261000,375506000,1.4101,99189000,276317000,1.0376,7.90,7.90,34964814,34964814,7734000,112511000,120245000,51766000,,,,,,,,,,,,5875965000,5875965000,57689000,,,,3979311000,4037000000,223798000,,80086000,-79884000,224000000,,,4260949000,,353000,1072418000,,542245000,1615016000,5875965000,,5875965000,276317000,383000,4497000,,-20041000,,,-2752000,,-70526000,190630000,,202609000,-3864914000,2935614000,68439000,-658252000,,17211000,-31751000,-21500000,499229000,463189000,,-4433000,7734000,12167000,190630000
1997,381762000,,,,,,,,,,95766000,,21346000,-1332000,306010000,0.8016,,,46858000,285996000,0.7491,62966000,223030000,0.5842,3.19,3.13,69988497,71227347,9256000,136278000,145534000,293506000,,,,,,,,,,,,8249722000,8249722000,75170000,4320964000,,,1798866000,6195000000,223864000,,135228000,-135092000,224000000,,,6377240000,,707000,1262740000,,609035000,1872482000,8249722000,,8249722000,223030000,-1332000,12015000,,84586000,-9415000,,122230000,,6218000,324517000,,-120006000,-4783066000,2798512000,217285000,-1887275000,,29169000,-40397000,-24165000,1599673000,1564280000,,1522000,9256000,7734000,324517000
1998,457036000,,,,,,,,,,128124000,,32761000,-2400000,359273000,0.7861,,,69016000,328912000,0.7197,74918000,253994000,0.5557,3.63,3.56,69939710,71330053,8239000,119528000,127767000,843013000,,,,,,,,,,,,11212311000,11212311000,262423000,5956763000,,,2472814000,8692000000,423929000,,145782000,-145711000,424000000,848221000,,9116221000,,707000,1449832000,,645551000,2096090000,11212311000,,11212311000,253994000,-2400000,-2034000,,1775000,-47200000,,40900000,,86322000,337657000,,,-5067183000,3054974000,-49478000,-2061687000,,45966000,-52738000,-26571000,1756356000,1723013000,,-1017000,8239000,9256000,337657000
1999,533317000,,,,,,,,,,128659000,,36525000,-1500000,439683000,0.8244,,,67609000,404658000,0.7588,96741000,307917000,0.5774,4.40,4.31,69913147,71366210,13588000,220896000,234484000,778787000,,,,,,,,,,,,11345096000,11345096000,268696000,6140254000,,,2494050000,8903000000,423995000,,,5000,424000000,,,9326646000,,707000,1713446000,,304297000,2018450000,11345096000,,11345096000,307917000,-1500000,3274000,,224322000,-2700000,,128800000,,-79613000,454400000,,,-4689590000,3775298000,283999000,-630293000,,17518000,-17626000,-29366000,210716000,181242000,,5349000,13588000,8239000,454400000
2000,621310000,,,,,,,,,,139186000,,37477000,-9358000,510243000,0.8212,,,77408000,482124000,0.7760,115952000,366172000,0.5894,3.49,3.41,105031473,107415430,45428000,253519000,298947000,9680000,,,,,,,,,,,,10120300000,10120300000,14827000,4892931000,,,2192242000,7100000000,424061000,,106035000,-106096000,424000000,848186000,,7524186000,,1060000,2035209000,,559845000,2596114000,10120300000,,10120300000,366172000,-9358000,24300000,,151711000,-2024000,,96263000,,-51497000,481328000,,,-2697348000,3480386000,-6553000,776485000,,37926000,-23618000,-32213000,-1208068000,-1225973000,,31840000,45428000,13588000,481328000
