,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1985,5200000,2700000,2500000,0.4808,,1900000,,1900000,300000,2200000,4900000,,,300000,700000,0.1346,300000,0.0577,100000,,,,400000,0.0769,0.02,0.02,22466020,22466020,,,,900000,300000,200000,1400000,2200000,,,,,,,2200000,,3600000,,300000,,,800000,1100000,600000,,,100000,700000,,,1800000,,,100000,-1500000,3200000,1800000,3600000,,3600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,5800000,2900000,2900000,0.5000,,2100000,,2100000,300000,2400000,5300000,,,300000,800000,0.1379,500000,0.0862,,500000,0.0862,200000,300000,0.0517,0.01,0.01,25275219,25275219,,,,800000,400000,200000,1400000,2400000,,,,,,,2400000,,3800000,,300000,,,800000,1100000,400000,,200000,,600000,,,1700000,,,400000,-1800000,3500000,2100000,3800000,,3800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,6800000,3400000,3400000,0.5000,,2500000,,2500000,300000,2800000,6200000,,,300000,1000000,0.1471,600000,0.0882,100000,700000,0.1029,300000,400000,0.0588,0.02,0.02,25274864,25274864,200000,,200000,800000,500000,300000,1800000,3000000,,,,,,,3000000,,4800000,,300000,,,1200000,1500000,500000,,300000,100000,900000,,,2400000,,,700000,-2000000,3700000,2400000,4800000,,4800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,8400000,4400000,4000000,0.4762,,2900000,,2900000,400000,3300000,7700000,,,400000,1000000,0.1190,700000,0.0833,-100000,600000,0.0714,200000,400000,0.0476,0.02,0.02,22466020,22466020,,,,1300000,1100000,200000,2600000,3100000,,,,,,100000,3200000,,5800000,,200000,,,2100000,2300000,300000,,300000,100000,700000,,,3000000,,,1100000,-2400000,4100000,2800000,5800000,,5800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,9600000,5500000,4100000,0.4271,,3100000,,3100000,400000,3500000,9000000,,,400000,900000,0.0938,600000,0.0625,-100000,500000,0.0521,200000,300000,0.0313,0.01,0.01,21663778,21663778,,,,1300000,500000,300000,2100000,3300000,,,,,,100000,3400000,,5500000,700000,500000,,,,1200000,800000,,400000,,1200000,,,2400000,,,1300000,-2800000,4600000,3100000,5500000,,5500000,300000,400000,100000,,200000,,500000,,900000,,1000000,-600000,,,,,-600000,,,,,-400000,-400000,,,,,400000
1990,10800000,5600000,5200000,0.4815,,3600000,,3600000,500000,4100000,9700000,,,500000,1400000,0.1296,1100000,0.1019,-200000,900000,0.0833,300000,600000,0.0556,0.03,0.03,21664300,21664300,,,,1300000,900000,300000,2500000,3400000,,,,,,100000,3500000,,6000000,800000,400000,,,100000,1300000,600000,,400000,,1000000,,,2300000,,,1900000,-3200000,5000000,3700000,6000000,,6000000,600000,500000,,,300000,,-400000,,1200000,-400000,1000000,-600000,,,,,-600000,,,,,-400000,-400000,,,,,400000
1991,12700000,6600000,6100000,0.4803,,4300000,,4300000,500000,4800000,11400000,,,500000,1700000,0.1339,1300000,0.1024,-100000,1200000,0.0945,400000,800000,0.0630,0.03,0.03,23787813,23787813,,,,1600000,1000000,500000,3100000,4400000,,100000,100000,,,,4500000,,7600000,1400000,400000,,,100000,1900000,1000000,,400000,-100000,1300000,,,3200000,,,2600000,-3700000,5500000,4400000,7600000,,7600000,800000,500000,,,,,-100000,,1200000,-100000,1200000,-1500000,,,,,-1500000,,,,-100000,500000,400000,,,,,-300000
1992,12700000,6600000,6100000,0.4803,,4900000,,4900000,500000,5400000,12000000,,,500000,800000,0.0630,700000,0.0551,-400000,300000,0.0236,100000,200000,0.0157,0.01,0.01,25275219,25275219,,,,1200000,900000,700000,2800000,4500000,,200000,200000,,,100000,4800000,,7600000,1100000,900000,,,,2000000,600000,,400000,100000,1100000,,,3100000,,,2700000,-4200000,6000000,4500000,7600000,,7600000,200000,500000,,,-400000,,100000,,800000,300000,600000,-700000,,,,-100000,-800000,,,,-100000,300000,200000,,,,,-100000
1993,14700000,7900000,6800000,0.4626,,5200000,,5200000,500000,5700000,13600000,,,500000,1300000,0.0884,1100000,0.0748,-300000,800000,0.0544,200000,600000,0.0408,0.03,0.03,23329963,23329963,100000,,100000,2200000,1000000,300000,3600000,5300000,,300000,300000,,,,5600000,,9200000,1000000,1400000,,,200000,2600000,1000000,,400000,100000,1500000,,,4100000,,,3200000,-4800000,6700000,5100000,9200000,,9200000,600000,500000,,,200000,,-100000,,1000000,-800000,500000,-1300000,,,,,-1300000,,,,,800000,800000,,,,,-800000
1994,18900000,10200000,8700000,0.4603,600000,5900000,,5900000,700000,7200000,17400000,,,700000,1900000,0.1005,1500000,0.0794,-300000,1200000,0.0635,400000,800000,0.0423,0.04,0.04,22466441,22466441,,,,2600000,1300000,500000,4400000,7500000,,400000,400000,,,,7900000,,12300000,2100000,1200000,,,100000,3400000,2300000,,600000,100000,3000000,,,6400000,,,4000000,-5400000,7300000,5900000,12300000,,12300000,800000,700000,100000,,,,-300000,,1000000,300000,1900000,-2800000,,,,-200000,-3000000,,100000,,-100000,1000000,1000000,,,,100000,-900000
1995,25000000,12700000,12300000,0.4920,800000,8000000,,8000000,800000,9600000,22300000,,,800000,3200000,0.1280,2700000,0.1080,-300000,2400000,0.0960,800000,1600000,0.0640,0.07,0.07,24300000,24300000,200000,,200000,3100000,1900000,600000,5800000,7800000,,600000,600000,,,100000,8500000,,14300000,2500000,800000,,,100000,3400000,2700000,,700000,100000,3500000,,,6900000,,,5500000,-6100000,8000000,7400000,14300000,,14300000,1600000,800000,100000,,1400000,,-600000,,2400000,-2300000,1600000,-1100000,,,,-300000,-1400000,,100000,,-100000,-100000,-100000,,,,,500000
1996,26400000,13700000,12700000,0.4811,800000,7400000,,7400000,1400000,9600000,23300000,,,1400000,4300000,0.1629,3100000,0.1174,-200000,2900000,0.1098,1000000,1900000,0.0720,0.08,0.08,23652664,23652664,100000,,100000,3000000,1900000,600000,5600000,7500000,,2000000,2000000,,,,9500000,,15100000,2500000,700000,,,300000,3500000,1400000,,500000,300000,2200000,,,5700000,,,7300000,-7200000,9300000,9400000,15100000,,15100000,1900000,1400000,-100000,,-300000,,,,2100000,700000,3600000,-1000000,,,,-1300000,-2300000,,,,-100000,-1300000,-1400000,,-100000,100000,200000,2600000
1997,28600000,15300000,13300000,0.4650,1100000,6800000,,6800000,1100000,9000000,24300000,,,1100000,5400000,0.1888,4300000,0.1503,,4300000,0.1503,1500000,2800000,0.0979,0.12,0.11,24161932,24723837,700000,,700000,3100000,2500000,1000000,7300000,7300000,,2900000,2900000,,,100000,10300000,,17600000,2700000,800000,,,100000,3600000,800000,,500000,400000,1700000,,,5300000,,,9900000,-5200000,7600000,12300000,17600000,,17600000,2800000,1100000,,,1600000,,-600000,,3700000,-2500000,3000000,-1100000,,-1200000,,500000,-1800000,,200000,,-100000,-600000,-500000,,,,100000,1900000
1998,28700000,15600000,13100000,0.4564,1000000,5600000,,5600000,1700000,8300000,23900000,,,1700000,6400000,0.2230,4800000,0.1672,-100000,4700000,0.1638,1700000,3000000,0.1045,0.12,0.12,24897541,25312500,1300000,,1300000,3300000,2900000,900000,8400000,8100000,,6100000,6100000,,,,14200000,,22600000,1100000,1200000,,,1200000,3500000,2600000,,500000,200000,3300000,,,6800000,,,12700000,-6000000,9100000,15800000,22600000,,22600000,3000000,1700000,100000,,1200000,,-400000,,4900000,-2100000,3900000,-1600000,,,,-4100000,-5700000,,300000,,-200000,2300000,2400000,,,,700000,2300000
