,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2009,111022,80983,30039,0.2706,,97731,6480,104211,,104211,185194,,,5739,-68433,-0.6164,-74172,-0.6681,,-74172,-0.6681,,-74172,-0.6681,-0.72,-0.72,102505,102505,7777,,7777,33246,90829,5251,137103,26922,19417,165750,185167,,,,212089,,349192,26653,,,,33710,60363,,,,,,,,60363,,20501,-74172,-1489,343989,288829,349192,,349192,-74172,5739,,,39280,-2085,10182,,76740,,-29153,,,,,,,,13001,,,23929,36930,,,7777,,-29153
2010,570732,299504,271228,0.4752,,524373,42901,567274,,567274,866778,,7306,21686,-290377,-0.5088,-296046,-0.5187,-23323,-319369,-0.5596,,-319369,-0.5596,-2.68,-2.68,119105,119105,21372,,21372,23448,134174,3865,182859,3281,19417,148750,168167,,,2450,173898,,356757,68262,,,,34850,103112,,,,202185,202185,,,305297,,21321,-393541,-1093,424773,51460,356757,,356757,-319369,21686,,,3007,9798,-43345,,79747,45077,-249599,,,,,2938,2938,,82000,,,178256,260256,,13595,21372,7777,-249599
2011,554926,292566,262360,0.4728,,616531,109819,726350,,726350,1018916,,17549,17874,-526840,-0.9494,-463990,-0.8361,-98273,-562263,-1.0132,4179,-566442,-1.0208,-4.76,-4.76,119105,119105,1693,,1693,31337,115952,6464,155446,40607,19417,131750,151167,,,3483,195257,,350703,95369,223224,,,67400,385993,214489,,1066,,215555,,,601548,,23821,-959983,-1967,687284,-250845,350703,,350703,-566442,17874,469,14137,-310294,-7889,18222,,-230547,457973,-386283,-38200,,,,,-38200,,250000,,,154804,404804,,-19679,1693,21372,-424483
2012,,,,,,241280,1226,242506,,242506,242506,,37440,,-242506,-Infinity,-242506,-Infinity,-142449,-384955,-Infinity,4185,-426998,-Infinity,-4.00,-4.00,121569,121569,1262,,1262,,,126629,127891,,,,,,,99092,99092,,226983,39026,280034,,,499480,818540,,,,,,,,818540,,24638,-1386981,,770786,-591557,226983,,226983,-426998,,541,24796,-460102,,,,-690649,784978,-76785,,,,,,,,10500,,,66739,77239,,454,1262,808,-76785
2013,,,,,,339885,,339885,,339885,339885,,35882,,-339885,-Infinity,-339885,-Infinity,-68209,-408094,-Infinity,2200,-387281,-Infinity,-2.00,-2.00,356869,356869,14620,,14620,162536,,4114,181270,,,,,,,16333,16333,,197603,35192,56249,,,220640,312081,,,,214609,214609,,,526690,,489255,-1774262,,955920,-329087,197603,,197603,-387281,,,23496,559838,,,,-130811,-345357,-149304,,-42822,,,,-42822,,,,,205484,205484,,13358,14620,1262,-149304
2014,268804,177839,90965,0.3384,,1271840,414148,1685988,,1685988,1863827,,156740,154502,-1764250,-6.5633,-1595023,-5.9338,-480469,-2075492,-7.7212,-72906,-2002586,-7.4500,-0.23,-0.23,8571934,8571934,73396,,73396,,28732,130081,232209,675772,642340,347201,989541,,,80310,1745623,,1977832,187460,1042365,,,844937,2074762,,,,837375,837375,,396959,2912137,,10151,-3776848,,2832392,-934305,1977832,,1977832,-2002586,154502,-75000,144613,-1711742,,-5599,,-1842553,2987848,-502365,-7550,11132,,,,3582,,71660,,,485899,557559,,58776,73396,14620,-509915
2015,891227,539999,351228,0.3941,,1399552,876415,2275967,-201013,2074954,2614953,,239570,210239,-1597295,-1.7922,-1723726,-1.9341,-323378,-2047104,-2.2970,3470,-2050574,-2.3008,-0.15,-0.15,14099052,14099052,139677,,139677,3807,46979,79548,270011,747298,642340,260401,902741,,,86028,1736067,,2006078,254946,1687664,,,1241024,3183634,,,,518663,518663,,298486,3702297,,18148,-5827422,-190091,4303146,-1696219,2006078,,2006078,-2050574,210239,,257904,-1071070,-3807,-18247,,-2913623,2021108,-632393,-7115,,,,,-7115,-82950,320000,,,468739,705789,,66281,139677,73396,-639508
2016,1428045,713870,714175,0.5001,,1527223,1445450,2972673,,2972673,3686543,,615717,235633,-1757019,-1.2304,-2258498,-1.5815,-349871,-2608369,-1.8265,-908,-2607461,-1.8259,-0.13,-0.13,20414751,20414751,61914,,61914,16543,76212,39101,193770,710605,642340,173601,815941,,,17386,1543932,,1737702,433440,1816728,,,1516374,3766542,1084923,,,184680,1269603,,261372,5036145,,24664,-8434883,-338925,5450701,-3298443,1737702,,1737702,-2607461,235633,,165296,-659149,-12736,-29233,713716,-3572772,2091776,-773905,-112140,,,,,-112140,-82718,,,,891000,808282,,-77763,61914,139677,-886045
2017,1426969,779809,647160,0.4535,,1281625,1583552,2865177,,2865177,3644986,,407864,267585,-2507879,-1.7575,-2218017,-1.5544,-965311,-3183328,-2.2308,,-3183328,-2.2308,-0.12,-0.12,25877458,25877458,87667,,87667,28572,81621,19674,217534,594236,,86801,86801,,,11416,692453,,909987,460719,1414984,,,2997632,4873335,2201954,,,121860,2323814,,148235,7197149,,27615,-11618211,-518809,5822243,-6287162,909987,,909987,-3183328,267585,,98469,-1083029,-12029,-5409,12415,-4655801,3375152,-525151,-64487,,,,,-64487,-94449,,,,709840,615391,,25753,87667,61914,-589638
2018,1283751,987580,296171,0.2307,,1525242,1467582,2992824,,2992824,3980404,,747627,298041,361888,0.2819,-2696653,-2.1006,2012873,-683780,-0.5326,,-683780,-0.5326,-0.02,-0.02,30564688,30564688,63078,,63078,25652,59135,18749,166614,762031,,,,,,12261,774292,,940906,691819,4146013,,,1257031,6094863,1113419,,,310380,1423799,,370786,7518662,,32177,-12301991,-730951,6423009,-6577756,940906,,940906,-683780,298041,,115186,-1272448,2920,22486,273713,-5928249,301891,-1241110,-14084,,,,23984,9900,-509877,,,,1716498,1206621,,-24589,63078,87667,-1255194
