,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow,Forex Rate
1999,1703939667,1180967057,522972610,0.3069,,,,,388197223,388197223,1569164280,,,60218178,147405464,0.0865,134775387,0.0791,-47588101,87187286,0.0512,12563518,74623769,0.0438,0.00,0.00,1408662020461,1408662020461,343593498,,343593498,175804698,227483497,12680446,759562139,947921361,,,,,,395797576,1343718936,,2103281076,111558784,303614744,,,303380887,718554415,526878022,,95735659,89551041,712164722,,,1430719137,,614189433,-59915962,-213934183,332222651,672561939,2103281076,,2103281076,74623769,60218178,537871,,-10732237,,-57759081,,,-19381349,105266231,-188028224,,-128684312,,-11978875,-328691410,,,-30581,-13934279,119472145,105507284,,-117917895,313715568,431633463,-82761992,0.5539
2000,1830913562,1363883709,467029853,0.2551,,,,,413290885,413290885,1777174593,1080239,3312863,75160460,135833237,0.0742,53738968,0.0294,3620946,57359914,0.0313,6978656,50381258,0.0275,0.37,0.37,561642844,561642844,656118486,,656118486,277083269,272148097,1950,1205351802,1155951339,,5327099,5327099,,32752302,152894775,1346925515,,2552277317,127269320,491871452,,,301895619,921036391,540782493,,98596188,211383675,850762356,,,1771798747,,675268356,-72652901,-297535665,475398781,780478571,2552277317,,2552277317,50381258,75160460,7762512,,-75197508,,-22041557,,,-2283321,55823401,-164274333,,-101969498,,15916952,-250326878,,,,-14358990,137437997,123079007,,-71426421,273487672,344914092,-108450932,0.5128
2001,2433661252,1633454729,800206523,0.3288,,,,,441174298,441174298,2074629027,,,64964020,290375747,0.1193,359032225,0.1475,-119972340,239059884,0.0982,57168059,168243668,0.0691,0.60,0.60,281729983,281729983,11757805,391212336,402970141,275069468,318668328,46327563,1043035500,903623186,,,,,35312894,442079995,1381016075,,2424051575,151288556,696627298,,,166079285,1013995138,598760931,,8209331,130290319,737260581,,,1751255719,,415424636,,-254675030,512046249,672795855,2424051575,,2424051575,168243668,64964020,,,-10805662,,-56638575,,,-3736581,218665446,-118576638,,-36350962,,-5594421,-160522021,,,,-50472868,-9560909,-60033777,,-1888030,11757805,13645835,100088808,0.4327
2002,2917378051,2103941574,813436477,0.2788,,,,,810884267,810884267,2914825841,,,81511435,83143292,0.0285,2548670,0.0009,-916813,1631857,0.0006,-6601764,8233621,0.0028,0.03,0.03,280542038,280738334,503702227,400544792,904247019,197518416,594226044,166357381,1862348859,934094781,,,,,36293774,174495427,1144883983,,3007232842,278605073,1262190078,,,126364494,1667159645,531419017,,7500879,125514938,664434833,1328869667,,2331594478,,489999584,-6279641,191918421,,675638364,3007232842,,3007232842,8233621,81511435,,,-230431663,,-275553748,,,45217661,-95468945,-106523803,,-311504,115291937,-5833623,2623007,,,,-5401765,324774945,319373180,,226530781,503702227,277171446,-201992749,0.2825
2003,3809742923,2791000936,1018741986,0.2674,,,,,871335766,871335766,3662336702,96142520,233392942,98268890,467085942,0.1226,147406220,0.0387,-11982111,135424109,0.0355,12377379,123046730,0.0323,0.44,0.44,279392008,280830003,450178845,195721277,645900123,152391794,678101505,183459305,1659852727,911278059,,,,,41384878,155268309,1107931247,,2767783973,322172508,808306342,,,184544129,1315022979,582541790,,2481246,107634152,692657188,,,2007680167,,488020735,-11350259,283433330,,760103807,2767783973,,2767783973,123046730,98268890,-6283900,,-3251587,,-86275239,,,-18557413,193222720,-74073855,,-2885,237120582,-6485862,156557980,,,,,-401275214,-401275214,,-51491629,450178845,501670474,119148865,0.3458
2004,4884545209,3533319388,1351225821,0.2766,,,,,979212891,979212891,4512532279,,,105298706,448342208,0.0918,372012931,0.0762,-3479412,368533518,0.0754,47346569,295696933,0.0605,1.05,1.05,280615773,280827036,212693027,60446158,273139185,244738150,580732522,170507144,1269117001,918721580,,,,,31718430,305880191,1256320200,,2525437201,308414053,478745898,,,249989141,1037149091,388437882,,1883132,127590850,517911864,,,1555060955,,490129685,,481061965,-815404,970376246,2525437201,,2525437201,295696933,105298706,10573695,,37227057,,100300039,,-8568385,-25877798,422918593,-110576257,,,37073006,-3564406,-77067657,,,,-82480666,-494249203,-576729870,-8549793,-239431382,212693027,452124409,312342336,0.3765
2005,5141988889,3683598499,1458390389,0.2836,,,,,1002971605,1002971605,4686570104,53167722,141710543,117228173,682174333,0.1327,455416450,0.0886,-4597595,450818854,0.0877,62460983,360774635,0.0702,1.29,1.29,280546903,280827036,778114403,39076058,817190460,638503016,645697120,85843572,2187234168,1106108113,16590104,92741133,109331237,,47171468,180088439,1442699256,,3629933424,332392831,548358392,,,248442936,1129194159,1124696968,,19487827,134518774,1278703569,,,2407897728,,,423336022,-542161328,,1222035696,3629933424,,3629933424,360774635,117228173,2699248,,-61963630,,-61461607,,21087295,60163352,478901779,-301311780,-7894601,-112630578,167194624,12592601,-242049733,,,,-85147745,413942357,328794612,,565646658,778114403,212467745,177589999,0.4277
2006,5197209580,3856357555,1340852025,0.2580,,,,,1260546340,1260546340,5116903895,70728628,172084220,145848073,373498845,0.0719,80305685,0.0155,-6184250,74121435,0.0143,-61450120,117016673,0.0225,0.34,0.34,347780503,347780503,335785583,782004810,1117790393,846448960,734818983,139066723,2838125058,1566604873,84295593,89582060,173877653,,49380170,189741320,1979604015,,4817729073,485325013,545679028,,,217472350,1248476390,1283988913,,24739133,121806268,1430534313,,,2679010703,,,504476995,-721352245,,2099813040,4778823743,38905330,4817729073,117016673,145848073,-39105785,,-107740298,,-67037270,,-81900795,-19154115,96864548,-521138218,-113126993,-970449570,257576145,14168330,-1332970305,,798066800,,,-2893803,795172998,,-440932760,335785583,776718343,-424273670,0.4681
2007,6632852412,4759707331,1873145082,0.2824,,,,,1469478217,1469478217,6229185548,,,293576225,646946310,0.0975,403666865,0.0609,-19898644,383768220,0.0579,32096713,321273372,0.0484,0.82,0.82,390074867,390074867,1107909021,665545204,1773454226,978218858,865028403,151187679,3767889166,2136723780,269477428,,269477428,,77894220,290775530,2774870958,,6542760124,575552623,1051713512,,,313773990,1941040125,1214000703,,30196941,131787569,1375985212,,,3317025338,,,726740302,-877527373,,3225734787,6542760124,,6542760124,321273372,293576225,-14199328,,-222980193,,-223781409,,-299121,-40397311,337272765,-598150476,-258778524,-350471464,541055823,-164687278,-831031918,,899925811,,,365169326,1265095137,,771335985,1107909021,336573037,-260877710,0.5618
2008,11393000000,8634100000,2758900000,0.2422,,159200000,1891100000,2050300000,,2050300000,10684400000,83500000,288000000,601500000,688600000,0.0604,708600000,0.0622,-892200000,-183600000,-0.0161,-255300000,54400000,0.0048,-2.36,-2.36,535032382,535032382,1233500000,742500000,1976000000,1378000000,1689000000,942100000,5985100000,2918500000,91306000,1545700000,1545700000,24500000,470900000,274800000,5234400000,,11219500000,1083400000,1646400000,66600000,,351100000,3080900000,3719700000,,69000000,238600000,4027300000,,,7108200000,,,704500000,-1156338000,,4110600000,11218800000,700000,11219500000,54400000,601500000,-291100000,,-747800000,-194900000,-464400000,255800000,177890000,1017700000,634700000,-634500000,-1004400000,-2733000000,2829900000,-85600000,-1627600000,-2048800000,39859000,-52805000,-114300000,3294446000,1118400000,,125500000,1233500000,1108000000,200000,0.432
