,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
2011,724200000,424000000,300200000,0.4145,,76800000,,76800000,174600000,251400000,675400000,500000,194200000,15500000,215800000,0.2980,-78900000,-0.1089,6000000,-72900000,-0.1007,-4200000,10300000,0.0142,0.09,0.09,120000000,120000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10300000,15500000,-30500000,,23000000,39200000,,-5000000,-12500000,82500000,100800000,-3600000,,-246300000,227300000,-145200000,-167800000,-120400000,,,,226300000,105900000,400000,36200000,277200000,241000000,97200000
2012,703500000,431800000,271700000,0.3862,,68600000,,68600000,142800000,211400000,643200000,1400000,205200000,7500000,219000000,0.3113,-62500000,-0.0888,15800000,-46700000,-0.0664,3300000,3000000,0.0043,0.03,0.03,120000000,120000000,268600000,104400000,373000000,168600000,,2404600000,2946200000,19100000,117800000,1400000,119200000,242600000,302200000,4900500000,5583600000,,8529800000,35800000,,10000000,,43800000,79600000,5641800000,,,465300000,6107100000,,,6186700000,,,-483800000,1600000,2824900000,-482200000,5704500000,2825300000,8529800000,3000000,7500000,9100000,,2879100000,-26300000,,18000000,2866600000,-2892300000,6400000,-12700000,,-1059800000,420500000,75200000,-576800000,-152900000,,,,683200000,530300000,1000000,-8600000,268600000,277200000,-6300000
2013,928600000,590700000,337900000,0.3639,,68700000,,68700000,218600000,287300000,878000000,500000,222300000,5000000,266300000,0.2868,-99500000,-0.1072,15700000,-83800000,-0.0902,13300000,25700000,0.0277,0.21,0.21,120000000,120000000,282200000,406200000,688400000,187100000,,2150800000,3026300000,24100000,117800000,1200000,119000000,554300000,294200000,4533900000,5525500000,,8551800000,49800000,,6700000,,49800000,99600000,5431000000,,,888600000,6319600000,,,6419200000,,,-449800000,3000000,2579400000,-446800000,5972400000,2579400000,8551800000,25700000,5000000,10300000,,60100000,-75200000,,86600000,2926700000,43400000,144500000,-9900000,,-207300000,348400000,-48000000,83200000,-134600000,,,,103100000,-31500000,-1600000,13600000,282200000,268600000,134600000
2014,1056300000,687100000,369200000,0.3495,,83900000,,83900000,216900000,300800000,987900000,200000,186200000,6200000,256900000,0.2432,-67200000,-0.0636,35000000,-32200000,-0.0305,12800000,51700000,0.0489,0.43,0.43,120000000,120000000,268600000,60600000,329200000,161100000,,2427100000,2917400000,24100000,126500000,1000000,127500000,209900000,330300000,4163700000,4855500000,,7772900000,77400000,,47000000,,365900000,443300000,4309900000,,,524200000,4834100000,,,5277400000,,100000,,5300000,31100000,36500000,5313900000,2459000000,7772900000,51700000,6200000,-35300000,,-452600000,-2400000,,99300000,2474100000,584100000,154100000,-7600000,-14800000,-128100000,113000000,31500000,-6000000,-41700000,,,-175000000,64200000,-152500000,-2100000,-13600000,268600000,282200000,146500000
2015,699300000,412800000,286500000,0.4097,,88200000,,88200000,7100000,95300000,508100000,200000,3100000,7100000,212300000,0.3036,191200000,0.2734,10100000,201300000,0.2879,46600000,155500000,0.2224,1.29,1.29,120000000,120500000,135900000,,135900000,152300000,,,288200000,30700000,126500000,1500000,128000000,202600000,341600000,23000000,725900000,,1014100000,8400000,,87700000,,339100000,347500000,90000000,,,410700000,500700000,,,848200000,,100000,,-2800000,168600000,165900000,1014100000,,1014100000,155500000,7100000,-11100000,,-2533400000,12800000,,37900000,-59300000,2635500000,253600000,-13000000,-600000,-160600000,18500000,,-155700000,-124000000,,,-10900000,-95700000,-230600000,,-132700000,135900000,268600000,240600000
2016,663500000,397400000,266100000,0.4011,,98300000,,98300000,12200000,110500000,507900000,400000,11300000,12000000,190500000,0.2871,155600000,0.2345,5200000,160800000,0.2424,40800000,126400000,0.1905,1.05,1.05,119200000,119500000,101900000,,101900000,163700000,,400000,266000000,39800000,272700000,83900000,356600000,268800000,332700000,29400000,1027300000,,1293300000,5100000,,90200000,,287200000,292300000,392300000,,,444700000,837000000,,,1129300000,,100000,190200000,-26300000,,164000000,1293300000,,1293300000,126400000,12000000,13300000,,33000000,-3200000,,-28300000,-26300000,-47000000,137700000,-13500000,-219100000,-76100000,24500000,,-284200000,-148000000,,-98600000,-13100000,372600000,112900000,,-33600000,102300000,135900000,124200000
2017,887400000,685200000,202200000,0.2279,,112900000,,112900000,18300000,131200000,816400000,800000,24500000,18300000,179800000,0.2026,71000000,0.0800,71000000,142000000,0.1600,132800000,4200000,0.0047,0.04,0.04,110700000,111400000,186300000,,186300000,238300000,,14100000,438700000,41700000,274600000,77300000,351900000,381100000,240600000,36700000,1052000000,,1490700000,7700000,,96200000,,205000000,212700000,426300000,,,725400000,1151700000,,,1364400000,,100000,,-21600000,96900000,75400000,1439800000,50900000,1490700000,4200000,18300000,39200000,,252300000,-45500000,,17400000,226000000,-88500000,225500000,-13700000,-1900000,-164600000,149200000,,-31000000,-42500000,,-74100000,-27500000,47700000,-96400000,,98100000,200400000,102300000,211800000
2018,928200000,697300000,230900000,0.2488,,126000000,,126000000,21100000,147100000,844400000,3200000,24900000,21100000,187400000,0.2019,83800000,0.0903,51400000,135200000,0.1457,5000000,136400000,0.1470,1.27,1.26,107400000,107600000,340600000,,340600000,163000000,,4900000,508500000,49000000,274600000,71700000,346300000,323300000,270100000,56500000,1045200000,,1553700000,22100000,,53600000,,131900000,154000000,393300000,,,872200000,1265500000,,,1419500000,,100000,,-20900000,124100000,103300000,1522800000,30900000,1553700000,136400000,21100000,-44800000,,128500000,35400000,,-33100000,354500000,13000000,254200000,-21700000,105000000,-394400000,269400000,,-41700000,-53000000,,-71200000,-31800000,88600000,-67400000,,145100000,345500000,200400000,232500000
2019,819500000,416600000,402900000,0.4916,,128800000,,128800000,23800000,152600000,569200000,2200000,32200000,23800000,297900000,0.3635,250300000,0.3054,7700000,258000000,0.3148,18000000,223900000,0.2732,2.45,2.45,91200000,91300000,111300000,,111300000,178100000,,9700000,299100000,65800000,274600000,65100000,339700000,376900000,243600000,94600000,1120600000,,1419700000,12900000,140000000,12800000,,-89700000,63200000,568800000,,,673200000,1242000000,,,1305200000,,100000,-452500000,-17500000,534300000,64400000,1369600000,50100000,1419700000,223900000,23800000,25800000,,-118600000,14600000,,-58000000,235900000,-293400000,-138500000,-33900000,-7600000,-26500000,73100000,3900000,9000000,-330000000,,-239800000,-24500000,499300000,-95000000,,-224500000,121000000,345500000,-172400000
2020,718500000,389000000,329500000,0.4586,,106000000,,106000000,433000000,539000000,522700000,600000,28500000,27700000,455000000,0.6333,179400000,0.2497,248200000,427600000,0.5951,112100000,286700000,0.3990,3.53,3.49,81300000,82000000,401900000,112000000,513900000,122100000,,-109800000,526200000,162300000,182100000,58400000,240500000,228800000,170800000,50600000,853000000,,1379200000,7300000,,4100000,,33700000,41000000,394300000,,,559500000,953800000,,107900000,994800000,,100000,-176500000,-13600000,492400000,302400000,1297200000,82000000,1379200000,286700000,27700000,72700000,,249300000,-18700000,,1200000,485200000,-545900000,90500000,-27200000,291000000,-104900000,109800000,1300000,270000000,-255000000,,-46000000,-10900000,234500000,-77400000,,283100000,404100000,121000000,63300000
