,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1999,23892000,11685000,12207000,0.5109,2419000,7827000,,7827000,474000,10720000,22405000,,,474000,1099000,0.0460,1487000,0.0622,,,,,625000,0.0262,0.04,0.04,15226000,16422000,538000,,538000,6588000,6574000,1161000,14861000,2555000,,255000,255000,,,942000,3752000,,18613000,2211000,6794000,,,6160000,15165000,,,,59000,59000,,,15224000,,98000,2159000,-865000,1997000,3389000,18613000,,18613000,625000,474000,,,-1578000,,-3142000,,,88000,-391000,-1421000,,,,47000,-1374000,,274000,,,1701000,1975000,,210000,538000,328000,-1812000
2000,53100000,24200000,28900000,0.5443,5000000,12300000,,12310000,-49000,17261000,41400000,,-300000,522000,11922000,0.2245,11708000,0.2205,-8000,11700000,0.2203,800000,10900000,0.2053,0.58,0.57,18692000,19202000,9793000,26592000,36385000,11131000,10700000,3169000,61385000,3818000,,76000,76000,,448000,,4342000,,65727000,6377000,931000,,,8585000,15893000,,,,64000,64000,,,15957000,,112000,13050000,-1060000,37668000,49770000,65727000,,65727000,10900000,522000,121000,,-1609000,,-4126000,,,24000,9958000,-1712000,,-33365000,6520000,105000,-28452000,,36013000,,,-8264000,27749000,,9255000,9793000,538000,8246000
2001,44100000,22700000,21400000,0.4853,9000000,13200000,,14178000,3651000,26829000,49000000,,1400000,846000,-1254000,-0.0284,-4959000,-0.1124,1359000,-3600000,-0.0816,200000,-3700000,-0.0839,-0.17,-0.17,22043000,22043000,7029000,13908000,20937000,14192000,12039000,2555000,49723000,11225000,,,,,306000,,11531000,,61254000,2857000,4816000,,,7198000,14871000,55000,,,307000,362000,,,15233000,,112000,9339000,-1602000,38172000,46021000,61254000,,61254000,-3700000,846000,89000,,-10371000,,-286000,,,3712000,-9424000,-7434000,-1191000,-20689000,33754000,80000,4520000,,46000,-592000,,2686000,2140000,,-2764000,7029000,9793000,-16858000
2002,22600000,14600000,8000000,0.3540,7200000,10100000,,11057000,-6000,18251000,33700000,,-200000,890000,-10110000,-0.4473,-11104000,-0.4913,304000,-10800000,-0.4779,500000,-11300000,-0.5000,-0.47,-0.47,24166000,24166000,2898000,10912000,13810000,11104000,12028000,1497000,38439000,10509000,,,,,,,10509000,,48948000,3007000,39000,,,5196000,8242000,12000,,,378000,390000,,,8632000,,125000,-1953000,-129000,42273000,40316000,48948000,,48948000,-11300000,890000,550000,,2130000,3200000,,-100000,,70000,-7660000,-240000,,,,2900000,2660000,,,5680000,,-4820000,860000,,-4130000,2870000,7000000,-7900000
2003,31100000,16800000,14300000,0.4598,5900000,10000000,,10041000,-45000,15896000,32700000,,-200000,884000,-764000,-0.0246,-1579000,-0.0508,279000,-1300000,-0.0418,152000,-1600000,-0.0514,-0.06,-0.06,27053000,27053000,12837000,,12837000,15969000,13687000,1794000,44287000,9899000,,,,,,,9899000,,54186000,6985000,2300000,,,5638000,14923000,,,,412000,412000,,,15335000,,125000,-3522000,-560000,42808000,38851000,54186000,,54186000,-1600000,884000,,,-2367000,,-1659000,,,34000,-3049000,-220000,,,10920000,39000,10739000,,,,,2249000,2249000,,9939000,12837000,2898000,-3269000
2004,67400000,31400000,36000000,0.5341,7300000,16000000,,15953000,1150000,24403000,55800000,,-300000,875000,11824000,0.1754,11655000,0.1729,-355000,11300000,0.1677,449000,10800000,0.1602,0.40,0.39,27114000,27800000,9141000,,9141000,22557000,24892000,2093000,58683000,9960000,,,,,,,9960000,,68643000,8215000,2335000,,,8095000,18645000,,,,222000,222000,,,18867000,,125000,7275000,-363000,42739000,49776000,68643000,,68643000,10800000,875000,,,-13283000,,-11205000,,,-197000,-1805000,-829000,,,,25000,-804000,,,-1122000,,35000,-1087000,,-3696000,9141000,12837000,-2634000
2005,63000000,32800000,30200000,0.4794,8500000,18800000,,18760000,-31000,27229000,60000000,,-100000,785000,3385000,0.0537,3022000,0.0480,-322000,2700000,0.0429,,2700000,0.0429,0.10,0.10,27253000,27586000,8714000,2101000,10815000,26412000,24942000,3107000,65276000,9963000,,,,,,,9963000,,75239000,8678000,,,,8721000,17399000,5000000,,,222000,5222000,,,22621000,,125000,9977000,-223000,42739000,52618000,75239000,,75239000,2700000,785000,,,-3830000,,-50000,,,-4000,-349000,-673000,,-2103000,,18000,-2758000,,15000,,,2665000,2680000,,-427000,8714000,9141000,-1022000
2006,100100000,48400000,51700000,0.5165,11800000,27900000,,27850000,31000,39681000,88100000,,400000,1560000,13560000,0.1355,11932000,0.1192,-332000,11600000,0.1159,,11600000,0.1159,0.40,0.39,29176000,29553000,23358000,2099000,25457000,29614000,41414000,2437000,98922000,10729000,,112000,112000,,369000,674000,11884000,,110806000,11801000,,,,13645000,25446000,5000000,,,222000,5222000,,,30668000,,132000,21580000,-1000,58427000,80138000,110806000,,110806000,11600000,1560000,,,-13077000,,-16472000,,,668000,751000,-1696000,,-3891000,3900000,,-1687000,,15150000,,,,15150000,430000,14644000,23358000,8714000,-945000
2007,71000000,41900000,29100000,0.4099,12100000,24100000,,24119000,11000,36230000,78200000,,,1307000,-5993000,-0.0844,-7201000,-0.1014,-99000,-7300000,-0.1028,400000,-7700000,-0.1085,-0.25,-0.25,30145000,30145000,18601000,1395000,19996000,23751000,34243000,2740000,80730000,15325000,,,,1000000,612000,798000,17735000,,98465000,7960000,1667000,,,12331000,21958000,3333000,,,268000,3601000,,,25559000,,132000,13889000,-6307000,65192000,72906000,98465000,,98465000,-7700000,1307000,-59000,,4217000,,4522000,,46000,953000,-1282000,-3405000,,-6770000,6425000,40000,-3710000,,32000,,,,32000,203000,-4757000,18601000,23358000,-4687000
2008,75500000,47600000,27900000,0.3695,12800000,24800000,,24834000,1000,37635000,85300000,181000,1100000,1949000,-5751000,-0.0762,-9787000,-0.1296,987000,-8800000,-0.1166,800000,-9600000,-0.1272,-0.32,-0.32,29916000,29916000,15949000,,15949000,19305000,9792000,1233000,46279000,15648000,,575000,575000,,127000,22106000,38456000,,84735000,5534000,3167000,305000,2603000,8779000,20083000,1666000,,,271000,1937000,,,22020000,,132000,4332000,-7976000,66227000,62715000,84735000,,84735000,-9600000,1949000,570000,271000,3142000,4407000,1576000,,3000,768000,-2900000,-1373000,,-397000,2875000,-352000,1105000,-1667000,,-905000,,1500000,-1072000,215000,-2652000,15949000,18601000,-4273000
