,Revenue,COGS,Gross Profit,Gross Profit Ratio,Research and Development Exp.,General and Administrative Exp.,Selling and Marketing Exp.,"Selling, General and Administrative Exp.",Other Expenses,Operating Expenses,COGS and Expenses,Interest Income,Interest Expense (Gain),Depreciation and Amortization,EBITDA,EBITDA Ratio,Operating Income,Operating Income Ratio,Total Other Income Expenses (Gains),Income Before Tax,Income Before Tax Ratio,Income Tax expense (Gain),Net Income,Net Income Ratio,EPS,EPS Diluted,Weighted Average Shares Outstanding,Weighted Average Shares Outstanding Diluted,Cash and Cash Equivalents,Short-Term Investments,Cash and Short-Term Investments,Net Receivables,Inventory (Balance),Other Current Assets,Total Current Assets,PP&E,Goodwill,Intangible Assets,Goodwill and Intangible Assets,Investments,Tax Assets,Other Non-Current Assets,Total Non-Current Assets,Other Assets,Total Assets,Accounts Payable (Balance),Short-Term Debt,Tax Payable,Deferred Revenue (Current),Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Deferred Revenue (Non-Current),Deferred Tax Liabilities,Other Non-Current Liabilities,Total Non-Current Liabilities,Other Liabilities,Capital Lease Obligations,Total Liabilities,Preferred Stock,Common Stock,Retained Earnings,Other Comprehensive Income/Loss,Other Total Stockholders Equity,Total Stockholders Equity,Total Liabilities And Stockholders Equity,Minority Interest,Total Liabilities & Equity,Net Income (Cash Flow),Depreciation and Amortization (Cash Flow),Deferred Income Tax,Stock Based Compensation,Change in Working Capital,Accounts Receivable,Inventory (Cash Flow),Accounts Payable (Cash Flow),Other Working Capital,Other Non-Cash Items,Cash Provided by Operating Activities,CAPEX,Acquisitions Net,Purchases of Investments,Sales/Maturities of Investments,Other Investing Activities,Cash Used for Investing Activites,Debt Repayment,Common Stock Issued,Common Stock Repurchased,Dividends Paid,Other Financing Activites,Cash Used/Provided by Financing Activities,Effect of Forex Changes on Cash,Net Change In Cash,Cash at the End of Period,Cash at the Beginning of Period,Free Cash Flow
1994,6800000,6700000,100000,0.0147,1400000,7200000,,7200000,200000,8800000,15500000,,,200000,-7700000,-1.1324,-8700000,-1.2794,700000,,,,-7900000,-1.1618,-3.95,-3.95,2000000,2000000,5300000,,5300000,1200000,3800000,9700000,20000000,1300000,,,,,,200000,1500000,,21500000,800000,,,,1300000,2100000,,,,300000,300000,,,2400000,,,-17800000,-700000,37600000,19100000,21500000,,21500000,-7900000,200000,,,-2100000,,-1900000,,,100000,-9700000,-600000,,,4300000,-100000,,,200000,,,,,,,,11200000,-10300000
1995,7700000,7200000,500000,0.0649,2200000,6400000,,6400000,300000,8900000,16100000,,,300000,-8100000,-1.0519,-8400000,-1.0909,,,,,-8400000,-1.0909,-4.15,-4.15,2024096,2024096,3500000,,3500000,1000000,3300000,3100000,10900000,1800000,,,,,,100000,1900000,,12800000,200000,,,,1600000,1800000,,,,200000,200000,,,2000000,,,-26300000,-1100000,38200000,10800000,12800000,,12800000,-8400000,300000,,,1000000,,600000,,,100000,-7000000,-1000000,,,6500000,,,,,,,-100000,,,,,5300000,-8000000
1996,6200000,6600000,-400000,-0.0645,2400000,6400000,,6400000,600000,9400000,16000000,,,600000,-8800000,-1.4194,-9800000,-1.5806,300000,,,,-9400000,-1.5161,-4.20,-4.20,2238095,2238095,1700000,,1700000,1100000,1800000,4500000,9100000,1800000,,,,,,200000,2000000,,11100000,400000,,,,2100000,2500000,,,,100000,100000,,,2600000,,,-35700000,-1400000,45600000,8500000,11100000,,11100000,-9400000,600000,,,1900000,,1500000,,,-100000,-7000000,-500000,,-1200000,,-100000,,,7000000,,,,,,,,3500000,-7500000
1997,8300000,7100000,1200000,0.1446,2300000,4900000,,4900000,500000,7700000,14800000,,,500000,-5700000,-0.6867,-6500000,-0.7831,300000,,,,-6200000,-0.7470,-2.30,-2.30,2691264,2691264,2700000,,2700000,1800000,700000,200000,5400000,1300000,,,,,,100000,1400000,,6800000,500000,,,,1900000,2400000,,,,,,,,2400000,,,-41900000,-1900000,48200000,4400000,6800000,,6800000,-6200000,500000,,,600000,,1100000,,,100000,-5000000,-200000,,,4200000,,,,2100000,,,,,,,,1700000,-5200000
1998,8000000,6100000,1900000,0.2375,800000,3600000,,3600000,500000,4900000,11000000,,,500000,-2100000,-0.2625,-3000000,-0.3750,300000,,,,-2600000,-0.3250,-0.85,-0.85,3044800,3044800,1900000,,1900000,1400000,700000,1100000,5100000,900000,,,,,,200000,1100000,,6200000,500000,,,,1900000,2400000,,,,,,,,2400000,,,-44400000,-2400000,50600000,3800000,6200000,,6200000,-2600000,500000,,,400000,,,,,100000,-1600000,-200000,,-1000000,,,,,2000000,,,,,,,,2700000,-1800000
1999,7500000,5800000,1700000,0.2267,200000,3000000,,3000000,400000,3600000,9400000,,,400000,-1700000,-0.2267,-1900000,-0.2533,-200000,,,,-2100000,-0.2800,-0.58,-0.57,3644889,3666667,2200000,,2200000,1100000,600000,1100000,5000000,700000,,,,,,2200000,2900000,,7900000,500000,,,,1600000,2100000,,,,400000,400000,,,2500000,,,-46600000,-2600000,54600000,5400000,7900000,,7900000,-2100000,400000,,,400000,,,,,1800000,500000,-200000,,,,-3000000,,,3000000,,,,,,,,1900000,300000
2000,7054595,4501596,2552999,0.3619,684208,3138999,,3138999,290946,4114153,8615749,,,290946,-4486842,-0.6360,-1561154,-0.2213,-3326215,,,,-4777788,-0.6773,-1.20,-1.19,3990968,4000000,1581381,,1581381,1079590,1278084,76743,4015798,560796,,,,,,331336,892132,,4907930,374684,,,,1618760,1993444,,,,,,,,1993444,,209010,-51348982,-2846318,56900776,2914486,4907930,,4907930,-4777788,290946,,,-1052027,,-644513,,,3930170,-1608699,-162527,,970608,,-1486667,,,1641718,,,2085,,,-643482,1581381,2224863,-1771226
2001,7209274,4401515,2807759,0.3895,743174,2990002,,2990002,,3733176,8134691,,,247665,-1043355,-0.1447,-925417,-0.1284,-220837,,,,-1291020,-0.1791,-0.30,-0.30,4471075,4471075,2568724,1243068,3811792,1148092,1006016,66339,6032239,559981,,,,,,602441,1162422,,7194661,287458,1243068,,,226031,1756557,212504,,,,212504,,,1969061,,265207,-52641064,-3083860,60685317,5225600,7194661,,7194661,-1291020,247665,,,-82049,,272068,,,563564,-561840,-138281,,-1243068,,-500000,,,3453473,,,,,,987343,2568724,1581381,-700121
2002,6713107000,4490729000,2222378000,0.3311,215647000,3093833000,,3093833000,-3306076579,3403421,7800209000,,6382000,220063,-1180822937,-0.1759,-1181043000,-0.1759,1407000,,,,,,-0.07,-0.07,26988494000000,26988494000000,2890364,251445,3141809,834577,1193181,76932,5246499,657575,,,,,,96100,753675,,6000174,286730,251445,,,918926,1457101,,,,421110,421110,,,1878211,,271052,-54535591,-3297582,61684084,4121963,6000174,,6000174,,220063,,,-159270,,-187165,,,-973417,-912624,-311316,,,991623,,,,602375,,,,,,321640,2890364,2568724,-1223940
2003,6429642000,4762412000,1667230000,0.2593,426210000,3115008000,,3115008000,-3537791791,3426209,8303630000,,724000,238736,-1520243000,-0.2364,-1758979000,-0.2736,14956000,,,,,,-0.06,-0.06,27194454000000,27194454000000,2744143,125072,2869215,736711,1160372,51113,4817411,539676,,,,,,89759,629435,,5446846,294312,125072,,,689688,1109072,,,,201648,201648,,,1310720,,295882,-56242686,-3529977,63612907,4136126,5446846,,5446846,,238736,,,-134941,,32809,,,-1822104,-1718309,-114496,,,126373,,,,1616805,,,,,,-146221,2744143,2890364,-1832805
